Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,,,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP
Chris Young,$2.3K,R,LAA,OF,TBR,8,Blake Snell,L,,,,,,300,1,,,4.35,-0.18,125,0.192,0.267,0.104,0.284,0.296,0.580,16.30,11.30,0.220,6.41,2.79,13,0.000,0.094,0,0.133,0.000,0.133,26.70,6.70,0.000,7,0.000,0.090,0,0.125,0.000,0.125,12.50,0.00,0.000,1,0.000,0.361,0,0.500,0.000,0.500,0.00,0.00,0.000
Yangervis Solarte,$3.3K,S,TOR,2B/3B,OAK,4,Brett Anderson,L,,,,,,300,5,,,4.93,-0.34,184,0.207,0.270,0.125,0.278,0.332,0.610,9.80,8.30,0.200,8.55,2.59,36,0.194,0.286,0.25,0.237,0.444,0.681,13.20,2.60,0.143,18,0.056,0.083,0,0.105,0.056,0.161,21.10,5.30,0.071,10,0.000,0.063,0,0.091,0.000,0.091,27.30,9.10,0.000
Joseph Wendle,$2.7K,L,TBR,2B,@ LAA,3,Nick Tropeano,R,,,,,,100,11,,,3.65,-0.32,105,0.276,0.306,0.133,0.310,0.410,0.720,19.30,5.30,0.325,6.95,2.57,64,0.312,0.297,0.062,0.318,0.375,0.693,21.20,1.50,0.392,34,0.265,0.239,0,0.278,0.265,0.543,25.00,2.80,0.346,25,0.360,0.318,0,0.370,0.360,0.730,25.90,3.70,0.474
Victor Martinez,$2.8K,S,DET,1B,@ SEA,4,Felix Hernandez,R,,,,,,500,-2,,,3.22,-0.39,398,0.249,0.301,0.128,0.308,0.377,0.685,13.50,8.80,0.266,7.17,2.56,50,0.180,0.220,0.08,0.236,0.260,0.496,10.50,10.50,0.182,23,0.304,0.282,0.043,0.304,0.348,0.652,12.00,8.00,0.350,12,0.083,0.073,0,0.083,0.083,0.166,15.40,7.70,0.100
Cory Spangenberg,$2.7K,L,SDP,3B/OF,@ PIT,2,Ivan Nova,R,,,,,,700,-3,,,3.63,-0.17,376,0.274,0.332,0.160,0.331,0.434,0.765,23.10,7.50,0.338,6.8,2.52,13,0.231,0.202,0,0.231,0.231,0.462,38.50,0.00,0.375,8,0.250,0.219,0,0.250,0.250,0.500,50.00,0.00,0.500,8,0.250,0.219,0,0.250,0.250,0.500,50.00,0.00,0.500
Andrew McCutchen,$3.5K,R,SFG,OF,COL,2,Kyle Freeland,L,,,,,,100,17,,,4.32,0.07,186,0.301,0.420,0.317,0.384,0.618,1.002,18.30,13.60,0.316,8.73,2.49,22,0.273,0.392,0.273,0.385,0.545,0.930,23.10,11.50,0.333,6,0.167,0.224,0,0.286,0.167,0.453,14.30,14.30,0.200,3,0.000,0.173,0,0.250,0.000,0.250,0.00,25.00,0.000
Ehire Adrianza,$2.5K,S,MIN,SS,MIL,8,Brent Suter,L,,,,,,500,-1,,,4.89,0.09,79,0.316,0.349,0.165,0.341,0.481,0.822,16.30,5.80,0.364,6.2,2.48,18,0.278,0.326,0.111,0.350,0.389,0.739,25.00,5.00,0.385,9,0.222,0.283,0.111,0.300,0.333,0.633,30.00,0.00,0.333,4,0.250,0.219,0,0.250,0.250,0.500,25.00,0.00,0.333
Justin Bour,$3.5K,L,MIA,1B,@ ATL,4,Matt Wisler,R,,,,,,-100,6,,,3.89,0.32,372,0.285,0.382,0.263,0.356,0.548,0.904,19.70,12.40,0.299,8.56,2.45,39,0.205,0.410,0.410,0.367,0.615,0.982,21.60,25.50,0.130,23,0.217,0.455,0.522,0.400,0.739,1.139,18.80,28.10,0.077,10,0.300,0.543,0.6,0.500,0.900,1.400,13.30,33.30,0.167
Benjamin Gamel,$2.6K,L,SEA,OF,DET,7,Michael Fulmer,R,,,,,,300,15,,,4.28,-0.11,447,0.262,0.308,0.130,0.319,0.391,0.710,20.30,7.90,0.315,6.29,2.42,49,0.204,0.255,0.061,0.291,0.265,0.556,22.20,9.30,0.270,21,0.333,0.398,0.095,0.462,0.429,0.891,26.90,15.40,0.500,13,0.231,0.361,0.154,0.412,0.385,0.797,17.60,17.60,0.300
Brian Dozier,$4.1K,R,MIN,2B,MIL,2,Brent Suter,L,,,,,,400, ,,,4.89,0.09,175,0.314,0.416,0.28,0.391,0.594,0.985,17.60,12.60,0.336,9.9,2.41,19,0.263,0.344,0.211,0.333,0.474,0.807,4.80,9.50,0.235,9,0.222,0.355,0.333,0.300,0.556,0.856,10.00,10.00,0.143,5,0.400,0.592,0.6,0.500,1.000,1.500,16.70,16.70,0.333
Justin Smoak,$3.5K,S,TOR,1B,OAK,3,Brett Anderson,L,,,,,,-400,10,,,4.93,-0.34,178,0.326,0.402,0.213,0.402,0.539,0.941,14.80,12.30,0.348,8.43,2.41,25,0.360,0.453,0.32,0.433,0.680,1.113,16.70,13.30,0.368,12,0.167,0.374,0.333,0.375,0.500,0.875,25.00,25.00,0.143,8,0.250,0.481,0.5,0.455,0.750,1.205,36.40,27.30,0.333
Noel Cuevas,$3.0K,R,COL,OF,@ SFG,5,Derek Holland,L,,,,,,1000,-18,,,4.18,-0.07,23,0.348,0.381,0.130,0.400,0.478,0.878,4.00,4.00,0.333,7.21,2.4,23,0.348,0.381,0.130,0.400,0.478,0.878,4.00,4.00,0.333,11,0.273,0.396,0.273,0.385,0.545,0.930,0.00,7.70,0.200,7,0.286,0.444,0.429,0.375,0.714,1.089,0.00,12.50,0.167
Byron Buxton,$2.9K,R,MIN,OF,MIL,7,Brent Suter,L,,,,,,700,-1,,,4.89,0.09,144,0.271,0.323,0.132,0.327,0.403,0.730,25.60,10.60,0.354,6.9,2.38,4,0.000,0,0,0.000,0.000,0.000,50.00,0.00,0.000,4,0.000,0,0,0.000,0.000,0.000,50.00,0.00,0.000,4,0.000,0,0,0.000,0.000,0.000,50.00,0.00,0.000
Martin Prado,$2.7K,R,MIA,3B,@ ATL,1,Matt Wisler,R, ,,,,,500,-1,,,3.89,0.32,157,0.217,0.242,0.089,0.250,0.306,0.556,15.30,4.30,0.246,6.37,2.36,54,0.167,0.181,0.019,0.211,0.185,0.396,19.60,5.40,0.209,34,0.147,0.175,0,0.216,0.147,0.363,21.60,8.10,0.192,16,0.125,0.174,0,0.222,0.125,0.347,33.30,11.10,0.200
Ian Desmond,$3.2K,R,COL,1B/OF,@ SFG,6,Derek Holland,L,,,,,,700,-3,,,4.18,-0.07,147,0.238,0.290,0.143,0.287,0.381,0.668,23.60,6.20,0.283,7.54,2.36,29,0.138,0.198,0.069,0.194,0.207,0.401,25.80,6.50,0.190,14,0.000,0,0,0.000,0.000,0.000,42.90,0.00,0.000,8,0.000,0,0,0.000,0.000,0.000,50.00,0.00,0.000
Brad Miller,$3.0K,L,TBR,1B,@ LAA,5,Nick Tropeano,R,,,,,,400,6,,,3.65,-0.32,336,0.202,0.299,0.143,0.320,0.345,0.665,26.60,16.40,0.260,7.09,2.36,65,0.215,0.305,0.169,0.297,0.385,0.682,25.70,13.50,0.267,31,0.226,0.345,0.194,0.351,0.419,0.770,24.30,18.90,0.286,22,0.273,0.379,0.273,0.360,0.545,0.905,24.00,12.00,0.333
Shin-Soo Choo,$3.5K,L,TEX,OF,@ CHW,2,Carson Fulmer,R,,,,,,300,10,,,4.85,4.85,553,0.253,0.333,0.181,0.331,0.434,0.765,21.70,11.50,0.287,8.24,2.35,66,0.318,0.343,0.061,0.392,0.379,0.771,20.30,9.50,0.412,33,0.242,0.248,0.061,0.265,0.303,0.568,23.50,2.90,0.320,22,0.227,0.199,0,0.227,0.227,0.454,27.30,0.00,0.312
Rougned Odor,$3.1K,L,TEX,2B,@ CHW,7,Carson Fulmer,R,,,,,,400,7,,,4.85,4.85,493,0.219,0.289,0.205,0.260,0.424,0.684,25.30,6.00,0.246,7.29,2.35,17,0.118,0.156,0.059,0.167,0.176,0.343,50.00,5.60,0.250,17,0.118,0.156,0.059,0.167,0.176,0.343,50.00,5.60,0.250,17,0.118,0.156,0.059,0.167,0.176,0.343,50.00,5.60,0.250
Gorkys Hernandez,$2.9K,R,SFG,OF,COL,1,Kyle Freeland,L,,,,,,800,-8,,,4.32,0.07,169,0.254,0.274,0.059,0.304,0.314,0.618,25.50,7.60,0.352,6.82,2.35,23,0.304,0.301,0,0.360,0.304,0.664,36.00,8.00,0.500,5,0.400,0.408,0,0.500,0.400,0.900,16.70,16.70,0.500,2,0.000,0.231,0,0.333,0.000,0.333,33.30,33.30,0.000
JaCoby Jones,$3.1K,R,DET,OF,@ SEA,2,Felix Hernandez,R, ,,,,,800,-6,,,3.22,-0.39,196,0.219,0.271,0.133,0.267,0.352,0.619,34.80,4.80,0.325,7.28,2.35,73,0.274,0.344,0.260,0.289,0.534,0.823,27.60,1.30,0.340,34,0.206,0.260,0.147,0.229,0.353,0.582,28.60,2.90,0.261,16,0.188,0.262,0.188,0.235,0.375,0.610,29.40,0.00,0.200
Josh Donaldson,$4.2K,R,TOR,3B,OAK,2,Brett Anderson,L,,,,,,-100,3,,,4.93,-0.34,121,0.273,0.399,0.331,0.353,0.603,0.956,25.00,12.50,0.289,9.83,2.34,18,0.222,0.258,0.111,0.263,0.333,0.596,36.80,5.30,0.364,17,0.176,0.204,0.059,0.222,0.235,0.457,38.90,5.60,0.300,9,0.333,0.368,0.111,0.400,0.444,0.844,40.00,10.00,0.600
Matt Olson,$3.5K,L,OAK,1B,@ TOR,5,Marco Estrada,R,,,,,,200,1,,,4.57,-0.16,252,0.270,0.404,0.349,0.354,0.619,0.973,30.70,11.20,0.299,8.19,2.34,54,0.204,0.339,0.296,0.306,0.500,0.806,27.00,14.30,0.212,41,0.244,0.378,0.366,0.311,0.610,0.921,26.70,8.90,0.240,22,0.318,0.475,0.455,0.400,0.773,1.173,24.00,12.00,0.308
Ben Zobrist,$3.6K,S,CHC,2B/OF,@ CIN,1,Homer Bailey,R,,,,,,1000,-44,,,5.41,-0.07,417,0.249,0.316,0.141,0.325,0.391,0.716,14.60,11.20,0.271,8.42,2.34,37,0.270,0.299,0.054,0.325,0.324,0.649,12.50,10.00,0.312,32,0.281,0.294,0.062,0.303,0.344,0.647,12.10,6.10,0.321,15,0.267,0.309,0.067,0.313,0.333,0.646,0.00,12.50,0.267
Marwin Gonzalez,$2.9K,S,HOU,1B/OF,CLE,6,Mike Clevinger,R,,,,,,400,4,,,4.25,-0.26,456,0.283,0.355,0.189,0.352,0.471,0.823,20.30,10.40,0.326,6.78,2.34,57,0.228,0.299,0.140,0.313,0.368,0.681,28.10,10.90,0.297,24,0.167,0.212,0.125,0.200,0.292,0.492,32.00,4.00,0.200,10,0.000,0,0,0.000,0.000,0.000,50.00,0.00,0.000
Chris Iannetta,$3.0K,R,COL,C,@ SFG,2,Derek Holland,L,,,,,,700,-21,,,4.18,-0.07,128,0.258,0.351,0.195,0.349,0.453,0.802,20.50,13.00,0.286,6.98,2.33,22,0.136,0.145,0,0.174,0.136,0.310,8.70,4.30,0.150,10,0.200,0.175,0,0.200,0.200,0.400,10.00,0.00,0.222,6,0.167,0.146,0,0.167,0.167,0.334,0.00,0.00,0.167
Jesus Aguilar,$3.4K,R,MIL,1B,@ MIN,3,Kyle Gibson,R, ,,,,,600,1,,,4.11,-0.09,245,0.257,0.336,0.220,0.313,0.478,0.791,28.70,7.40,0.314,7.9,2.32,50,0.260,0.326,0.18,0.322,0.440,0.762,27.10,10.20,0.314,28,0.214,0.300,0.107,0.343,0.321,0.664,28.60,14.30,0.316,17,0.176,0.249,0.118,0.263,0.294,0.557,31.60,10.50,0.273
Alex Bregman,$3.6K,R,HOU,3B,CLE,2,Mike Clevinger,R, ,,,,, ,5,,,4.25,-0.26,555,0.259,0.329,0.162,0.338,0.422,0.760,14.90,9.90,0.287,8.34,2.32,66,0.318,0.406,0.182,0.438,0.500,0.938,10.00,15.00,0.351,31,0.290,0.387,0.258,0.371,0.548,0.919,2.90,11.40,0.276,13,0.308,0.397,0.231,0.400,0.538,0.938,0.00,13.30,0.308
Matt Joyce,$3.2K,L,OAK,OF,@ TOR,2,Marco Estrada,R,,,,,,200,22,,,4.57,-0.16,517,0.242,0.349,0.238,0.333,0.480,0.813,21.30,13.70,0.261,7.37,2.3,61,0.197,0.297,0.180,0.279,0.377,0.656,32.40,13.20,0.250,41,0.244,0.367,0.244,0.354,0.488,0.842,27.10,16.70,0.280,23,0.304,0.452,0.391,0.385,0.696,1.081,23.10,15.40,0.286
Jackie Bradley,$2.9K,L,BOS,OF,BAL,8,Alex Cobb,R,,,,,,600,6,,,5.3,-0.46,465,0.226,0.297,0.159,0.294,0.385,0.679,24.00,8.70,0.270,6.65,2.29,37,0.162,0.240,0.081,0.273,0.243,0.516,34.10,11.40,0.227,17,0.118,0.167,0,0.211,0.118,0.329,47.40,5.30,0.250,7,0.143,0.196,0,0.250,0.143,0.393,37.50,12.50,0.250
Salvador Perez,$3.5K,R,KCR,C,NYY,4,CC Sabathia,L,,,,,,700,-17,,,3.81,-0.27,164,0.244,0.306,0.226,0.264,0.470,0.734,21.50,5.10,0.244,8.01,2.29,28,0.179,0.248,0.143,0.226,0.321,0.547,32.30,9.70,0.222,14,0.214,0.320,0.214,0.267,0.429,0.696,13.30,13.30,0.182,6,0.167,0.382,0.5,0.167,0.667,0.834,0.00,16.70,0.000
Didi Gregorius,$4.0K,L,NYY,SS,@ KCR,3,Jakob Junis,R,,,,,,200,2,,,5.19,-0.23,541,0.283,0.356,0.250,0.321,0.532,0.853,12.40,7.10,0.270,9.07,2.27,67,0.209,0.274,0.209,0.239,0.418,0.657,19.20,6.80,0.200,27,0.037,0.056,0,0.071,0.037,0.108,10.30,6.90,0.042,12,0.083,0.073,0,0.083,0.083,0.166,8.30,0.00,0.091
Jose Altuve,$4.2K,R,HOU,2B,CLE,3,Mike Clevinger,R, ,,,,,300,2,,,4.25,-0.26,620,0.337,0.392,0.184,0.392,0.521,0.913,12.60,8.60,0.362,9.5,2.26,76,0.329,0.383,0.171,0.386,0.500,0.886,10.70,8.30,0.354,32,0.312,0.380,0.188,0.389,0.500,0.889,8.30,8.30,0.345,14,0.214,0.247,0.071,0.267,0.286,0.553,13.30,0.00,0.250
Austin Jackson,$3.0K,R,SFG,OF,COL,7,Kyle Freeland,L,,,,,,800,-9,,,4.32,0.07,189,0.323,0.379,0.153,0.399,0.476,0.875,22.30,12.60,0.416,6.76,2.25,22,0.318,0.370,0.091,0.423,0.409,0.832,25.90,18.50,0.467,4,0.250,0.377,0,0.500,0.250,0.750,28.60,42.90,0.500,3,0.333,0.292,0,0.333,0.333,0.666,33.30,0.00,0.500
Manny Pina,$3.0K,R,MIL,C,@ MIN,8,Kyle Gibson,R, ,,,,,800,-32,,,4.11,-0.09,309,0.262,0.314,0.165,0.306,0.427,0.733,20.30,6.00,0.297,6.76,2.25,51,0.196,0.227,0.137,0.208,0.333,0.541,20.80,1.90,0.205,29,0.276,0.319,0.241,0.267,0.517,0.784,20.00,0.00,0.273,13,0.385,0.449,0.308,0.385,0.692,1.077,30.80,0.00,0.500
