Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,,,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP
Tommy La Stella,$2.6K,L,CHC,2B/3B,@ COL,5,German Marquez,R,,,,,,-400,19,,,5.41,0.03,142,0.254,0.334,0.154,0.345,0.408,0.753,0.14,0.13,0.274,8.52,3.28,21,0.286,0.325,0.095,0.348,0.381,0.729,0.13,0.09,0.333,21,0.286,0.325,0.095,0.348,0.381,0.729,0.13,0.09,0.333,2,0.000,0.345,0.000,0.500,0.000,0.500,0.25,0.50,0.000
David Dahl,$2.8K,L,COL,OF,CHC,6,Jose Quintana,L, ,,,,,700, ,,,5.09,-0.03,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,8.76,3.13,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Hernan Perez,$2.6K,R,MIL,2B/OF,MIA,6,Caleb Smith,L,,,,,,100,-26,,,5.23, ,127,0.299,0.330,0.142,0.318,0.441,0.759,0.17,0.03,0.343,7.98,3.07,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,12,0.167,0.249,0.250,0.167,0.417,0.584,0.25,0.00,0.125,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Albert Almora,$3.2K,R,CHC,OF,@ COL,1,German Marquez,R, ,,,,, ,17,,,5.41,0.03,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,9.72,3.04,25,0.320,0.329,0.080,0.346,0.400,0.746,0.23,0.04,0.421,25,0.320,0.329,0.080,0.346,0.400,0.746,0.23,0.04,0.421,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Victor Caratini,$2.7K,S,CHC,C,@ COL,7,German Marquez,R,,,,,,-400,-3,,,5.41,0.03,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7.34,2.72,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Gleyber Torres,$2.6K,R,NYY,SS,TOR,8,Jaime Garcia,L,,,,,,0,0,,,5.26,0.02,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.81,2.62,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Jurickson Profar,$2.7K,S,TEX,2B/SS,SEA,6,Erasmo Ramirez,R,,,,,,300,7,,,4.87,0.05,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7.07,2.62,36,0.250,0.307,0.056,0.357,0.306,0.663,0.21,0.14,0.333,36,0.250,0.307,0.056,0.357,0.306,0.663,0.21,0.14,0.333,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Joc Pederson,$3.0K,L,LAD,OF,WAS,5,Jeremy Hellickson,R,,,,,,800,-13,,,4.67,0.11,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7.82,2.61,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Jason Heyward,$3.4K,L,CHC,OF,@ COL,8,German Marquez,R,,,,,,300,4,,,5.41,0.03,372,0.255,0.324,0.146,0.330,0.401,0.731,0.11,0.10,0.261,8.8,2.59,38,0.289,0.388,0.237,0.378,0.526,0.904,0.04,0.13,0.257,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,11,0.455,0.589,0.454,0.500,0.909,1.409,0.00,0.08,0.400
Jean Segura,$3.5K,R,SEA,SS,@ TEX,1,Martin Perez,L,,,,,,200,-1,,,5.13,-0.05,149,0.315,0.356,0.121,0.372,0.436,0.808,0.14,0.09,0.355,8.89,2.54,23,0.348,0.387,0.174,0.375,0.522,0.897,0.17,0.04,0.421,23,0.348,0.387,0.174,0.375,0.522,0.897,0.17,0.04,0.421,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Shin-Soo Choo,$3.6K,L,TEX,OF,SEA,2,Erasmo Ramirez,R,,,,,,300,4,,,4.87,0.05,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,9.06,2.52,61,0.230,0.354,0.278,0.314,0.508,0.822,0.17,0.11,0.200,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
