Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,,,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP
Chris Davis,$2.5K,L,BAL,1B,@ ATL,5,Julio Teheran,R,,,,,,400,-18,,,3.79,-0.22,467,0.199,0.292,0.186,0.274,0.385,0.659,36.20,11.10,0.273,7.2,2.88,30,0.133,0.117,0,0.133,0.133,0.266,45.20,3.20,0.250,8,0.125,0.110,0,0.125,0.125,0.250,44.40,11.10,0.250,1,0.000,0,0,0.000,0.000,0.000,0.00,50.00,0.000
Brandon Guyer,$3.0K,R,CLE,OF,DET,6,Francisco Liriano,L,,,,,,900,-11,,,5.25,-0.12,164,0.250,0.328,0.152,0.339,0.402,0.741,18.80,8.90,0.288,8.16,2.72,5,0.400,0.456,0,0.571,0.400,0.971,0.00,0.00,0.400,5,0.400,0.456,0,0.571,0.400,0.971,0.00,0.00,0.400,3,0.333,0.399,0,0.500,0.333,0.833,0.00,0.00,0.333
Jace Peterson,$3.1K,L,BAL,2B/3B,@ ATL, ,Julio Teheran,R,,,,,,600,10,,,3.79,-0.22,269,0.223,0.298,0.119,0.311,0.342,0.653,22.80,12.90,0.291,8.33,2.69,36,0.278,0.383,0.278,0.357,0.556,0.913,26.80,9.80,0.333,26,0.308,0.427,0.346,0.387,0.654,1.041,20.00,13.30,0.316,14,0.357,0.544,0.571,0.400,0.929,1.329,14.30,7.10,0.300
Alex Blandino,$2.6K,R,CIN,2B/3B,CHC,1,Luke Farrell,R, ,,,,,600,13,,,4.67,0.11,74,0.216,0.262,0.081,0.275,0.297,0.572,28.90,6.00,0.306,6.83,2.63,13,0.077,0.138,0.077,0.143,0.154,0.297,57.10,7.10,0.200,4,0.000,0,0,0.000,0.000,0.000,75.00,0.00,0.000,3,0.000,0,0,0.000,0.000,0.000,66.70,0.00,0.000
Roberto Perez,$2.6K,R,CLE,C,DET,8,Francisco Liriano,L,,,,,,500,-31,,,5.25,-0.12,83,0.253,0.354,0.217,0.344,0.470,0.814,26.50,13.30,0.302,6.77,2.6,1,1.000,0.879,0,1.000,1.000,2.000,0.00,0.00,1.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Victor Martinez,$2.9K,S,DET,1B,@ CLE,4,Trevor Bauer,R,,,,,,900,-28,,,3.25,0.12,470,0.249,0.298,0.117,0.306,0.366,0.672,13.00,8.40,0.268,7.47,2.58,59,0.220,0.243,0.051,0.270,0.271,0.541,11.10,6.30,0.250,33,0.182,0.171,0.030,0.182,0.212,0.394,9.10,0.00,0.200,11,0.182,0.160,0,0.182,0.182,0.364,18.20,0.00,0.222
Jackie Bradley,$2.9K,L,BOS,OF,SEA,9,Mike Leake,R,,,,,,500,13,,,5.08,-0.02,543,0.223,0.299,0.157,0.296,0.379,0.675,24.20,9.00,0.271,7.33,2.53,63,0.175,0.260,0.111,0.284,0.286,0.570,20.30,10.80,0.208,32,0.094,0.188,0.125,0.189,0.219,0.408,16.20,8.10,0.077,13,0.154,0.287,0.231,0.267,0.385,0.652,20.00,13.30,0.111
Tommy La Stella,$2.6K,L,CHC,2B/3B,@ CIN,1,Anthony DeSclafani,R,,,,,,600,15,,,4.83,-0.11,195,0.292,0.346,0.113,0.375,0.405,0.780,12.20,11.80,0.321,6.57,2.53,22,0.273,0.277,0,0.333,0.273,0.606,16.00,8.00,0.333,10,0.200,0.176,0,0.200,0.200,0.400,10.00,0.00,0.222,4,0.250,0.220,0,0.250,0.250,0.500,0.00,0.00,0.250
Robbie Grossman,$3.0K,S,MIN,OF,TEX, ,Yovani Gallardo,R,,,,,,700,-2,,,5.26,0.23,395,0.238,0.315,0.139,0.331,0.377,0.708,19.90,12.50,0.282,7.53,2.51,57,0.246,0.308,0.105,0.328,0.351,0.679,18.80,12.50,0.295,23,0.261,0.294,0.087,0.292,0.348,0.640,16.00,8.00,0.316,13,0.308,0.325,0.154,0.308,0.462,0.770,15.40,0.00,0.364
Hunter Renfroe,$3.4K,R,SDP,OF,@ SFG,3,Andrew Suarez,L,,,,,,1000,-11,,,3.93,0.45,154,0.292,0.411,0.318,0.362,0.610,0.972,20.80,10.70,0.315,8.5,2.5,17,0.176,0.274,0.059,0.300,0.235,0.535,28.60,19.00,0.273,9,0.222,0.245,0,0.222,0.222,0.444,40.00,10.00,0.400,7,0.000,0.086,0,0.000,0.000,0.000,50.00,12.50,0.000
