Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,,,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP
Brian Dozier,$4.0K,R,MIN,2B,DET,1,Blaine Hardy,L,,,,,,300,1,,,5.08,-0.24,179,0.307,0.408,0.274,0.383,0.581,0.964,18.70,12.30,0.333,10.6,2.65,20,0.150,0.233,0.15,0.227,0.300,0.527,18.20,9.10,0.133,10,0.200,0.323,0.3,0.273,0.500,0.773,36.40,9.10,0.200,7,0.000,0,0,0.000,0.000,0.000,57.10,0.00,0.000
Marcell Ozuna,$3.2K,R,STL,OF,KCR,4,Ian Kennedy,R, ,,,,,700, ,,,5.05,-0.02,629,0.286,0.360,0.223,0.335,0.509,0.844,22.20,8.10,0.324,8.24,2.58,71,0.155,0.193,0.042,0.211,0.197,0.408,18.40,7.90,0.193,35,0.086,0.152,0,0.200,0.086,0.286,20.00,12.50,0.111,19,0.000,0.066,0,0.095,0.000,0.095,14.30,9.50,0.000
Rhys Hoskins,$3.6K,R,PHI,OF,ATL,2,Michael Foltynewicz,R, ,,,,,-400,12,,,4.32,-0.37,258,0.256,0.376,0.279,0.342,0.535,0.877,25.90,14.10,0.287,9.09,2.53,62,0.161,0.259,0.161,0.264,0.323,0.587,33.30,12.50,0.216,31,0.129,0.211,0.161,0.200,0.290,0.490,28.60,8.60,0.143,21,0.143,0.238,0.190,0.217,0.333,0.550,26.10,8.70,0.143
Martin Prado,$2.7K,R,MIA,3B,@ NYM,1,Jason Vargas,L,,,,,,500, ,,,4,-0.01,48,0.229,0.239,0.042,0.269,0.271,0.540,11.50,5.80,0.256,6.79,2.51,17,0.118,0.165,0,0.211,0.118,0.329,0.00,10.50,0.118,13,0.154,0.209,0,0.267,0.154,0.421,0.00,13.30,0.154,7,0.286,0.251,0,0.286,0.286,0.572,0.00,0.00,0.286
Anthony Rendon,$3.9K,R,WAS,3B,SDP,3,Robbie Erlin,L,,,,,,100,2,,,4.61,0.01,137,0.307,0.426,0.314,0.403,0.620,1.023,12.30,16.00,0.292,9.77,2.51,12,0.333,0.454,0.333,0.429,0.667,1.096,14.30,14.30,0.333,12,0.333,0.454,0.333,0.429,0.667,1.096,14.30,14.30,0.333,3,0.000,0.277,0,0.400,0.000,0.400,0.00,40.00,0.000
David Peralta,$3.4K,L,ARI,OF,@ MIL,1,Chase Anderson,R,,,,,,500,5,,,4.26,0.2,510,0.300,0.355,0.178,0.354,0.478,0.832,17.50,8.00,0.339,8.42,2.48,69,0.261,0.353,0.275,0.316,0.536,0.852,22.10,9.10,0.271,34,0.206,0.246,0.147,0.229,0.353,0.582,28.60,2.90,0.261,18,0.111,0.097,0,0.111,0.111,0.222,38.90,0.00,0.182
Ehire Adrianza,$2.5K,S,MIN,SS,DET,8,Blaine Hardy,L,,,,,,500,-3,,,5.08,-0.24,82,0.305,0.337,0.159,0.330,0.463,0.793,16.90,5.60,0.353,6.17,2.47,16,0.188,0.264,0.125,0.278,0.313,0.591,27.80,5.60,0.273,7,0.143,0.2,0,0.250,0.143,0.393,25.00,0.00,0.200,5,0.200,0.175,0,0.200,0.200,0.400,20.00,0.00,0.250
Paul Goldschmidt,$4.0K,R,ARI,1B,@ MIL,4,Chase Anderson,R, ,,,,,500,-4,,,4.26,0.2,566,0.258,0.358,0.219,0.346,0.477,0.823,25.80,13.30,0.317,9.86,2.47,78,0.141,0.189,0.038,0.193,0.179,0.372,33.70,9.60,0.220,40,0.125,0.171,0.025,0.146,0.150,0.296,34.10,9.80,0.192,20,0.150,0.158,0,0.150,0.150,0.300,35.00,5.00,0.231
Jose Pirela,$2.9K,R,SDP,2B/OF,@ WAS,4,Gio Gonzalez,L,,,,,,400,3,,,3.39,-0.01,136,0.287,0.357,0.199,0.349,0.485,0.834,21.60,9.50,0.350,7.16,2.47,19,0.211,0.291,0,0.375,0.211,0.586,13.00,21.70,0.250,8,0.250,0.348,0,0.455,0.250,0.705,30.00,30.00,0.400,6,0.167,0.224,0,0.286,0.167,0.453,33.30,16.70,0.250
Adam Jones,$3.5K,R,BAL,OF,@ CHW,2,Hector Santiago,L,,,,,,400,4,,,4.57,-0.1,202,0.277,0.310,0.119,0.319,0.396,0.715,17.90,5.50,0.321,8.61,2.46,30,0.267,0.234,0,0.267,0.267,0.534,13.30,0.00,0.308,20,0.400,0.351,0,0.400,0.400,0.800,15.00,0.00,0.471,10,0.500,0.439,0,0.500,0.500,1.000,0.00,0.00,0.500
