Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,,,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP
Tommy La Stella,$2.6K,L,CHC,2B/3B,@ MIL,3,Jhoulys Chacin,R,,,,,,500,5,,,4.18,-0.32,188,0.293,0.349,0.117,0.378,0.410,0.788,12.20,12.20,0.321,7.71,2.97,22,0.364,0.364,0,0.440,0.364,0.804,11.50,11.50,0.421,12,0.250,0.220,0,0.250,0.250,0.500,23.10,0.00,0.333,7,0.143,0.126,0,0.143,0.143,0.286,25.00,0.00,0.200
Jesmuel Valentin,$2.3K,S,PHI,2B/SS,COL,7,Tyler Anderson,L,,,,,,300,12,,,4.44,-0.08,7,0.143,0.126,0,0.143,0.143,0.286,42.90,0.00,0.250,6.4,2.78,4,0.250,0.220,0,0.250,0.250,0.500,25.00,0.00,0.333,3,0.333,0.293,0,0.333,0.333,0.666,33.30,0.00,0.500,1,1.000,0.879,0,1.000,1.000,2.000,0.00,0.00,1.000
Hernan Perez,$3.0K,R,MIL,2B/OF,CHC,6,Mike Montgomery,L,,,,,,700,-51,,,4.32,-0.18,155,0.290,0.317,0.148,0.300,0.439,0.739,17.90,3.10,0.331,7.99,2.66,12,0.333,0.328,0.167,0.308,0.500,0.808,15.40,0.00,0.364,5,0.400,0.355,0.2,0.333,0.600,0.933,16.70,0.00,0.400,4,0.500,0.532,0.25,0.500,0.750,1.250,0.00,0.00,0.500
Enrique Hernandez,$3.3K,R,LAD,2B/OF,TEX,4,Cole Hamels,L,,,,,,900,-54,,,4.53,0.25,240,0.254,0.375,0.283,0.337,0.537,0.874,19.70,13.60,0.263,8.55,2.59,23,0.217,0.338,0.261,0.308,0.478,0.786,19.20,11.50,0.188,12,0.250,0.391,0.25,0.400,0.500,0.900,13.30,20.00,0.222,7,0.429,0.543,0.429,0.429,0.857,1.286,14.30,0.00,0.400
Aaron Altherr,$3.0K,R,PHI,OF,COL,5,Tyler Anderson,L,,,,,,700,-4,,,4.44,-0.08,158,0.222,0.342,0.234,0.333,0.456,0.789,19.40,14.00,0.221,7.66,2.55,23,0.174,0.214,0,0.269,0.174,0.443,23.10,11.50,0.235,14,0.143,0.126,0,0.143,0.143,0.286,21.40,0.00,0.182,7,0.143,0.126,0,0.143,0.143,0.286,14.30,0.00,0.167
Robbie Grossman,$2.9K,S,MIN,OF,@ DET,5,Matt Boyd,L,,,,,,400,10,,,4.65,0.01,168,0.238,0.310,0.077,0.358,0.315,0.673,16.00,16.50,0.287,7.33,2.53,22,0.227,0.29,0,0.370,0.227,0.597,19.20,19.20,0.294,8,0.375,0.369,0,0.444,0.375,0.819,22.20,11.10,0.500,6,0.333,0.293,0,0.333,0.333,0.666,16.70,0.00,0.400
Jay Bruce,$3.1K,L,NYM,OF,@ ATL,4,Mike Soroka,R,,,,,,600,-1,,,3.83,-0.24,545,0.261,0.356,0.239,0.327,0.499,0.826,20.50,10.50,0.281,7.78,2.51,57,0.211,0.251,0.053,0.286,0.263,0.549,17.20,10.90,0.261,24,0.167,0.237,0.042,0.286,0.208,0.494,20.70,17.20,0.222,15,0.067,0.133,0,0.176,0.067,0.243,23.50,11.80,0.091
Chris Gimenez,$2.5K,R,CHC,C,@ MIL,8,Jhoulys Chacin,R, ,,,,,500,-27,,,4.18,-0.32,123,0.228,0.325,0.138,0.345,0.366,0.711,25.00,14.20,0.293,6.2,2.48,14,0.214,0.188,0,0.214,0.214,0.428,7.10,0.00,0.231,9,0.111,0.098,0,0.111,0.111,0.222,0.00,0.00,0.111,6,0.167,0.146,0,0.167,0.167,0.334,0.00,0.00,0.167
Brian Dozier,$4.0K,R,MIN,2B,@ DET,1,Matt Boyd,L,,,,,, ,5,,,4.65,0.01,198,0.293,0.393,0.253,0.369,0.545,0.914,19.00,11.90,0.322,9.8,2.45,25,0.120,0.162,0.04,0.185,0.160,0.345,29.60,7.40,0.176,9,0.000,0,0,0.000,0.000,0.000,33.30,0.00,0.000,9,0.000,0,0,0.000,0.000,0.000,33.30,0.00,0.000
Paulo Orlando,$2.4K,R,KCR,OF,CIN,8,Tyler Mahle,R, ,,,,,400, ,,,4.56,-0.28,106,0.160,0.194,0.075,0.198,0.236,0.434,25.00,3.60,0.197,5.75,2.4,10,0.100,0.142,0,0.182,0.100,0.282,36.40,9.10,0.167,10,0.100,0.142,0,0.182,0.100,0.282,36.40,9.10,0.167,10,0.100,0.142,0,0.182,0.100,0.282,36.40,9.10,0.167
