Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,,,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP
Mikie Mahtook,$2.6K,R,DET,OF,@ TBR,6,Chris Archer,R, ,,,,,600,-1,,,3.01,-0.12,307,0.261,0.309,0.134,0.315,0.394,0.709,22.80,6.50,0.322,6.81,2.62,17,0.118,0.136,0,0.167,0.118,0.285,27.80,5.60,0.167,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Dominic Smith,$2.8K,L,NYM,1B/OF,PHI,5,Zach Eflin,R,,,,,,500, ,,,3.55,0.36,193,0.192,0.267,0.181,0.239,0.373,0.612,28.80,4.90,0.224,7.08,2.53,21,0.048,0.073,0,0.091,0.048,0.139,36.40,0.00,0.077,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Josh Reddick,$3.4K,L,HOU,OF,OAK,4,Frankie Montas,R,,,,,,800,14,,,4.75,-0.56,609,0.276,0.334,0.156,0.337,0.432,0.769,13.50,9.10,0.294,8.39,2.47,49,0.143,0.215,0.082,0.222,0.224,0.446,20.00,9.10,0.162,21,0.095,0.111,0,0.136,0.095,0.231,26.10,4.30,0.133,15,0.067,0.098,0,0.125,0.067,0.192,23.50,5.90,0.091
Robbie Grossman,$3.1K,S,MIN,OF,KCR,5,Danny Duffy,L,,,,,,900,4,,,4.98,-0.08,216,0.255,0.325,0.102,0.362,0.356,0.718,16.90,14.60,0.304,7.34,2.37,25,0.320,0.364,0.12,0.393,0.440,0.833,17.90,10.70,0.400,15,0.200,0.231,0.067,0.250,0.267,0.517,18.80,6.20,0.250,4,0.000,0.137,0,0.200,0.000,0.200,20.00,20.00,0.000
Brian Dozier,$3.9K,R,KCR,2B,@ MIN,3,TBD,, ,,,,,600,5,,,4.97,0.6,788,0.241,0.334,0.203,0.323,0.444,0.767,20.60,10.00,0.266,9.11,2.34,70,0.214,0.284,0.2,0.253,0.414,0.667,26.70,5.30,0.250,31,0.161,0.197,0.065,0.212,0.226,0.438,30.30,6.10,0.238,19,0.211,0.251,0.053,0.286,0.263,0.549,23.80,9.50,0.286
Tucker Barnhart,$3.0K,S,CIN,C,@ CLE,7,Mike Clevinger,R,,,,,,400,-5,,,4.1,0.17,549,0.257,0.316,0.126,0.334,0.383,0.717,16.10,10.20,0.293,6.97,2.32,45,0.222,0.298,0.111,0.327,0.333,0.660,13.50,13.50,0.243,21,0.286,0.394,0.190,0.423,0.476,0.899,15.40,19.20,0.312,10,0.300,0.494,0.4,0.500,0.700,1.200,28.60,28.60,0.400
Marwin Gonzalez,$3.0K,S,HOU,OF/SS,OAK,6,Frankie Montas,R,,,,,,500,43,,,4.75,-0.56,565,0.271,0.355,0.182,0.358,0.453,0.811,21.60,10.90,0.322,6.93,2.31,38,0.184,0.287,0.079,0.340,0.263,0.603,20.80,16.70,0.250,16,0.125,0.266,0.062,0.333,0.188,0.521,33.30,19.00,0.222,12,0.083,0.198,0,0.267,0.083,0.350,33.30,13.30,0.143
Brad Miller,$3.2K,L,MIL,1B/2B,@ MIA,6,Jose Urena,R,,,,,,800,6,,,4.05,-0.06,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7.37,2.3,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Cody Bellinger,$3.9K,L,LAD,1B/OF,@ SDP,4,Luis Perdomo,R,,,,,,1000,-11,,,4.97,0.6,604,0.257,0.380,0.285,0.344,0.541,0.885,25.40,11.90,0.290,8.9,2.28,53,0.264,0.339,0.132,0.361,0.396,0.757,21.30,13.10,0.350,27,0.185,0.267,0.074,0.290,0.259,0.549,29.00,12.90,0.278,11,0.091,0.242,0,0.286,0.091,0.377,28.60,21.40,0.143
Billy Hamilton,$2.8K,S,CIN,OF,@ CLE,9,Mike Clevinger,R,,,,,,600,9,,,4.1,0.17,653,0.247,0.289,0.084,0.315,0.331,0.646,21.50,9.10,0.317,6.36,2.27,52,0.250,0.282,0.077,0.310,0.327,0.637,19.00,6.90,0.310,24,0.250,0.244,0.042,0.269,0.292,0.561,26.90,3.80,0.333,13,0.385,0.364,0.077,0.400,0.462,0.862,20.00,6.70,0.455
