Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,,,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP
Jurickson Profar,$2.9K,S,TEX,2B/SS,@ TOR,3,Marcus Stroman,R,,,,,, ,14,,,3.85,-0.15,108,0.194,0.252,0.037,0.298,0.231,0.529,0.21,0.13,0.256,7.73,2.67,49,0.224,0.288,0.062,0.333,0.286,0.619,0.19,0.14,0.289,49,0.224,0.288,0.062,0.333,0.286,0.619,0.19,0.14,0.289,20,0.200,0.242,0.050,0.273,0.250,0.523,0.18,0.09,0.250
David Bote,$2.5K,R,CHC,2B/OF,MIL,5,Brent Suter,L,,,,,,500,13,,,4.27,4.27,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.51,2.6,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,3,0.333,0.424,0.334,0.333,0.667,1.000,0.67,0.00,1.000,3,0.333,0.424,0.334,0.333,0.667,1.000,0.67,0.00,1.000
Jon Jay,$2.9K,L,KCR,OF,CHW,6,Reynaldo Lopez,R,,,,,,300,7,,,4.59,0.22,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7.5,2.59,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Jason Kipnis,$3.4K,L,CLE,2B,SEA,2,Erasmo Ramirez,R,,,,,,200,3,,,5,0.31,297,0.215,0.285,0.165,0.269,0.380,0.649,0.21,0.07,0.248,8.71,2.56,64,0.125,0.162,0.047,0.176,0.172,0.348,0.25,0.06,0.170,67,0.134,0.175,0.045,0.194,0.179,0.373,0.25,0.07,0.184,19,0.158,0.193,0.000,0.238,0.158,0.396,0.33,0.10,0.250
Trey Mancini,$3.6K,R,BAL,1B/OF,DET,1,Michael Fiers,R, ,,,,,800,-30,,,4.84,0.01,449,0.290,0.361,0.207,0.337,0.497,0.834,0.23,0.07,0.344,9.21,2.56,59,0.254,0.312,0.119,0.328,0.373,0.701,0.21,0.10,0.311,62,0.258,0.311,0.113,0.329,0.371,0.700,0.20,0.10,0.313,12,0.250,0.317,0.167,0.308,0.417,0.725,0.31,0.08,0.375
Jose Martinez,$3.6K,R,STL,1B,@ PIT,3,Steven Brault,L,,,,,, ,12,,,4.47,-0.07,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,9.08,2.52,12,0.333,0.426,0.167,0.467,0.500,0.967,0.20,0.20,0.444,12,0.333,0.426,0.167,0.467,0.500,0.967,0.20,0.20,0.444,4,0.750,0.762,0.250,0.750,1.000,1.750,0.25,0.00,1.000
Logan Morrison,$2.7K,L,MIN,1B,CIN,7,Luis Castillo,R,,,,,,500,-13,,,4.82,0.24,445,0.227,0.350,0.265,0.315,0.492,0.807,0.25,0.12,0.237,6.57,2.43,47,0.106,0.172,0.085,0.176,0.191,0.367,0.23,0.08,0.118,50,0.100,0.172,0.080,0.182,0.180,0.362,0.24,0.09,0.111,13,0.231,0.326,0.231,0.286,0.462,0.748,0.21,0.07,0.222
Austin Jackson,$2.5K,R,SFG,OF,LAD,6,Hyun-Jin Ryu,L,,,,,,400,2,,,3.69,0.05,167,0.317,0.380,0.156,0.390,0.473,0.863,0.22,0.11,0.402,6.07,2.43,42,0.214,0.213,-0.000,0.250,0.214,0.464,0.34,0.04,0.333,45,0.222,0.218,-0.000,0.255,0.222,0.477,0.32,0.04,0.333,6,0.333,0.296,-0.000,0.333,0.333,0.666,0.33,0.00,0.500
Jace Peterson,$2.8K,L,BAL,2B/3B,DET,2,Michael Fiers,R,,,,,,800,-59,,,4.84,0.01,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.78,2.42,13,0.308,0.330,0.077,0.357,0.385,0.742,0.29,0.07,0.444,13,0.308,0.330,0.077,0.357,0.385,0.742,0.29,0.07,0.444,6,0.167,0.280,0.166,0.286,0.333,0.619,0.29,0.14,0.250
Christopher Taylor,$3.6K,R,LAD,OF,@ SFG,1,Derek Holland,L,,,,,,500,-1,,,4.31,-0.05,180,0.278,0.354,0.194,0.342,0.472,0.814,0.23,0.09,0.341,8.66,2.41,25,0.200,0.302,0.200,0.286,0.400,0.686,0.14,0.11,0.200,28,0.179,0.273,0.178,0.258,0.357,0.615,0.16,0.10,0.182,6,0.000,0.173,0.000,0.250,0.000,0.250,0.13,0.25,0.000
