Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,,,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP
Brian Dozier,$3.7K,R,MIN,2B,CLE,4,Shane Bieber,R, ,,,,,200,8,,,4.59,0.09,784,0.241,0.334,0.204,0.323,0.445,0.768,20.60,10.10,0.266,9.38,2.54,67,0.209,0.283,0.209,0.250,0.418,0.668,26.40,5.60,0.239,27,0.148,0.194,0.074,0.207,0.222,0.429,31.00,6.90,0.222,16,0.188,0.243,0.062,0.278,0.250,0.528,27.80,11.10,0.273
Jedd Gyorko,$3.0K,R,STL,2B/3B,COL,5,Tyler Anderson,L,,,,,,200,10,,,3.93,-0.59,162,0.327,0.415,0.265,0.391,0.593,0.984,14.10,10.30,0.328,7.52,2.51,19,0.368,0.454,0.211,0.478,0.579,1.057,13.00,17.40,0.400,3,0.333,0.451,0,0.600,0.333,0.933,0.00,40.00,0.333,0,0.000,0,0,1.000,0.000,1.000,0.00,0.00,0.000
Eric Hosmer,$3.3K,L,SDP,1B,SFG,4,Derek Holland,L, ,,,,,600,9,,,3.94,-0.01,322,0.252,0.299,0.134,0.301,0.385,0.686,15.90,6.60,0.281,7.74,2.35,29,0.103,0.104,0.034,0.103,0.138,0.241,20.70,0.00,0.130,6,0.000,0,0,0.000,0.000,0.000,50.00,0.00,0.000,3,0.000,0,0,0.000,0.000,0.000,33.30,0.00,0.000
Jake Cave,$2.8K,L,MIN,OF,CLE,8,Shane Bieber,R,,,,,,500,4,,,4.59,0.09,80,0.300,0.355,0.2,0.333,0.500,0.833,23.80,4.80,0.379,6.53,2.33,48,0.333,0.380,0.188,0.373,0.521,0.894,27.50,5.90,0.471,17,0.176,0.205,0.059,0.222,0.235,0.457,27.80,5.60,0.250,12,0.250,0.251,0.083,0.250,0.333,0.583,16.70,0.00,0.300
John Ryan Murphy,$3.0K,R,ARI,C,TEX,8,Martin Perez,L,,,,,,1000,-21,,,4.96,-0.14,73,0.233,0.320,0.233,0.282,0.466,0.748,21.80,6.40,0.235,6.92,2.31,16,0.062,0.092,0,0.118,0.063,0.181,35.30,5.90,0.100,7,0.000,0,0,0.000,0.000,0.000,28.60,0.00,0.000,4,0.000,0,0,0.000,0.000,0.000,50.00,0.00,0.000
Robbie Grossman,$3.0K,S,MIN,OF,CLE,6,Shane Bieber,R,,,,,,600,6,,,4.59,0.09,439,0.244,0.321,0.134,0.341,0.378,0.719,20.30,12.50,0.295,6.9,2.3,35,0.286,0.324,0.086,0.359,0.371,0.730,22.50,10.00,0.385,16,0.250,0.313,0.062,0.368,0.313,0.681,21.10,15.80,0.333,10,0.300,0.365,0.1,0.417,0.400,0.817,16.70,16.70,0.375
Jorge Polanco,$3.4K,S,MIN,SS,CLE,3,Shane Bieber,R,,,,,,800,-2,,,4.59,0.09,379,0.280,0.346,0.158,0.355,0.438,0.793,15.40,10.30,0.315,7.71,2.27,53,0.396,0.452,0.151,0.500,0.547,1.047,21.90,15.60,0.538,18,0.444,0.495,0.167,0.545,0.611,1.156,13.60,13.60,0.533,13,0.385,0.450,0.154,0.500,0.538,1.038,6.20,12.50,0.417
Eddie Rosario,$4.2K,L,MIN,OF,CLE,2,Shane Bieber,R,,,,,,800,3,,,4.59,0.09,654,0.306,0.391,0.258,0.355,0.564,0.919,17.30,7.30,0.320,9.19,2.19,65,0.292,0.320,0.077,0.343,0.369,0.712,18.60,7.10,0.353,26,0.308,0.327,0.077,0.357,0.385,0.742,17.90,7.10,0.381,18,0.333,0.353,0.111,0.368,0.444,0.812,26.30,5.30,0.462
Paul Goldschmidt,$4.8K,R,ARI,1B,TEX,3,Martin Perez,L,,,,,,500,1,,,4.96,-0.14,253,0.312,0.439,0.304,0.421,0.617,1.038,19.30,15.40,0.339,10.39,2.16,31,0.355,0.409,0.161,0.412,0.516,0.928,26.50,8.80,0.476,11,0.364,0.447,0.273,0.417,0.636,1.053,16.70,8.30,0.375,9,0.333,0.423,0.333,0.333,0.667,1.000,11.10,0.00,0.286
Max Kepler,$3.5K,L,MIN,OF,CLE,5,Shane Bieber,R,,,,,,1200,-7,,,4.59,0.09,633,0.251,0.341,0.199,0.332,0.450,0.782,15.80,10.40,0.270,7.53,2.15,49,0.306,0.470,0.408,0.414,0.714,1.128,13.80,13.80,0.278,17,0.294,0.467,0.471,0.368,0.765,1.133,15.80,5.30,0.250,7,0.429,0.532,0.286,0.556,0.714,1.270,11.10,11.10,0.500
