Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,,,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP
Robbie Grossman,$2.7K,S,MIN,OF,@ DET,6,Michael Fulmer,R,,,,,,500,4,,,4.58,0.18,377,0.236,0.316,0.141,0.332,0.377,0.709,19.90,12.80,0.278,7.24,2.68,46,0.217,0.295,0.087,0.327,0.304,0.631,16.40,16.40,0.243,31,0.226,0.309,0.129,0.314,0.355,0.669,16.70,13.90,0.250,14,0.143,0.241,0.214,0.143,0.357,0.500,20.00,6.70,0.100
Brandon Guyer,$2.8K,R,CLE,OF,@ CHW,5,Carlos Rodon,L,,,,,,800,-6,,,4.53,-0.38,159,0.245,0.323,0.157,0.330,0.403,0.733,19.60,9.20,0.283,7.27,2.6,2,0.000,0.418,0,0.600,0.000,0.600,0.00,40.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Logan Morrison,$3.0K,L,MIN,1B,@ DET,4,Michael Fulmer,R,,,,,,300,5,,,4.58,0.18,529,0.233,0.355,0.267,0.326,0.499,0.825,23.20,13.10,0.241,7.81,2.6,48,0.167,0.313,0.229,0.286,0.396,0.682,19.00,17.20,0.147,28,0.179,0.307,0.286,0.258,0.464,0.722,25.80,9.70,0.167,13,0.154,0.284,0.308,0.214,0.462,0.676,28.60,7.10,0.125
Joseph Wendle,$2.9K,L,TBR,2B,@ NYY,5,Domingo German,R,,,,,,500,4,,,3.74,-0.05,167,0.281,0.314,0.120,0.320,0.401,0.721,20.20,6.00,0.338,7.01,2.42,62,0.290,0.322,0.097,0.338,0.387,0.725,21.70,7.20,0.362,30,0.267,0.256,0,0.303,0.267,0.570,27.30,3.00,0.364,14,0.286,0.265,0,0.313,0.286,0.599,12.50,0.00,0.308
Michael Conforto,$3.5K,L,NYM,OF,@ ARI,1,Matt Koch,R,,,,,,900,-3,,,4.14,-0.22,407,0.278,0.390,0.243,0.378,0.521,0.899,21.80,15.10,0.315,8.44,2.41,53,0.245,0.334,0.132,0.355,0.377,0.732,18.80,15.60,0.282,20,0.000,0.116,0,0.167,0.000,0.167,28.00,16.00,0.000,11,0.000,0.108,0,0.154,0.000,0.154,23.10,7.70,0.000
Jose Pirela,$2.9K,R,SDP,2B/OF,@ ATL,1,Anibal Sanchez,R, ,,,,,500,4,,,3.71,-0.25,419,0.279,0.321,0.131,0.327,0.411,0.738,20.00,6.60,0.342,6.93,2.39,66,0.303,0.302,0.076,0.319,0.379,0.698,13.00,2.90,0.345,36,0.250,0.236,0.028,0.263,0.278,0.541,18.40,2.60,0.300,18,0.333,0.293,0,0.333,0.333,0.666,22.20,0.00,0.429
Kevan Smith,$2.8K,R,CHW,C,CLE,5,Mike Clevinger,R, ,,,,,500,-14,,,3.97,-0.12,178,0.309,0.321,0.096,0.333,0.404,0.737,15.60,3.60,0.356,6.55,2.34,13,0.308,0.270,0,0.308,0.308,0.616,0.00,0.00,0.308,13,0.308,0.270,0,0.308,0.308,0.616,0.00,0.00,0.308,9,0.333,0.293,0,0.333,0.333,0.666,0.00,0.00,0.333
John Ryan Murphy,$3.5K,R,ARI,C,NYM,4,Jason Vargas,L,,,,,,1000,-22,,,4.86,0.22,48,0.292,0.399,0.354,0.306,0.646,0.952,20.40,2.00,0.273,8.18,2.34,22,0.318,0.466,0.455,0.348,0.773,1.121,17.40,4.30,0.267,14,0.214,0.299,0.214,0.267,0.429,0.696,20.00,6.70,0.200,6,0.167,0.224,0,0.286,0.167,0.453,28.60,14.30,0.250
Rhys Hoskins,$4.3K,R,PHI,OF,COL,2,German Marquez,R, ,,,,,400,3,,,4.42,0.02,274,0.252,0.375,0.270,0.341,0.522,0.863,25.80,13.80,0.290,9.93,2.31,46,0.130,0.215,0.130,0.216,0.261,0.477,25.50,9.80,0.156,5,0.000,0.196,0,0.286,0.000,0.286,14.30,28.60,0.000,5,0.000,0.196,0,0.286,0.000,0.286,14.30,28.60,0.000
Aaron Hicks,$3.9K,S,NYY,OF,TBR,1,Blake Snell,L,,,,,,800,-1,,,4.76,0.05,166,0.277,0.357,0.199,0.353,0.476,0.829,18.30,11.00,0.307,9.02,2.31,24,0.375,0.522,0.417,0.483,0.792,1.275,17.20,17.20,0.412,7,0.429,0.658,0.714,0.556,1.143,1.699,33.30,22.20,0.667,3,0.333,0.484,0.333,0.500,0.667,1.167,50.00,25.00,1.000
Amed Rosario,$2.8K,R,NYM,SS,@ ARI,8,Matt Koch,R, ,,,,,800,-4,,,4.14,-0.22,279,0.237,0.264,0.104,0.267,0.341,0.608,25.30,3.10,0.307,6.45,2.3,65,0.246,0.287,0.138,0.279,0.385,0.664,16.40,4.50,0.269,29,0.172,0.221,0.103,0.226,0.276,0.502,25.80,6.50,0.238,15,0.067,0.059,0,0.067,0.067,0.134,26.70,0.00,0.091
Jackie Bradley,$2.8K,L,BOS,OF,@ SEA,8,Felix Hernandez,R,,,,,,300,11,,,4.48,-0.04,520,0.227,0.301,0.156,0.299,0.383,0.682,24.40,8.90,0.278,6.41,2.29,59,0.220,0.293,0.119,0.319,0.339,0.658,27.50,10.10,0.317,32,0.188,0.250,0.062,0.289,0.250,0.539,26.30,7.90,0.261,12,0.000,0.096,0,0.133,0.000,0.133,20.00,0.00,0.000
Jesmuel Valentin,$2.8K,S,PHI,2B/SS,COL,6,German Marquez,R,,,,,,500,5,,,4.42,0.02,17,0.235,0.207,0,0.235,0.235,0.470,41.20,0.00,0.400,6.4,2.29,14,0.214,0.188,0,0.214,0.214,0.428,42.90,0.00,0.375,8,0.375,0.330,0,0.375,0.375,0.750,25.00,0.00,0.500,6,0.333,0.293,0,0.333,0.333,0.666,16.70,0.00,0.400
Rajai Davis,$3.1K,R,CLE,OF,@ CHW,2,Carlos Rodon,L,,,,,,1100,-13,,,4.53,-0.38,166,0.235,0.274,0.090,0.285,0.325,0.610,18.10,8.20,0.280,7.09,2.29,11,0.273,0.309,0,0.385,0.273,0.658,7.70,15.40,0.300,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
