Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,,,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP
Billy Hamilton,$3.0K,S,CIN,OF,STL,1,Miles Mikolas,R,,,,,,100,9,,,4.5, ,440,0.255,0.298,0.086,0.324,0.341,0.665,0.20,0.09,0.322,8.1,2.7,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,25,0.200,0.277,0.000,0.355,0.200,0.555,0.23,0.19,0.278,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Drew Robinson,$2.5K,L,TEX,OF,@ HOU,9,Charlie Morton,R,,,,,,200,11,,,3.17, ,125,0.200,0.303,0.192,0.291,0.392,0.683,0.40,0.11,0.302,6.43,2.57,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Joseph Wendle,$2.6K,L,TBR,2B,PHI,5,Jake Arrieta,R,,,,,, ,11,,,3.67, ,37,0.243,0.323,0.216,0.293,0.459,0.752,0.20,0.07,0.250,6.58,2.53,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Marcus Semien,$3.2K,R,OAK,SS,@ SEA,1,Marco Gonzales,L,,,,,,-400,4,,,4.43, ,116,0.233,0.301,0.138,0.305,0.371,0.676,0.25,0.09,0.296,8.06,2.52,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7,0.143,0.245,0.143,0.250,0.286,0.536,0.50,0.13,0.333
Nick Hundley,$2.4K,R,SFG,C,@ SDP,5,Clayton Richard,L,,,,,,400,-29,,,4.17, ,108,0.287,0.361,0.222,0.325,0.509,0.834,0.25,0.05,0.360,6.02,2.51,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Mark Canha,$2.8K,R,OAK,OF,@ SEA,2,Marco Gonzales,L,,,,,,700,-9,,,4.43, ,76,0.211,0.249,0.131,0.231,0.342,0.573,0.28,0.03,0.283,6.96,2.49,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Kevin Kiermaier,$3.0K,L,TBR,OF,PHI,3,Jake Arrieta,R,,,,,,400,-3,,,3.67, ,264,0.273,0.349,0.193,0.333,0.466,0.799,0.24,0.08,0.332,7.4,2.47,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,16,0.125,0.227,0.000,0.300,0.125,0.425,0.40,0.20,0.250,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Scooter Gennett,$3.1K,L,CIN,2B,STL,4,Miles Mikolas,R,,,,,, ,8,,,4.5, ,398,0.307,0.384,0.238,0.346,0.545,0.891,0.21,0.06,0.343,7.6,2.45,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Thomas Pham,$3.8K,R,STL,OF,@ CIN,1,Brandon Finnegan,L,,,,,,-100,18,,,5, ,107,0.290,0.411,0.261,0.405,0.551,0.956,0.21,0.17,0.311,9.26,2.44,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Peter Bourjos,$2.4K,R,ATL,OF,@ CHC,8,Jose Quintana,L,,,,,,100,14,,,2.78, ,108,0.250,0.309,0.167,0.293,0.417,0.710,0.25,0.06,0.312,5.84,2.43,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
