Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,,,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP
Guillermo Heredia,$3.1K,R,SEA,OF,@ COL,7,Tyler Anderson,L,,,,,,100,41,,,4.98,-0.25,205,0.268,0.307,0.102,0.320,0.371,0.691,16.70,6.60,0.311,8.81,2.84,18,0.167,0.175,0,0.211,0.167,0.378,36.80,5.30,0.273,9,0.222,0.195,0,0.222,0.222,0.444,22.20,0.00,0.286,4,0.250,0.220,0,0.250,0.250,0.500,0.00,0.00,0.250
Ryon Healy,$4.0K,R,SEA,1B,@ COL,5,Tyler Anderson,L,,,,,,900, ,,,4.98,-0.25,221,0.276,0.337,0.195,0.313,0.471,0.784,21.90,5.20,0.314,10.61,2.65,30,0.133,0.136,0,0.161,0.133,0.294,22.60,3.20,0.174,14,0.143,0.126,0,0.143,0.143,0.286,14.30,0.00,0.167,5,0.200,0.176,0,0.200,0.200,0.400,20.00,0.00,0.250
Gerardo Parra,$4.2K,L,COL,OF,SEA,6,Mike Leake,R,,,,,,1100,-8,,,6.02,-0.25,493,0.312,0.348,0.150,0.345,0.462,0.807,15.00,5.40,0.345,10.85,2.58,45,0.400,0.454,0.267,0.420,0.667,1.087,11.80,7.80,0.410,18,0.333,0.352,0.111,0.350,0.444,0.794,9.50,9.50,0.353,9,0.333,0.370,0.111,0.333,0.444,0.777,20.00,10.00,0.429
Marcell Ozuna,$3.3K,R,STL,OF,CIN,4,Anthony DeSclafani,R, ,,,,,500,23,,,4.65,-0.36,757,0.296,0.367,0.213,0.342,0.509,0.851,21.10,7.80,0.335,8.43,2.55,71,0.239,0.244,0.042,0.273,0.282,0.555,22.10,5.20,0.304,32,0.188,0.186,0.031,0.206,0.219,0.425,20.60,2.90,0.231,11,0.182,0.188,0,0.231,0.182,0.413,7.70,7.70,0.182
George Springer,$4.3K,R,HOU,OF,DET,1,Francisco Liriano,L,,,,,,700,9,,,5.2,0.12,265,0.291,0.392,0.238,0.384,0.528,0.912,18.40,12.30,0.309,10.76,2.5,31,0.161,0.201,0.032,0.235,0.194,0.429,30.30,9.10,0.238,13,0.231,0.237,0,0.286,0.231,0.517,46.20,7.70,0.429,4,0.500,0.440,0,0.500,0.500,1.000,25.00,0.00,0.667
Chris Iannetta,$3.6K,R,COL,C,SEA,8,Mike Leake,R, ,,,,,400,-7,,,6.02,-0.25,301,0.239,0.348,0.236,0.324,0.475,0.799,30.10,11.00,0.308,8.97,2.49,16,0.250,0.337,0.188,0.333,0.438,0.771,33.30,11.10,0.333,6,0.000,0,0,0.000,0.000,0.000,33.30,0.00,0.000,4,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Jonathan Schoop,$3.6K,R,BAL,2B,TEX,2,Mike Minor,L,,,,,,600,10,,,4.53, ,238,0.273,0.351,0.214,0.332,0.487,0.819,21.00,8.00,0.306,8.91,2.48,27,0.148,0.158,0.037,0.172,0.185,0.357,10.70,3.60,0.160,9,0.333,0.301,0.111,0.300,0.444,0.744,20.00,0.00,0.375,9,0.333,0.301,0.111,0.300,0.444,0.744,20.00,0.00,0.375
Adam Jones,$3.4K,R,BAL,OF,TEX,4,Mike Minor,L,,,,,,800,3,,,4.53, ,255,0.275,0.306,0.118,0.311,0.392,0.703,15.10,4.80,0.306,8.33,2.45,26,0.192,0.183,0.038,0.192,0.231,0.423,7.70,0.00,0.208,9,0.111,0.139,0.111,0.111,0.222,0.333,0.00,0.00,0.111,9,0.111,0.139,0.111,0.111,0.222,0.333,0.00,0.00,0.111
Tim Beckham,$3.2K,R,BAL,3B,TEX,1,Mike Minor,L,,,,,,700,3,,,4.53, ,173,0.272,0.341,0.173,0.337,0.445,0.782,27.70,8.40,0.354,7.8,2.44,18,0.389,0.383,0.111,0.389,0.500,0.889,22.20,0.00,0.500,10,0.300,0.301,0.1,0.300,0.400,0.700,30.00,0.00,0.429,10,0.300,0.301,0.1,0.300,0.400,0.700,30.00,0.00,0.429
Ronny Rodriguez,$2.6K,R,DET,2B/3B,@ HOU,6,Justin Verlander,R, ,,,,,500,10,,,2.3,-0.12,35,0.143,0.179,0,0.225,0.143,0.368,25.00,10.00,0.192,6.32,2.43,20,0.250,0.298,0,0.375,0.250,0.625,20.80,16.70,0.333,18,0.278,0.307,0,0.381,0.278,0.659,19.00,14.30,0.357,11,0.091,0.21,0,0.286,0.091,0.377,21.40,21.40,0.125
Jose Altuve,$4.7K,R,HOU,2B,DET,3,Francisco Liriano,L,,,,,,700, ,,,5.2,0.12,258,0.329,0.387,0.174,0.389,0.504,0.893,12.10,10.00,0.350,11.17,2.38,24,0.292,0.384,0.167,0.414,0.458,0.872,0.00,20.00,0.261,11,0.182,0.331,0.273,0.308,0.455,0.763,0.00,21.40,0.100,3,0.333,0.293,0,0.333,0.333,0.666,0.00,0.00,0.333
John Hicks,$2.9K,R,DET,1B/C,@ HOU,5,Justin Verlander,R, ,,,,,500,-3,,,2.3,-0.12,287,0.268,0.316,0.146,0.313,0.415,0.728,27.60,5.20,0.351,6.88,2.37,51,0.196,0.229,0.078,0.241,0.275,0.516,34.50,5.50,0.290,17,0.176,0.185,0,0.222,0.176,0.398,33.30,5.60,0.273,12,0.167,0.146,0,0.167,0.167,0.334,50.00,0.00,0.333
Paulo Orlando,$2.8K,R,KCR,OF,@ CHW,6,Lucas Giolito,R, ,,,,,800,-9,,,4.67,0.1,121,0.174,0.201,0.074,0.206,0.248,0.454,24.40,3.10,0.216,6.63,2.37,8,0.250,0.266,0.125,0.250,0.375,0.625,12.50,0.00,0.286,4,0.250,0.220,0,0.250,0.250,0.500,0.00,0.00,0.250,4,0.250,0.220,0,0.250,0.250,0.500,0.00,0.00,0.250
Paul DeJong,$3.7K,R,STL,SS,CIN,3,Anthony DeSclafani,R, ,,,,,400,8,,,4.65,-0.36,474,0.287,0.359,0.217,0.330,0.504,0.834,26.70,5.10,0.354,8.66,2.34,18,0.278,0.307,0.056,0.350,0.333,0.683,15.00,10.00,0.333,18,0.278,0.307,0.056,0.350,0.333,0.683,15.00,10.00,0.333,11,0.273,0.337,0.091,0.385,0.364,0.749,15.40,15.40,0.333
Jose Abreu,$3.7K,R,CHW,1B,KCR,3,Burch Smith,R, ,,,,,900,-3,,,4.83,-0.1,764,0.272,0.342,0.215,0.311,0.487,0.798,17.40,5.10,0.296,8.65,2.34,81,0.160,0.199,0.086,0.190,0.247,0.437,19.80,4.70,0.177,34,0.118,0.153,0.088,0.118,0.206,0.324,20.00,2.90,0.115,15,0.200,0.254,0.2,0.200,0.400,0.600,0.00,0.00,0.143
Salvador Perez,$3.6K,R,KCR,C,@ CHW,4,Lucas Giolito,R, ,,,,,700,-19,,,4.67,0.1,551,0.252,0.314,0.200,0.282,0.452,0.734,19.00,2.80,0.270,8.17,2.27,63,0.238,0.261,0.127,0.246,0.365,0.611,29.20,0.00,0.302,35,0.257,0.306,0.2,0.270,0.457,0.727,27.00,0.00,0.292,20,0.300,0.380,0.35,0.286,0.650,0.936,23.80,0.00,0.286
Colin Moran,$3.4K,L,PIT,3B,MIL,5,Jhoulys Chacin,R,,,,,,900,-1,,,3.81,-0.37,230,0.283,0.344,0.178,0.340,0.461,0.801,14.30,8.50,0.298,7.73,2.27,55,0.273,0.297,0.145,0.281,0.418,0.699,12.10,3.40,0.277,29,0.310,0.338,0.138,0.333,0.448,0.781,6.70,3.30,0.308,18,0.278,0.287,0.056,0.316,0.333,0.649,10.50,5.30,0.312
Kevin Kiermaier,$3.8K,L,TBR,OF,@ MIN,1,Fernando Romero,R,,,,,,800,7,,,4.43,0.01,335,0.260,0.327,0.173,0.320,0.433,0.753,23.50,8.60,0.316,8.62,2.27,67,0.179,0.235,0.090,0.253,0.269,0.522,23.70,7.90,0.224,36,0.194,0.220,0.111,0.211,0.306,0.517,20.50,5.10,0.214,17,0.294,0.329,0.176,0.316,0.471,0.787,15.00,10.00,0.286
Michael Conforto,$3.6K,L,NYM,OF,WAS,4,Jeremy Hellickson,R,,,,,,900,1,,,4.17,-0.09,470,0.262,0.377,0.230,0.373,0.491,0.864,21.50,15.90,0.293,8.18,2.27,55,0.145,0.272,0.109,0.314,0.255,0.569,22.50,19.70,0.158,28,0.107,0.271,0.107,0.324,0.214,0.538,21.60,21.60,0.105,19,0.105,0.299,0.158,0.346,0.263,0.609,11.50,23.10,0.067
Gregory Polanco,$4.3K,L,PIT,OF,MIL,3,Jhoulys Chacin,R,,,,,,800,5,,,3.81,-0.37,504,0.244,0.324,0.196,0.306,0.440,0.746,16.90,9.90,0.256,9.72,2.26,44,0.318,0.475,0.409,0.436,0.727,1.163,27.30,18.20,0.360,24,0.250,0.400,0.417,0.321,0.667,0.988,32.10,10.70,0.231,13,0.308,0.514,0.692,0.333,1.000,1.333,20.00,6.70,0.125
Manny Machado,$4.6K,R,BAL,SS,TEX,3,Mike Minor,L,,,,,,400,3,,,4.53, ,260,0.273,0.351,0.238,0.318,0.512,0.830,12.00,7.10,0.264,10.2,2.22,24,0.292,0.288,0.042,0.320,0.333,0.653,8.00,4.00,0.318,8,0.250,0.313,0.125,0.333,0.375,0.708,0.00,11.10,0.250,8,0.250,0.313,0.125,0.333,0.375,0.708,0.00,11.10,0.250
Eric Hosmer,$3.1K,L,SDP,1B,CHC,4,Jon Lester,L, ,,,,,500,-2,,,3.71,0.22,314,0.255,0.302,0.137,0.303,0.392,0.695,15.10,6.80,0.281,6.89,2.22,38,0.184,0.185,0.026,0.205,0.211,0.416,15.40,2.60,0.219,20,0.100,0.134,0.05,0.143,0.150,0.293,9.50,4.80,0.111,14,0.143,0.152,0.071,0.143,0.214,0.357,7.10,0.00,0.154
Kyle Seager,$4.1K,L,SEA,3B,@ COL,4,Tyler Anderson,L, ,,,,,600,1,,,4.98,-0.25,289,0.263,0.334,0.194,0.319,0.457,0.776,21.10,6.00,0.297,8.98,2.19,31,0.323,0.366,0.161,0.364,0.484,0.848,30.30,6.10,0.450,14,0.357,0.384,0.071,0.438,0.429,0.867,18.80,12.50,0.455,7,0.286,0.251,0,0.286,0.286,0.572,28.60,0.00,0.400
