Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,,,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP
Rajai Davis,$2.4K,R,CLE,OF,TEX,7,Cole Hamels,L,,,,,,300,2,,,4.58,-0.01,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7.32,3.05,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,17,0.059,0.088,0.000,0.111,0.059,0.170,0.11,0.06,0.067,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Gorkys Hernandez,$2.6K,R,SFG,OF,SDP,1,Eric Lauer,L,,,,,,500,-2,,,4.2,0.02,159,0.245,0.271,0.063,0.294,0.308,0.602,0.25,0.07,0.333,7.07,2.72,19,0.368,0.345,-0.000,0.400,0.368,0.768,0.35,0.05,0.583,21,0.333,0.314,-0.000,0.364,0.333,0.697,0.36,0.04,0.538,7,0.286,0.308,0.000,0.375,0.286,0.661,0.25,0.13,0.400
Austin Jackson,$2.5K,R,SFG,OF,SDP,6,Eric Lauer,L,,,,,,500,-3,,,4.2,0.02,173,0.312,0.374,0.156,0.383,0.468,0.851,0.23,0.10,0.400,6.81,2.72,40,0.250,0.253,0.025,0.286,0.275,0.561,0.36,0.05,0.400,51,0.216,0.218,0.019,0.245,0.235,0.480,0.34,0.04,0.333,9,0.222,0.240,0.111,0.222,0.333,0.555,0.44,0.00,0.400
Manny Pina,$2.5K,R,MIL,C,@ CIN,6,Brandon Finnegan,L,,,,,,300,-24,,,4.93,-0.01,105,0.267,0.283,0.076,0.297,0.343,0.640,0.24,0.04,0.354,6.79,2.72,7,0.000,0.086,0.000,0.125,0.000,0.125,0.38,0.13,0.000,11,0.091,0.132,0.000,0.167,0.091,0.258,0.25,0.08,0.125,2,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000
Josh Bell,$3.1K,S,PIT,1B,@ WAS,4,Tanner Roark,R,,,,,,-100,8,,,3.94,0.34,511,0.254,0.338,0.192,0.326,0.446,0.772,0.20,0.10,0.291,8.02,2.59,74,0.203,0.251,0.108,0.253,0.311,0.564,0.23,0.06,0.255,84,0.238,0.277,0.107,0.281,0.345,0.626,0.20,0.06,0.292,18,0.167,0.177,0.000,0.211,0.167,0.378,0.21,0.05,0.214
Brandon Guyer,$2.6K,R,CLE,OF,TEX,6,Cole Hamels,L,,,,,,500,-2,,,4.58,-0.01,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.62,2.55,25,0.200,0.347,0.320,0.286,0.520,0.806,0.21,0.11,0.176,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7,0.286,0.627,0.857,0.500,1.143,1.643,0.20,0.30,0.000
Andrew McCutchen,$3.5K,R,SFG,OF,SDP,2,Eric Lauer,L,,,,,,100,11,,,4.2,0.02,176,0.295,0.425,0.307,0.389,0.602,0.991,0.18,0.13,0.310,8.86,2.53,38,0.211,0.328,0.210,0.318,0.421,0.739,0.27,0.14,0.250,47,0.191,0.296,0.192,0.283,0.383,0.666,0.24,0.11,0.219,8,0.125,0.218,0.125,0.222,0.250,0.472,0.33,0.11,0.200
Isiah Kiner-Falefa,$2.5K,R,TEX,2B/SS,@ CLE,6,Trevor Bauer,R, ,,,,,-300,17,,,3.42,0.01,46,0.304,0.321,0.109,0.319,0.413,0.732,0.26,0.02,0.394,6.29,2.52,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Jeff Mathis,$2.2K,R,ARI,C,LAD,8,Ross Stripling,R, ,,,,,200,-27,,,4.23,-0.07,162,0.204,0.245,0.080,0.259,0.284,0.543,0.32,0.07,0.305,5.52,2.51,15,0.133,0.186,-0.000,0.235,0.133,0.368,0.47,0.12,0.286,16,0.125,0.227,0.000,0.300,0.125,0.425,0.40,0.20,0.250,5,0.200,0.263,0.000,0.333,0.200,0.533,0.17,0.17,0.250
Justin Smoak,$3.5K,S,TOR,1B,@ MIN,3,Lance Lynn,R,,,,,,-300,10,,,4.9,0.33,500,0.244,0.359,0.256,0.327,0.500,0.827,0.23,0.11,0.262,8.69,2.48,47,0.149,0.252,0.106,0.281,0.255,0.536,0.25,0.16,0.206,57,0.193,0.320,0.211,0.319,0.404,0.723,0.26,0.16,0.237,8,0.000,0.077,0.000,0.111,0.000,0.111,0.33,0.11,0.000
Daniel Descalso,$2.8K,L,ARI,2B/3B,LAD,5,Ross Stripling,R,,,,,, ,5,,,4.23,-0.07,328,0.244,0.331,0.177,0.332,0.421,0.753,0.22,0.12,0.290,6.91,2.47,48,0.229,0.318,0.167,0.333,0.396,0.729,0.20,0.15,0.263,52,0.231,0.318,0.154,0.338,0.385,0.723,0.18,0.15,0.262,16,0.312,0.417,0.313,0.409,0.625,1.034,0.18,0.18,0.308
Sean Rodriguez,$2.7K,R,PIT,2B/OF,@ WAS,3,Tanner Roark,R, ,,,,,-100,11,,,3.94,0.34,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.64,2.46,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,30,0.133,0.235,0.100,0.257,0.233,0.490,0.26,0.14,0.150,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
