Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,,,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP
Elvis Andrus,$3.5K,R,TEX,SS,@ DET,2,Matt Boyd,L,,,,,,400,3,,,4.42,-0.41,171,0.275,0.338,0.181,0.324,0.456,0.780,12.90,7.00,0.284,9.37,2.68,18,0.111,0.118,0.056,0.111,0.167,0.278,11.10,0.00,0.125,16,0.125,0.133,0.062,0.125,0.188,0.313,12.50,0.00,0.143,6,0.000,0,0,0.000,0.000,0.000,16.70,0.00,0.000
Nick Ahmed,$3.2K,R,ARI,SS,SDP,2,Eric Lauer,L,,,,,,700,2,,,4.71,0.04,135,0.326,0.397,0.237,0.372,0.563,0.935,17.80,7.50,0.369,8.49,2.65,22,0.273,0.322,0.091,0.360,0.364,0.724,12.00,12.00,0.316,12,0.250,0.220,0,0.250,0.250,0.500,25.00,0.00,0.333,6,0.333,0.293,0,0.333,0.333,0.666,50.00,0.00,0.667
Adam Jones,$3.4K,R,BAL,OF,@ MIN,2,Aaron Slegers,R, ,,,,,500,11,,,4.66,0.07,690,0.287,0.338,0.187,0.315,0.474,0.789,18.10,3.30,0.315,8.99,2.64,66,0.303,0.328,0.076,0.361,0.379,0.740,20.80,5.60,0.392,35,0.229,0.258,0.086,0.270,0.314,0.584,24.30,2.70,0.308,16,0.250,0.269,0.062,0.294,0.313,0.607,35.30,5.90,0.400
Eric Hosmer,$3.7K,L,SDP,1B,@ ARI,4,Shelby Miller,R,,,,,,600,1,,,3.79,-0.04,628,0.318,0.385,0.185,0.385,0.503,0.888,18.50,11.30,0.369,9.49,2.56,61,0.213,0.259,0.131,0.250,0.344,0.594,22.70,7.60,0.250,23,0.174,0.196,0,0.240,0.174,0.414,19.20,11.50,0.222,14,0.214,0.188,0,0.214,0.214,0.428,20.00,6.70,0.273
Tim Beckham,$3.2K,R,BAL,3B,@ MIN,1,Aaron Slegers,R, ,,,,,1000,1,,,4.66,0.07,487,0.267,0.316,0.154,0.302,0.421,0.723,29.00,5.60,0.354,8.07,2.52,23,0.261,0.248,0,0.292,0.261,0.553,20.80,4.20,0.333,23,0.261,0.248,0,0.292,0.261,0.553,20.80,4.20,0.333,15,0.333,0.318,0,0.375,0.333,0.708,25.00,6.20,0.455
Cory Spangenberg,$3.3K,L,SDP,2B/3B,@ ARI,6,Shelby Miller,R,,,,,,1100,1,,,3.79,-0.04,468,0.278,0.336,0.160,0.331,0.438,0.769,23.90,6.80,0.345,8.13,2.46,56,0.339,0.350,0.071,0.383,0.411,0.794,23.00,4.90,0.439,22,0.318,0.314,0.045,0.348,0.364,0.712,29.20,4.20,0.467,10,0.400,0.382,0,0.455,0.400,0.855,25.00,8.30,0.571
Chris Davis,$2.8K,L,BAL,1B,@ MIN,5,Aaron Slegers,R,,,,,,600,-1,,,4.66,0.07,497,0.199,0.293,0.191,0.273,0.390,0.663,35.90,10.70,0.269,6.81,2.43,38,0.184,0.266,0.211,0.225,0.395,0.620,34.10,4.90,0.227,31,0.194,0.296,0.258,0.242,0.452,0.694,29.40,5.90,0.211,19,0.211,0.287,0.211,0.250,0.421,0.671,20.00,5.00,0.214
Steven Souza,$3.3K,R,ARI,OF,SDP,5,Eric Lauer,L,,,,,,1300,-14,,,4.71,0.04,148,0.277,0.355,0.128,0.392,0.405,0.797,26.40,15.70,0.388,8,2.42,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Logan Morrison,$3.5K,L,MIN,1B,BAL,5,Andrew Cashner,R,,,,,,800,1,,,5.34,0.43,563,0.227,0.348,0.261,0.320,0.488,0.808,23.10,12.70,0.233,8.34,2.38,46,0.152,0.260,0.217,0.231,0.370,0.601,21.20,5.80,0.121,21,0.238,0.339,0.286,0.292,0.524,0.816,16.70,4.20,0.188,6,0.333,0.541,0.5,0.500,0.833,1.333,25.00,12.50,0.333
Carlos Asuaje,$2.9K,L,SDP,2B,@ ARI,2,Shelby Miller,R,,,,,,900,4,,,3.79,-0.04,314,0.274,0.316,0.105,0.334,0.379,0.713,22.80,8.50,0.349,6.86,2.37,4,0.750,0.668,0,0.833,0.750,1.583,16.70,33.30,1.000,4,0.750,0.668,0,0.833,0.750,1.583,16.70,33.30,1.000,4,0.750,0.668,0,0.833,0.750,1.583,16.70,33.30,1.000
Adrian Beltre,$3.8K,R,TEX,3B,@ DET,4,Matt Boyd,L,,,,,,600, ,,,4.42,-0.41,121,0.372,0.424,0.182,0.441,0.554,0.995,15.20,13.10,0.414,8.96,2.36,23,0.435,0.468,0.130,0.500,0.565,1.065,25.90,11.10,0.625,14,0.357,0.419,0.071,0.471,0.429,0.900,27.80,16.70,0.556,7,0.429,0.415,0,0.429,0.429,0.858,25.00,12.50,0.600
Victor Martinez,$3.0K,S,DET,1B,TEX,5,Yovani Gallardo,R,,,,,,800,-2,,,4.58,-0.09,500,0.248,0.294,0.11,0.303,0.358,0.661,12.80,8.30,0.267,6.94,2.31,68,0.206,0.201,0.015,0.217,0.221,0.438,10.10,2.90,0.230,33,0.212,0.215,0,0.235,0.212,0.447,11.80,5.90,0.241,13,0.231,0.203,0,0.231,0.231,0.462,8.30,0.00,0.250
Freddy Galvis,$2.8K,S,SDP,SS,@ ARI,7,Shelby Miller,R,,,,,,600,1,,,3.79,-0.04,647,0.243,0.296,0.127,0.302,0.369,0.671,20.40,8.60,0.291,6.47,2.31,70,0.229,0.280,0.143,0.257,0.371,0.628,28.90,6.60,0.298,30,0.133,0.169,0,0.161,0.133,0.294,36.40,9.10,0.222,13,0.077,0.184,0,0.143,0.077,0.220,31.20,18.80,0.125
Hernan Perez,$3.3K,R,MIL,2B/OF,ATL,5,Max Fried,L,,,,,,1300,-2,,,4.32,-0.18,165,0.273,0.298,0.139,0.282,0.412,0.694,18.00,2.90,0.311,7.53,2.28,14,0.143,0.152,0.071,0.143,0.214,0.357,14.30,0.00,0.167,6,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,1,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Jake Marisnick,$3.0K,R,HOU,OF,CHW,9,Carlos Rodon,L,,,,,,600, ,,,4.85,-0.25,169,0.231,0.307,0.178,0.293,0.408,0.701,34.80,7.50,0.330,6.78,2.26,26,0.269,0.350,0.154,0.367,0.423,0.790,33.30,6.70,0.400,14,0.286,0.422,0.286,0.412,0.571,0.983,35.30,5.90,0.429,8,0.250,0.405,0.375,0.333,0.625,0.958,22.20,0.00,0.200
Justin Bour,$3.4K,L,MIA,1B,@ WAS,4,Jeremy Hellickson,R,,,,,,800,1,,,3.79,-0.01,478,0.276,0.376,0.245,0.355,0.521,0.876,21.60,13.60,0.306,7.7,2.26,60,0.250,0.362,0.2,0.375,0.450,0.825,27.80,16.70,0.324,34,0.176,0.274,0.088,0.317,0.265,0.582,31.70,17.10,0.250,20,0.150,0.204,0,0.261,0.150,0.411,26.10,13.00,0.214
Brian Dozier,$4.2K,R,MIN,2B,BAL,3,Andrew Cashner,R, ,,,,,500,1,,,5.34,0.43,723,0.243,0.335,0.203,0.323,0.447,0.770,19.90,10.40,0.267,9.47,2.25,57,0.123,0.238,0.193,0.194,0.316,0.510,23.40,10.90,0.103,31,0.161,0.313,0.258,0.257,0.419,0.676,21.60,16.20,0.143,14,0.143,0.315,0.286,0.250,0.429,0.679,29.40,17.60,0.125
Mikie Mahtook,$3.1K,R,DET,OF,TEX,1,Yovani Gallardo,R, ,,,,,1100,-9,,,4.58,-0.09,292,0.267,0.314,0.140,0.317,0.408,0.725,22.70,6.50,0.329,6.88,2.22,6,0.500,0.440,0,0.500,0.500,1.000,16.70,0.00,0.600,6,0.500,0.440,0,0.500,0.500,1.000,16.70,0.00,0.600,6,0.500,0.440,0,0.500,0.500,1.000,16.70,0.00,0.600
Martin Maldonado,$2.9K,R,LAA,C,@ SEA,8,Marco Gonzales,L,,,,,,600,-15,,,4.26,4.26,169,0.225,0.277,0.101,0.294,0.325,0.619,27.50,5.80,0.304,6.41,2.21,19,0.316,0.337,0.105,0.350,0.421,0.771,20.00,0.00,0.400,6,0.167,0.281,0.167,0.286,0.333,0.619,14.30,0.00,0.200,3,0.333,0.492,0.333,0.500,0.667,1.167,0.00,0.00,0.333
Cameron Maybin,$2.9K,R,MIA,OF,@ WAS,6,Jeremy Hellickson,R, ,,,,,700,-1,,,3.79,-0.01,391,0.217,0.301,0.141,0.316,0.358,0.674,21.50,12.40,0.262,6.39,2.2,25,0.280,0.293,0.12,0.280,0.400,0.680,28.00,0.00,0.353,16,0.375,0.403,0.188,0.375,0.563,0.938,31.20,0.00,0.500,10,0.500,0.556,0.3,0.500,0.800,1.300,30.00,0.00,0.667
Max Kepler,$3.2K,L,MIN,OF,BAL,7,Andrew Cashner,R,,,,,,700,-2,,,5.34,0.43,590,0.246,0.325,0.180,0.318,0.425,0.743,16.20,10.10,0.269,6.98,2.18,54,0.148,0.192,0.019,0.233,0.167,0.400,18.30,10.00,0.186,31,0.161,0.175,0,0.212,0.161,0.373,21.20,6.10,0.208,14,0.286,0.280,0,0.333,0.286,0.619,20.00,6.70,0.364
Jonathan Villar,$3.3K,S,MIL,2B,ATL,1,Max Fried,L,,,,,,800,3,,,4.32,-0.18,161,0.236,0.296,0.155,0.287,0.391,0.678,30.30,7.40,0.317,7.18,2.18,11,0.364,0.532,0.545,0.364,0.909,1.273,27.30,0.00,0.333,7,0.286,0.251,0,0.286,0.286,0.572,28.60,0.00,0.400,1,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
Travis Jankowski,$3.6K,L,SDP,OF,@ ARI,1,Shelby Miller,R,,,,,,1000,-8,,,3.79,-0.04,207,0.271,0.307,0.063,0.349,0.333,0.682,17.70,10.80,0.333,7.85,2.18,55,0.273,0.302,0.055,0.344,0.327,0.671,13.30,10.00,0.319,20,0.450,0.439,0.05,0.500,0.500,1.000,8.70,8.70,0.500,11,0.364,0.350,0,0.417,0.364,0.781,0.00,7.70,0.364
Ryan Braun,$4.3K,R,MIL,1B/OF,ATL,4,Max Fried,L,,,,,,1100,-12,,,4.32,-0.18,143,0.252,0.355,0.245,0.329,0.497,0.826,10.60,14.10,0.246,9.29,2.16,10,0.200,0.261,0,0.273,0.200,0.473,33.30,16.70,0.333,3,0.333,0.392,0,0.333,0.333,0.666,25.00,25.00,0.500,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000
