Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Joey Rickard,$2.7K,R,BAL,OF,BOS,1 ,Steven Wright,R, ,,,,,700,-3,8.5,115,4.03,-0.32,26,0.192,0.312,0.269,0.276,0.462,0.738,24.10,6.90,0.176,7.27,2.69
Lonnie Chisenhall,$2.9K,L,CLE,OF,@ CHW,7 ,Lucas Giolito,R,,,,,,200,7,9.0,-241,5.57,0.2,33,0.273,0.308,0.061,0.351,0.333,0.684,13.20,10.50,0.321,7.13,2.46
Cameron Maybin,$2.8K,R,MIA,OF,SFG,4 ,Madison Bumgarner,L,,,,,,800,-5,7.5,151,3.25,-0.03,62,0.290,0.313,0.097,0.323,0.387,0.710,13.60,7.60,0.340,6.85,2.45
Freddy Galvis,$2.7K,S,SDP,SS,@ STL,7 ,Jack Flaherty,R,,,,,,300,-2,8.5,151,3.71,0.17,165,0.218,0.266,0.085,0.290,0.303,0.593,19.30,10.20,0.267,6.57,2.43
Jonathan Schoop,$3.3K,R,BAL,2B,BOS,3 ,Steven Wright,R, ,,,,,100,11,8.5,115,4.03,-0.32,131,0.198,0.249,0.183,0.215,0.382,0.597,25.70,0.70,0.228,8.02,2.43
Matt Duffy,$3.2K,R,TBR,3B,TOR,1 ,Sam Gaviglio,R, ,,,,,600,1,8.0,-104,3.93,3.93,135,0.370,0.383,0.126,0.399,0.496,0.895,18.10,4.20,0.444,7.7,2.41
Joseph Wendle,$3.2K,L,TBR,2B,TOR,5 ,Sam Gaviglio,R,,,,,,900,4,8.0,-104,3.93,3.93,151,0.272,0.303,0.106,0.317,0.377,0.694,20.10,6.10,0.331,7.65,2.39
Chris Davis,$2.6K,L,BAL,1B,BOS,7 ,Steven Wright,R,,,,,,300,-2,8.5,115,4.03,-0.32,150,0.160,0.198,0.04,0.222,0.200,0.422,36.20,8.00,0.256,6.2,2.38
Kendrys Morales,$3.1K,S,TOR,1B,@ TBR,4 ,Ryan Yarbrough,L,,,,,,500,2,8.0,-110,4.07,4.07,49,0.184,0.235,0.102,0.222,0.286,0.508,24.10,9.30,0.216,7.32,2.36
Matt Carpenter,$3.8K,L,STL,2B/3B,SDP,1 ,Jordan Lyles,R,,,,,,-300,1,8.5,-166,4.79,-0.17,177,0.249,0.342,0.209,0.341,0.458,0.799,24.80,13.10,0.306,8.96,2.36
Melky Cabrera,$3.3K,S,CLE,OF,@ CHW,6 ,Lucas Giolito,R,,,,,,700,-2,9.0,-241,5.57,0.2,38,0.184,0.196,0.079,0.205,0.263,0.468,11.40,2.30,0.189,7.6,2.3
Danny Valencia,$3.3K,R,BAL,3B,BOS,4 ,Steven Wright,R, ,,,,,400,2,8.5,115,4.03,-0.32,64,0.312,0.363,0.203,0.348,0.516,0.864,21.70,5.80,0.362,7.58,2.3
Andrew McCutchen,$4.0K,R,SFG,OF,@ MIA,3 ,Wei-Yin Chen,L,,,,,,1100,-9,7.5,-171,4.25,0.03,84,0.238,0.314,0.167,0.304,0.405,0.709,25.00,9.80,0.305,9.1,2.28
Christian Vazquez,$2.6K,R,BOS,C,@ BAL,8 ,Dylan Bundy,R, ,,,,,300,-8,8.5,-129,4.47,-0.18,115,0.183,0.222,0.078,0.236,0.261,0.497,13.70,4.00,0.198,5.93,2.28
Jace Peterson,$2.7K,L,BAL,2B/3B,BOS,9 ,Steven Wright,R,,,,,,200,11,8.5,115,4.03,-0.32,84,0.190,0.264,0.071,0.292,0.262,0.554,26.00,12.50,0.271,6.11,2.26
Robert Refsnyder,$2.6K,R,TBR,OF,TOR,9 ,Sam Gaviglio,R, ,,,,,600, ,8.0,-104,3.93,3.93,28,0.250,0.302,0.036,0.364,0.286,0.650,30.30,15.20,0.389,5.85,2.25
Hernan Perez,$3.1K,R,MIL,2B/OF,CHC,5 ,Jose Quintana,L,,,,,,1100,-28,8.0,108,3.86,-0.17,37,0.189,0.229,0.189,0.184,0.378,0.562,23.70,0.00,0.185,6.98,2.25
Ian Kinsler,$3.7K,R,LAA,2B,@ SEA,1 ,Wade LeBlanc,L,,,,,,300,7,8.0,-117,4.1,0.03,51,0.176,0.209,0.098,0.208,0.275,0.483,11.30,3.80,0.182,8.24,2.23
Russell Martin,$2.9K,R,TOR,C,@ TBR,6 ,Ryan Yarbrough,L,,,,,,600,-12,8.0,-110,4.07,4.07,35,0.143,0.240,0.029,0.286,0.171,0.457,26.20,16.70,0.208,6.46,2.23
Nelson Cruz,$4.2K,R,SEA,OF,LAA,4 ,Andrew Heaney,L,,,,,,100,3,8.0,103,3.9,-0.03,52,0.269,0.399,0.308,0.371,0.577,0.948,19.00,12.70,0.270,9.34,2.22
Daniel Descalso,$3.8K,L,ARI,2B/3B,PIT,1 ,Joe Musgrove,R,,,,,,1000,-5,7.5,-152,4.13,-0.33,124,0.274,0.383,0.242,0.392,0.516,0.908,22.50,16.60,0.330,8.45,2.22
Lorenzo Cain,$4.2K,R,MIL,OF,CHC,1 ,Jose Quintana,L,,,,,,500,-1,8.0,108,3.86,-0.17,46,0.391,0.475,0.261,0.481,0.652,1.133,7.40,14.80,0.400,9.3,2.21
Greg Allen,$3.3K,S,CLE,OF,@ CHW,1 ,Lucas Giolito,R,,,,,,400,9,9.0,-241,5.57,0.2,70,0.229,0.286,0.143,0.289,0.371,0.660,27.60,6.60,0.312,7.27,2.2
Adam Jones,$3.5K,R,BAL,OF,BOS,2 ,Steven Wright,R, ,,,,,400,6,8.5,115,4.03,-0.32,183,0.268,0.323,0.213,0.289,0.481,0.770,19.00,2.60,0.288,7.67,2.19
Zack Cozart,$3.3K,R,LAA,2B/3B,@ SEA,5 ,Wade LeBlanc,L,,,,,,200,8,8.0,-117,4.1,0.03,50,0.180,0.240,0.14,0.241,0.320,0.561,10.30,6.90,0.174,7.21,2.18
Yadiel Rivera,$2.6K,R,MIA,2B/SS,SFG,8 ,Madison Bumgarner,L,,,,,,600,6,7.5,151,3.25,-0.03,17,0.235,0.349,0.059,0.435,0.294,0.729,24.00,32.00,0.364,5.63,2.17
Raffy Lopez,$2.7K,L,SDP,C,@ STL,8 ,Jack Flaherty,R,,,,,,600,-17,8.5,151,3.71,0.17,66,0.152,0.226,0.136,0.227,0.288,0.515,34.60,12.80,0.184,5.87,2.17
Yonder Alonso,$3.6K,L,CLE,1B,@ CHW,5 ,Lucas Giolito,R,,,,,, ,6,9.0,-241,5.57,0.2,160,0.263,0.339,0.194,0.328,0.456,0.784,22.60,9.60,0.301,7.79,2.16
Kevan Smith,$2.7K,R,CHW,C,CLE,6 ,Carlos Carrasco,R, ,,,,,500,-15,9.0,208,3.43,-0.2,10,0.300,0.263,0,0.300,0.300,0.600,0.00,0.00,0.300,5.83,2.16
Michael Brantley,$4.7K,L,CLE,OF,@ CHW,2 ,Lucas Giolito,R,,,,,,400,1,9.0,-241,5.57,0.2,152,0.329,0.388,0.224,0.371,0.553,0.924,9.60,7.20,0.326,10.05,2.14
Buster Posey,$4.0K,R,SFG,C,@ MIA,2 ,Wei-Yin Chen,L,,,,,,1200,-14,7.5,-171,4.25,0.03,65,0.262,0.362,0.215,0.364,0.477,0.841,7.80,15.60,0.246,8.54,2.14
Evan Longoria,$3.6K,R,SFG,3B,@ MIA,4 ,Wei-Yin Chen,L,,,,,,1100,-8,7.5,-171,4.25,0.03,81,0.296,0.374,0.296,0.322,0.593,0.915,14.90,4.60,0.281,7.65,2.13
Tommy Pham,$4.5K,R,STL,OF,SDP,2 ,Jordan Lyles,R, ,,,,,600,-1,8.5,-166,4.79,-0.17,175,0.257,0.328,0.16,0.335,0.417,0.752,26.40,11.20,0.325,9.59,2.13
David Freese,$3.1K,R,PIT,1B/3B,@ ARI,4 ,Patrick Corbin,L,,,,,,800,4,7.5,137,3.37,-0.17,44,0.205,0.230,0.023,0.260,0.227,0.487,18.40,10.20,0.243,6.57,2.12
Mark Trumbo,$3.4K,R,BAL,OF,BOS,5 ,Steven Wright,R, ,,,,,900,-8,8.5,115,4.03,-0.32,81,0.296,0.332,0.148,0.329,0.444,0.773,22.40,3.50,0.367,7.16,2.11
Kevin Pillar,$3.4K,R,TOR,OF,@ TBR,5 ,Ryan Yarbrough,L,,,,,,200,11,8.0,-110,4.07,4.07,75,0.187,0.248,0.187,0.222,0.373,0.595,17.30,3.70,0.197,7.15,2.1
Gorkys Hernandez,$3.6K,R,SFG,OF,@ MIA,1 ,Wei-Yin Chen,L,,,,,,1100,-14,7.5,-171,4.25,0.03,56,0.268,0.314,0.143,0.317,0.411,0.728,31.10,6.60,0.371,7.53,2.09
Marcell Ozuna,$3.8K,R,STL,OF,SDP,4 ,Jordan Lyles,R, ,,,,,200,7,8.5,-166,4.79,-0.17,191,0.267,0.301,0.115,0.303,0.382,0.685,18.40,6.00,0.309,7.95,2.09
Jason Heyward,$3.6K,L,CHC,OF,@ MIL,2 ,Junior Guerra,R,,,,,,800,-6,8.0,-122,4.14,-0.33,128,0.305,0.352,0.156,0.364,0.461,0.825,8.40,8.40,0.319,7.52,2.09
John Ryan Murphy,$3.7K,R,ARI,C,PIT,4 ,Joe Musgrove,R, ,,,,,1200,-16,7.5,-152,4.13,-0.33,52,0.212,0.293,0.231,0.255,0.442,0.697,32.70,5.50,0.258,7.71,2.08
Wilson Ramos,$3.5K,R,TBR,C,TOR,3 ,Sam Gaviglio,R, ,,,,,1000,-15,8.0,-104,3.93,3.93,134,0.291,0.336,0.149,0.336,0.440,0.776,20.30,7.00,0.340,7.29,2.08
Dexter Fowler,$3.3K,S,STL,OF,SDP,7 ,Jordan Lyles,R,,,,,,-400,23,8.5,-166,4.79,-0.17,149,0.188,0.274,0.141,0.282,0.329,0.611,17.60,11.20,0.200,6.82,2.07
Anthony Rizzo,$4.6K,L,CHC,1B,@ MIL,4 ,Junior Guerra,R,,,,,,100,2,8.0,-122,4.14,-0.33,157,0.255,0.342,0.204,0.341,0.459,0.800,9.60,11.20,0.235,9.42,2.05
