Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Justin Bour,$2.8K,L,MIA,1B,@ PHI,4 ,Nicholas Pivetta,R,,,,,,400,-4,8.5,138,3.81, ,10,0.100,0.143,0.000,0.182,0.100,0.282,0.18,0.09,0.125,7.26,2.59
Miguel Montero,$2.1K,L,WAS,C,NYM,7 ,Jacob deGrom,R,,,,,,100,-20,7.0,-156,3.88,0.04,7,0.000,0.000,0.000,0.000,0.000,0.000,0.14,0.00,0.000,5.24,2.5
Christian Villanueva,$2.5K,R,SDP,3B,COL,5 ,Tyler Anderson,L,,,,,, , ,7.5,-102,3.69,-0.49,5,0.400,0.840,1.200,0.400,1.600,2.000,0.40,0.00,0.000,6.2,2.48
Cameron Maybin,$2.7K,R,MIA,OF,@ PHI,6 ,Nicholas Pivetta,R, ,,,,,100,17,8.5,138,3.81, ,9,0.333,0.426,0.111,0.500,0.444,0.944,0.08,0.25,0.375,6.51,2.41
Kyle Seager,$3.4K,L,SEA,3B,@ MIN,5 ,Kyle Gibson,R,,,,,,600,-3,8.0,-114,4.08,0.02,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,8.14,2.39
Lewis Brinson,$2.9K,R,MIA,OF,@ PHI,1 ,Nicholas Pivetta,R, ,,,,,600,-8,8.5,138,3.81, ,15,0.267,0.237,0.000,0.267,0.267,0.534,0.27,0.00,0.364,6.83,2.36
Adrian Beltre,$3.2K,R,TEX,3B,@ OAK,4 ,Daniel Mengden,R, ,,,,,500,-3,9.0,137,4.04,-0.41,20,0.200,0.220,0.050,0.238,0.250,0.488,0.19,0.05,0.250,7.2,2.25
Ryan Rua,$2.5K,R,TEX,1B/OF,@ OAK,7 ,Daniel Mengden,R, ,,,,,400,-26,9.0,137,4.04,-0.41,12,0.167,0.148,0.000,0.167,0.167,0.334,0.42,0.00,0.286,5.63,2.25
Jean Segura,$3.5K,R,SEA,SS,@ MIN,2 ,Kyle Gibson,R, ,,,,,400,1,8.0,-114,4.08,0.02,16,0.250,0.272,0.063,0.294,0.313,0.607,0.06,0.06,0.267,7.84,2.24
Manuel Margot,$3.0K,R,SDP,OF,COL,1 ,Tyler Anderson,L,,,,,,900,-16,7.5,-102,3.69,-0.49,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.7,2.23
Stephen Piscotty,$2.9K,R,OAK,OF,TEX,8 ,Martin Perez,L,,,,,,600,-8,9.0,-153,4.96,-0.09,5,0.200,0.178,0.000,0.200,0.200,0.400,0.20,0.00,0.250,6.44,2.22
Jake Smolinski,$2.4K,R,OAK,OF,TEX,9 ,Martin Perez,L,,,,,,400,-6,9.0,-153,4.96,-0.09,5,0.000,0.000,0.000,0.000,0.000,0.000,0.40,0.00,0.000,5.31,2.21
Shin-Soo Choo,$3.4K,L,TEX,OF,@ OAK,1 ,Daniel Mengden,R,,,,,,900,-15,9.0,137,4.04,-0.41,15,0.267,0.384,0.266,0.353,0.533,0.886,0.18,0.12,0.273,7.5,2.21
Corey Dickerson,$3.5K,L,PIT,OF,CIN,5 ,Homer Bailey,R,,,,,,1000,-22,8.0,-149,4.38,-0.09,14,0.143,0.127,0.000,0.143,0.143,0.286,0.14,0.00,0.167,7.67,2.19
Daniel Descalso,$2.6K,L,ARI,1B/3B,@ STL,5 ,Adam Wainwright,R,,,,,,300,5,7.5,108,3.62,-0.25,7,0.286,0.308,0.000,0.375,0.286,0.661,0.13,0.13,0.333,5.65,2.17
Jonathan Schoop,$3.3K,R,BAL,2B,@ NYY,3 ,Masahiro Tanaka,R, ,,,,,400,2,8.5,222,3.16,-0.24,24,0.250,0.320,0.250,0.250,0.500,0.750,0.29,0.00,0.313,7.16,2.17
Chad Pinder,$2.9K,R,OAK,OF/SS,TEX,2 ,Martin Perez,L,,,,,,500,-5,9.0,-153,4.96,-0.09,5,0.400,0.677,0.800,0.500,1.200,1.700,0.17,0.17,0.333,6.23,2.15
Adam Duvall,$3.5K,R,CIN,OF,@ PIT,4 ,Steven Brault,L,,,,,,700,-9,8.0,134,3.62,-0.41,4,0.500,0.843,1.000,0.500,1.500,2.000,0.25,0.00,0.500,7.47,2.13
Domingo Santana,$3.4K,R,MIL,OF,CHC,2 ,Jon Lester,L,,,,,,400,4,9.0,-103,4.42,0.18,6,0.333,0.360,0.167,0.333,0.500,0.833,0.00,0.00,0.333,7.25,2.13
Mitch Haniger,$3.4K,R,SEA,OF,@ MIN,4 ,Kyle Gibson,R, ,,,,,200,7,8.0,-114,4.08,0.02,10,0.500,0.624,0.400,0.615,0.900,1.515,0.08,0.23,0.500,7.2,2.12
Drew Robinson,$2.5K,L,TEX,3B/OF,@ OAK,8 ,Daniel Mengden,R,,,,,,-200,4,9.0,137,4.04,-0.41,8,0.375,0.541,0.375,0.545,0.750,1.295,0.46,0.27,1.000,5.29,2.12
Jarrod Dyson,$2.8K,L,ARI,OF,@ STL,8 ,Adam Wainwright,R,,,,,,400,3,7.5,108,3.62,-0.25,6,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,5.89,2.1
Ryan LaMarre,$2.0K,R,MIN,OF,SEA,7 ,James Paxton,L,,,,,,-100,6,8.0,102,3.92,-0.02,1,1.000,0.888,0.000,1.000,1.000,2.000,0.00,0.00,1.000,4.2,2.1
Dee Gordon,$3.7K,L,SEA,OF,@ MIN,1 ,Kyle Gibson,R,,,,,,100,4,8.0,-114,4.08,0.02,16,0.438,0.478,0.188,0.471,0.625,1.096,0.18,0.06,0.500,7.72,2.09
Albert Almora,$3.0K,R,CHC,OF,@ MIL,6 ,Brent Suter,L,,,,,,900,-16,9.0,-111,4.58,-0.18,5,0.200,0.263,0.000,0.333,0.200,0.533,0.00,0.17,0.200,6.28,2.09
Hunter Renfroe,$3.0K,R,SDP,OF,COL,4 ,Tyler Anderson,L,,,,,,300,3,7.5,-102,3.69,-0.49,7,0.286,0.447,0.428,0.375,0.714,1.089,0.38,0.13,0.500,6.28,2.09
Rougned Odor,$3.2K,L,TEX,2B,@ OAK,6 ,Daniel Mengden,R,,,,,,700,2,9.0,137,4.04,-0.41,17,0.176,0.213,-0.000,0.263,0.176,0.439,0.21,0.10,0.231,6.67,2.08
Marcus Semien,$3.6K,R,OAK,SS,TEX,1 ,Martin Perez,L,,,,,,600,-2,9.0,-153,4.96,-0.09,8,0.375,0.381,0.125,0.375,0.500,0.875,0.38,0.00,0.600,7.4,2.06
Ketel Marte,$3.3K,S,ARI,2B/SS,@ STL,2 ,Adam Wainwright,R,,,,,,1000,-6,7.5,108,3.62,-0.25,11,0.182,0.161,0.000,0.182,0.182,0.364,0.36,0.00,0.286,6.75,2.05
Avisail Garcia,$3.6K,R,CHW,OF,DET,2 ,Jordan Zimmermann,R, ,,,,,700,-6,9.0,-126,4.71,-0.29,11,0.182,0.161,0.000,0.182,0.182,0.364,0.18,0.00,0.222,7.35,2.04
Didi Gregorius,$4.5K,L,NYY,T5,BAL,4 ,Andrew Cashner,R,,,,,,500,-1,8.5,-255,5.34,-0.26,17,0.471,0.693,0.705,0.526,1.176,1.702,0.05,0.10,0.429,9.14,2.03
Billy Hamilton,$3.1K,S,CIN,OF,@ PIT,1 ,Steven Brault,L,,,,,,300,5,8.0,134,3.62,-0.41,6,0.167,0.212,0.166,0.167,0.333,0.500,0.50,0.00,0.333,6.3,2.03
Josh Bell,$4.3K,S,PIT,1B,CIN,4 ,Homer Bailey,R,,,,,,900,-4,8.0,-149,4.38,-0.09,15,0.400,0.462,0.267,0.400,0.667,1.067,0.13,0.00,0.417,8.69,2.02
Scott Kingery,$3.2K,R,PHI,2B/3B,MIA,3 ,Caleb Smith,L,,,,,,700,4,8.5,-154,4.69, ,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.47,2.02
Austin Hedges,$2.9K,R,SDP,C,COL,8 ,Tyler Anderson,L,,,,,,500,-18,7.5,-102,3.69,-0.49,4,0.000,0.000,0.000,0.000,0.000,0.000,0.50,0.00,0.000,5.86,2.02
