Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Eduardo Nunez,$3.2K,R,BOS,2B/SS,DET,5 ,Artie Lewicki,R, ,,,,,300,11,10.0,-176,5.73,0.08,129,0.271,0.296,0.147,0.284,0.419,0.703,18.70,2.20,0.311,8.3,2.59
Scott Kingery,$2.9K,R,PHI,3B/SS,@ CHC,3 ,Kyle Hendricks,R, ,,,,,900,-5,7.5,177,3.07,3.07,120,0.217,0.265,0.117,0.269,0.333,0.602,22.50,6.20,0.275,7.44,2.57
Adam Duvall,$3.3K,R,CIN,OF,COL,6 ,Kyle Freeland,L,,,,,,700,6,8.5,103,4.15,-0.27,41,0.171,0.343,0.317,0.306,0.488,0.794,21.20,23.10,0.115,8.43,2.55
Randal Grichuk,$2.8K,R,TOR,OF,NYY,7 ,CC Sabathia,L,,,,,,600,4,9.5,126,4.38,-0.08,26,0.192,0.255,0.077,0.290,0.269,0.559,25.80,9.70,0.263,7.11,2.54
Jason Heyward,$3.2K,L,CHC,OF,PHI,2 ,Zach Eflin,R,,,,,,800,-3,7.5,-199,4.43,4.43,97,0.299,0.358,0.165,0.375,0.464,0.839,7.10,10.60,0.303,7.96,2.49
Isiah Kiner-Falefa,$3.1K,R,TEX,2B/3B,OAK,2 ,Sean Manaea,L,,,,,,500,5,10.5,129,4.81,0.24,44,0.205,0.290,0.136,0.314,0.341,0.655,11.50,15.40,0.237,7.64,2.46
Justin Bour,$3.2K,L,MIA,1B,@ STL,4 ,Carlos Martinez,R,,,,,,300,8,8.0,169,3.34,0.41,110,0.245,0.373,0.282,0.352,0.527,0.879,21.10,18.00,0.247,7.83,2.45
Hunter Dozier,$2.8K,R,KCR,1B,@ LAA,6 ,Andrew Heaney,L,,,,,,500,8,8.0,166,3.37,-0.16,17,0.353,0.387,0.118,0.421,0.471,0.892,10.50,10.50,0.400,6.81,2.43
Jonathan Schoop,$3.4K,R,BAL,2B,@ NYM,6 ,Jason Vargas,L,,,,,,400,7,8.5,109,4.09,0.08,43,0.302,0.326,0.070,0.362,0.372,0.734,17.00,6.40,0.353,8.27,2.43
Alcides Escobar,$2.7K,R,KCR,SS,@ LAA,7 ,Andrew Heaney,L,,,,,,300,-1,8.0,166,3.37,-0.16,52,0.308,0.370,0.192,0.351,0.500,0.851,19.30,5.30,0.366,6.55,2.43
Trey Mancini,$3.3K,R,BAL,1B/OF,@ NYM,1 ,Jason Vargas,L,,,,,,1000,-40,8.5,109,4.09,0.08,70,0.243,0.319,0.171,0.312,0.414,0.726,19.50,9.10,0.269,7.94,2.41
Aaron Altherr,$2.9K,R,PHI,OF,@ CHC,5 ,Kyle Hendricks,R, ,,,,,900,-12,7.5,177,3.07,3.07,107,0.178,0.265,0.121,0.282,0.299,0.581,34.10,13.00,0.254,6.99,2.41
Nick Ahmed,$3.0K,R,ARI,SS,@ SFG,1 ,Madison Bumgarner,L,,,,,,500,-2,6.5,125,3.01,-0.36,55,0.291,0.390,0.327,0.328,0.618,0.946,17.20,5.20,0.293,7.17,2.39
