Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Miguel Montero,$2.0K,L,WAS,C,@ CIN,7 ,Salvatore Romano,R,,,,,, ,-14,8.5,-132,4.5,-0.41,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.02,2.51
Yadiel Rivera,$2.1K,R,MIA,2B/SS,CHC,7 ,Jose Quintana,L,,,,,,100,8,8.0,186,3.2,-0.05,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,4.91,2.34
Victor Caratini,$2.3K,S,CHC,C,@ MIA,6 ,Dillon Peters,L,,,,,,300,-18,8.0,-215,4.8,0.05,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.38,2.34
Kyle Farmer,$2.3K,R,LAD,C,SFG,8 ,Christopher Stratton,R, ,,,,,300,-18,7.5,-190,4.37,0.03,1,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,5.3,2.3
Brad Miller,$2.9K,L,TBR,2B,BOS,4 ,Hector Velazquez,R,,,,,,800,3,8.5,-103,4.18,0.23,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.59,2.27
Wilson Ramos,$2.7K,R,TBR,C,BOS,7 ,Hector Velazquez,R, ,,,,,700,-23,8.5,-103,4.18,0.23,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.99,2.22
Joc Pederson,$2.9K,L,LAD,OF,SFG,7 ,Christopher Stratton,R,,,,,,500,21,7.5,-190,4.37,0.03,2,0.000,0.000,0.000,0.000,0.000,0.000,0.00,0.00,0.000,6.44,2.22
Adeiny Hechavarria,$2.6K,R,TBR,SS,BOS,9 ,Hector Velazquez,R, ,,,,,500, ,8.5,-103,4.18,0.23,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.67,2.18
Kyle Seager,$3.3K,L,SEA,3B,CLE,5 ,Trevor Bauer,R,,,,,,700,3,7.5,117,3.53,-0.32,6,0.000,0.000,0.000,0.000,0.000,0.000,0.33,0.00,0.000,7.17,2.17
Austin Jackson,$2.9K,R,SFG,OF,@ LAD,1 ,Rich Hill,L,,,,,,900,-3,7.5,168,3.13,-0.03,7,0.143,0.127,0.000,0.143,0.143,0.286,0.14,0.00,0.167,6.29,2.17
