Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Gregor Blanco,$2.2K,L,SFG,OF,SDP,1 ,Tyson Ross,R,,,,,,-200,13,7.5,-143,4.06,-0.17,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.51,2.96
Jason Kipnis,$3.1K,L,CLE,2B,TEX,2 ,Doug Fister,R,,,,,, ,7,9.5,-195,5.57,0.38,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,9.17,2.96
Johnny Field,$2.0K,R,TBR,OF,@ DET,9 ,Matt Boyd,L,,,,,,-200,4,8.0,-156,4.43,-0.15,13,0.231,0.326,0.231,0.286,0.462,0.748,0.36,0.07,0.286,5.82,2.91
Ehire Adrianza,$2.3K,S,MIN,SS,TOR,8 ,Marco Estrada,R,,,,,,100,1,9.0,-126,4.7,-0.38,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.37,2.77
Justin Smoak,$3.4K,S,TOR,1B,@ MIN,3 ,Kyle Gibson,R,,,,,,-500,20,9.0,112,4.3,-0.12,62,0.194,0.327,0.241,0.311,0.435,0.746,0.24,0.15,0.214,9.36,2.75
Derek Dietrich,$2.8K,L,MIA,OF,PHI,4 ,Zach Eflin,R,,,,,,100,18,9.0,-107,4.57,0.39,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7.4,2.64
Jace Peterson,$2.6K,L,BAL,2B/3B,@ LAA,2 ,Nick Tropeano,R,,,,,,100,-42,8.5,167,3.56,-0.29,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.83,2.63
Manny Pina,$2.5K,R,MIL,C,@ CIN,6 ,Homer Bailey,R, ,,,,,400,-37,9.5,-122,4.93,0.19,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.52,2.61
Evan Gattis,$3.0K,R,HOU,C,NYY,7 ,Jordan Montgomery,L,,,,,,500,-27,8.5,-172,4.83,0.35,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7.62,2.54
Jose Martinez,$3.6K,R,STL,1B,CHW,3 ,James Shields,R, ,,,,,-100,11,9.5,-240,5.87,0.36,82,0.293,0.356,0.170,0.352,0.463,0.815,0.10,0.09,0.296,9.09,2.53
Martin Maldonado,$2.3K,R,LAA,C,BAL,9 ,Alex Cobb,R, ,,,,,200,-34,8.5,-187,4.94,-0.21,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.78,2.51
Christian Vazquez,$2.3K,R,BOS,C,KCR,8 ,Jakob Junis,R, ,,,,,300,-39,8.0,-323,5.32,0.43,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.74,2.5
Yulieski Gurriel,$3.3K,R,HOU,1B,NYY,4 ,Jordan Montgomery,L,,,,,,400,2,8.5,-172,4.83,0.35,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,8.26,2.5
Isiah Kiner-Falefa,$2.5K,R,TEX,2B/SS,@ CLE,6 ,Michael Clevinger,R, ,,,,,-400,18,9.5,173,3.93,0.12,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.26,2.5
