Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Chris Young,$2.3K,R,LAA,OF,TBR,8 ,Blake Snell,L,,,,,,300,1,8.0,-145,4.35,-0.18,21,0.143,0.239,0.190,0.217,0.333,0.550,26.10,4.30,0.143,6.41,2.79
Yangervis Solarte,$3.3K,S,TOR,2B/3B,OAK,4 ,Brett Anderson,L,,,,,,300,5,9.5,-122,4.93,-0.34,56,0.196,0.312,0.232,0.297,0.429,0.726,10.90,10.90,0.156,8.55,2.59
Joseph Wendle,$2.7K,L,TBR,2B,@ LAA,3 ,Nick Tropeano,R,,,,,,100,11,8.0,131,3.65,-0.32,92,0.272,0.297,0.109,0.310,0.380,0.690,19.00,5.00,0.324,6.95,2.57
Victor Martinez,$2.8K,S,DET,1B,@ SEA,4 ,Felix Hernandez,R,,,,,,500,-2,7.5,156,3.22,-0.39,94,0.245,0.290,0.117,0.305,0.362,0.667,10.30,9.30,0.253,7.17,2.56
Cory Spangenberg,$2.7K,L,SDP,3B/OF,@ PIT,2 ,Ivan Nova,R,,,,,,700,-3,7.5,107,3.63,-0.17,50,0.200,0.246,0.12,0.245,0.320,0.565,35.20,3.70,0.300,6.8,2.52
Andrew McCutchen,$3.5K,R,SFG,OF,COL,2 ,Kyle Freeland,L,,,,,,100,17,8.5,-113,4.32,0.07,58,0.224,0.317,0.190,0.308,0.414,0.722,23.10,10.80,0.268,8.73,2.49
Ehire Adrianza,$2.5K,S,MIN,SS,MIL,8 ,Brent Suter,L,,,,,,500,-1,9.0,-145,4.89,0.09,22,0.318,0.359,0.136,0.375,0.455,0.830,25.00,4.20,0.438,6.2,2.48
Justin Bour,$3.5K,L,MIA,1B,@ ATL,4 ,Matt Wisler,R,,,,,,-100,6,9.0,154,3.89,0.32,80,0.237,0.381,0.312,0.351,0.550,0.901,18.90,16.80,0.204,8.56,2.45
Benjamin Gamel,$2.6K,L,SEA,OF,DET,7 ,Michael Fulmer,R,,,,,,300,15,7.5,-175,4.28,-0.11,53,0.189,0.245,0.057,0.283,0.245,0.528,22.00,10.20,0.250,6.29,2.42
Brian Dozier,$4.1K,R,MIN,2B,MIL,2 ,Brent Suter,L,,,,,,400, ,9.0,-145,4.89,0.09,26,0.269,0.357,0.192,0.367,0.462,0.829,6.70,13.30,0.261,9.9,2.41
Justin Smoak,$3.5K,S,TOR,1B,OAK,3 ,Brett Anderson,L,,,,,,-400,10,9.5,-122,4.93,-0.34,51,0.333,0.396,0.176,0.417,0.510,0.927,20.00,11.70,0.395,8.43,2.41
Noel Cuevas,$3.0K,R,COL,OF,@ SFG,5 ,Derek Holland,L,,,,,,1000,-18,8.5,101,4.18,-0.07,23,0.348,0.381,0.130,0.400,0.478,0.878,4.00,4.00,0.333,7.21,2.4
Byron Buxton,$2.9K,R,MIN,OF,MIL,7 ,Brent Suter,L,,,,,,700,-1,9.0,-145,4.89,0.09,10,0.200,0.175,0,0.200,0.200,0.400,30.00,0.00,0.286,6.9,2.38
Martin Prado,$2.7K,R,MIA,3B,@ ATL,1 ,Matt Wisler,R, ,,,,,500,-1,9.0,154,3.89,0.32,48,0.167,0.175,0.021,0.200,0.188,0.388,18.40,4.10,0.205,6.37,2.36
Ian Desmond,$3.2K,R,COL,1B/OF,@ SFG,6 ,Derek Holland,L,,,,,,700,-3,8.5,101,4.18,-0.07,54,0.222,0.306,0.204,0.276,0.426,0.702,24.10,6.90,0.243,7.54,2.36
Brad Miller,$3.0K,L,TBR,1B,@ LAA,5 ,Nick Tropeano,R,,,,,,400,6,8.0,131,3.65,-0.32,75,0.227,0.325,0.2,0.314,0.427,0.741,26.70,14.00,0.280,7.09,2.36
Shin-Soo Choo,$3.5K,L,TEX,OF,@ CHW,2 ,Carson Fulmer,R,,,,,,300,10,9.5,-115,4.85,4.85,123,0.268,0.336,0.163,0.341,0.431,0.772,18.80,10.90,0.301,8.24,2.35
Rougned Odor,$3.1K,L,TEX,2B,@ CHW,7 ,Carson Fulmer,R,,,,,,400,7,9.5,-115,4.85,4.85,43,0.163,0.218,0.023,0.250,0.186,0.436,29.20,10.40,0.241,7.29,2.35
Gorkys Hernandez,$2.9K,R,SFG,OF,COL,1 ,Kyle Freeland,L,,,,,,800,-8,8.5,-113,4.32,0.07,33,0.333,0.315,0,0.371,0.333,0.704,36.10,5.60,0.550,6.82,2.35
JaCoby Jones,$3.1K,R,DET,OF,@ SEA,2 ,Felix Hernandez,R, ,,,,,800,-6,7.5,156,3.22,-0.39,88,0.273,0.334,0.216,0.301,0.489,0.790,28.00,3.20,0.350,7.28,2.35
Josh Donaldson,$4.2K,R,TOR,3B,OAK,2 ,Brett Anderson,L,,,,,,-100,3,9.5,-122,4.93,-0.34,35,0.286,0.333,0.171,0.324,0.457,0.781,36.10,5.60,0.429,9.83,2.34
Matt Olson,$3.5K,L,OAK,1B,@ TOR,5 ,Marco Estrada,R,,,,,,200,1,9.5,109,4.57,-0.16,109,0.257,0.359,0.239,0.341,0.495,0.836,33.90,12.10,0.350,8.19,2.34
