Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Tommy La Stella,$2.2K,L,CHC,2B/3B,MIL,5 ,Chase Anderson,R,,,,,,-300,9,8.5,-165,4.78,4.78,30,0.300,0.317,0.067,0.344,0.367,0.711,0.16,0.06,0.360,7,3.18
Daniel Descalso,$2.8K,L,ARI,2B/3B,@ PHI,5 ,Ben Lively,R,,,,,,200,3,8.5,111,4.07,-0.03,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7.33,2.62
Ryan Goins,$2.2K,L,KCR,2B/SS,CHW,8 ,Lucas Giolito,R,,,,,,200,8,9.0,-178,5.16,0.57,21,0.286,0.308,0.047,0.348,0.333,0.681,0.35,0.09,0.462,5.73,2.6
Caleb Joseph,$2.5K,R,BAL,C,TBR,9 ,Chris Archer,R, ,,,,,500,-22,7.5,-125,3.92,-0.08,21,0.048,0.042,0.000,0.048,0.048,0.096,0.57,0.00,0.111,6.46,2.58
Christian Vazquez,$2.2K,R,BOS,C,@ TOR,8 ,Marco Estrada,R, ,,,,,100,-16,8.0,-208,4.77,0.09,48,0.188,0.212,0.042,0.235,0.229,0.464,0.16,0.06,0.225,5.59,2.54
Brett Gardner,$3.9K,L,NYY,OF,MIN,1 ,Kyle Gibson,R,,,,,,300, ,9.5,-190,5.54,0.01,68,0.221,0.296,0.088,0.333,0.309,0.642,0.18,0.15,0.264,9.59,2.46
Jarrod Dyson,$2.9K,L,ARI,OF,@ PHI,2 ,Ben Lively,R,,,,,,600,-6,8.5,111,4.07,-0.03,41,0.146,0.221,0.147,0.205,0.293,0.498,0.07,0.07,0.135,7.07,2.44
Adam Duvall,$3.3K,R,CIN,OF,ATL,4 ,Sean Newcomb,L,,,,,,600,-7,9.0,122,4.2,-0.05,14,0.214,0.330,0.286,0.267,0.500,0.767,0.20,0.07,0.200,7.81,2.37
Abraham Almonte,$2.8K,S,KCR,OF,CHW,2 ,Lucas Giolito,R,,,,,,200,4,9.0,-178,5.16,0.57,19,0.316,0.344,0.158,0.316,0.474,0.790,0.16,0.00,0.333,6.61,2.36
Ehire Adrianza,$2.4K,S,MIN,2B/SS,@ NYY,8 ,Jordan Montgomery,L,,,,,,300,4,9.5,169,3.96,-0.01,11,0.364,0.358,0.091,0.364,0.455,0.819,0.27,0.00,0.500,5.65,2.35
