Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Tony Cruz,$2.4K,R,CIN,C,@ COL,7 ,Tyler Anderson,L,,,,,,-600,7,11.5,149,5.03,-0.04,10,0.100,0.088,0,0.100,0.100,0.200,30.00,0.00,0.143,7.48,3.12
Ryan McMahon,$2.7K,L,COL,1B/3B,CIN,7 ,Tyler Mahle,R,,,,,,-300,19,11.5,-166,6.47,0.54,42,0.167,0.215,0,0.255,0.167,0.422,33.30,14.60,0.269,7.92,2.93
Hernan Perez,$2.8K,R,MIL,2B/OF,NYM,6 ,Jason Vargas,L,,,,,,800,-54,9.0,-146,4.9,-0.06,33,0.182,0.226,0.182,0.182,0.364,0.546,21.20,0.00,0.167,8.21,2.93
Justin Bour,$2.8K,L,MIA,1B,WAS,3 ,Tanner Roark,R,,,,,,-700,25,8.0,136,3.61,-0.18,98,0.245,0.386,0.306,0.362,0.551,0.913,19.80,19.80,0.231,8.17,2.92
Gerardo Parra,$3.5K,L,COL,OF,CIN,4 ,Tyler Mahle,R,,,,,,200,15,11.5,-166,6.47,0.54,101,0.287,0.317,0.119,0.327,0.406,0.733,14.00,6.50,0.321,9.66,2.76
Delino DeShields,$3.3K,R,TEX,OF,KCR,1 ,Ian Kennedy,R, ,,,,,200,17,10.5,-138,5.63,0.22,92,0.185,0.235,0.076,0.257,0.261,0.518,26.90,7.70,0.254,9.06,2.75
Brandon Dixon,$2.9K,R,CIN,2B,@ COL,6 ,Tyler Anderson,L,,,,,,-100,14,11.5,149,5.03,-0.04,2,0.000,0,0,0.000,0.000,0.000,50.00,0.00,0.000,7.87,2.71
Derek Dietrich,$2.7K,L,MIA,OF,WAS,1 ,Tanner Roark,R,,,,,, ,30,8.0,136,3.61,-0.18,133,0.263,0.299,0.113,0.310,0.376,0.686,23.10,2.80,0.337,7.1,2.63
David Dahl,$4.0K,L,COL,OF,CIN,2 ,Tyler Mahle,R,,,,,,600,5,11.5,-166,6.47,0.54,51,0.314,0.369,0.176,0.375,0.490,0.865,26.80,7.10,0.429,10.47,2.62
Matt Joyce,$3.0K,L,OAK,OF,ARI,1 ,Clay Buchholz,R,,,,,,400,10,8.5,-160,4.74,0.32,129,0.217,0.314,0.171,0.320,0.388,0.708,23.80,15.20,0.258,7.86,2.62
Tim Anderson,$3.2K,R,CHW,SS,@ DET,1 ,Francisco Liriano,L,,,,,,200, ,9.5,103,4.64,0.44,48,0.292,0.360,0.229,0.333,0.521,0.854,20.40,6.10,0.314,8.32,2.6
JaCoby Jones,$3.0K,R,DET,OF,CHW,1 ,Hector Santiago,L,,,,,,700,-5,9.5,-116,4.86,0.06,42,0.190,0.237,0.071,0.261,0.262,0.523,23.90,4.30,0.258,7.79,2.6
Andrew McCutchen,$3.4K,R,SFG,OF,@ CHC,2 ,Jose Quintana,L,,,,,,700, ,9.5,210,3.62,3.62,64,0.219,0.313,0.188,0.306,0.406,0.712,23.60,11.10,0.267,8.84,2.6
Christian Vazquez,$2.6K,R,BOS,C,ATL,9 ,Sean Newcomb,L,,,,,,300,-17,10.5,-127,5.5,0.32,30,0.200,0.215,0.067,0.200,0.267,0.467,13.30,3.30,0.231,6.73,2.59
Jon Jay,$3.1K,L,KCR,OF,@ TEX,1 ,Bartolo Colon,R,,,,,,500,6,10.5,124,4.87,0.28,141,0.298,0.309,0.064,0.342,0.362,0.704,14.10,5.10,0.350,7.94,2.56
