Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Enrique Hernandez,$3.3K,R,LAD,2B/OF,SDP,4 ,Clayton Richard,L,,,,,,800,-46,7.0,-188,4.07,-0.35,61,0.197,0.271,0.131,0.265,0.328,0.593,25.00,11.80,0.233,8.84,2.68
Tony Wolters,$2.7K,L,COL,C,CIN,7 ,Sal Romano,R,,,,,,-300,-1,11.5,-196,6.76,0.43,56,0.107,0.201,0.107,0.203,0.214,0.417,20.30,10.90,0.095,7.16,2.65
Joseph Wendle,$3.1K,L,TBR,2B,BAL,3 ,David Hess,R,,,,,,700,7,8.5,-160,4.74,0.14,107,0.280,0.303,0.093,0.319,0.374,0.693,19.80,6.00,0.341,8.12,2.62
Logan Forsythe,$2.8K,R,LAD,2B/3B,SDP,7 ,Clayton Richard,L,,,,,,400,14,7.0,-188,4.07,-0.35,20,0.100,0.182,0.05,0.217,0.150,0.367,13.00,13.00,0.118,7.21,2.58
Chris Davis,$3.0K,L,BAL,1B,@ TBR,6 ,Sergio Romo,R,,,,,,200,5,8.5,144,3.76,-0.14,125,0.160,0.208,0.048,0.234,0.208,0.442,34.80,9.40,0.250,7.67,2.56
Jesse Winker,$3.8K,L,CIN,OF,@ COL,1 ,Jon Gray,R,,,,,,200,18,11.5,174,4.74,0.07,113,0.292,0.336,0.097,0.367,0.389,0.756,14.00,11.60,0.337,9.66,2.54
Nick Ahmed,$2.9K,R,ARI,SS,@ OAK,2 ,Sean Manaea,L,,,,,,500,-1,7.5,121,3.5,0.2,52,0.269,0.359,0.288,0.309,0.558,0.867,18.20,5.50,0.282,7.32,2.52
Chris Owings,$3.0K,R,ARI,2B/OF,@ OAK,5 ,Sean Manaea,L,,,,,,700,-47,7.5,121,3.5,0.2,55,0.164,0.217,0.109,0.207,0.273,0.480,28.80,8.50,0.216,7.56,2.52
Patrick Valaika,$2.9K,R,COL,1B/2B,CIN,8 ,Sal Romano,R, ,,,,,-100,20,11.5,-196,6.76,0.43,35,0.114,0.156,0.029,0.184,0.143,0.327,30.80,7.70,0.174,7.25,2.5
Ehire Adrianza,$2.5K,S,MIN,SS,@ SEA,8 ,James Paxton,L,,,,,,200, ,7.0,148,3.07,0.05,27,0.296,0.351,0.148,0.367,0.444,0.811,23.30,6.70,0.400,6.14,2.46
