Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Chris Young,$2.6K,R,LAA,OF,@ OAK,6 ,Sean Manaea,L,,,,,, ,27,9.0,-112,4.42,0.1,39,0.179,0.252,0.128,0.256,0.308,0.564,18.60,7.00,0.200,7.61,2.93
Joey Rickard,$2.7K,R,BAL,OF,MIA,8 ,Wei-Yin Chen,L,,,,,,400,3,9.5,-153,5.24,0.46,39,0.231,0.293,0.154,0.268,0.385,0.653,26.20,7.10,0.269,7.14,2.64
Jose Pirela,$3.0K,R,SDP,2B/OF,@ ATL,1 ,Sean Newcomb,L,,,,,,500,9,8.5,161,3.61,0.06,73,0.274,0.321,0.096,0.354,0.370,0.724,12.30,11.10,0.317,7.87,2.62
Chris Owings,$3.1K,R,ARI,2B/OF,NYM,7 ,Steven Matz,L,,,,,,700,-45,7.5,-169,4.24,-0.22,73,0.205,0.259,0.123,0.253,0.329,0.582,28.00,9.80,0.280,7.97,2.57
Adrian Beltre,$3.6K,R,TEX,3B,COL,4 ,Kyle Freeland,L,,,,,,300,1,9.5,101,4.66,-0.46,35,0.371,0.347,0.057,0.385,0.429,0.814,20.00,7.50,0.448,9.22,2.56
Nick Ahmed,$3.4K,R,ARI,SS,NYM,2 ,Steven Matz,L,,,,,,200,3,7.5,-169,4.24,-0.22,72,0.278,0.371,0.264,0.333,0.542,0.875,16.70,7.70,0.291,8.6,2.53
Drew Butera,$2.5K,R,KCR,C,HOU,8 ,Dallas Keuchel,L,,,,,,500,-27,9.5,214,3.61,0.02,24,0.083,0.208,0.167,0.207,0.250,0.457,34.50,13.80,0.071,6.29,2.52
Deven Marrero,$2.7K,R,ARI,3B,NYM,8 ,Steven Matz,L,,,,,,700,-2,7.5,-169,4.24,-0.22,49,0.184,0.208,0.061,0.226,0.245,0.471,30.20,5.70,0.265,6.8,2.52
Alcides Escobar,$2.7K,R,KCR,SS,HOU,6 ,Dallas Keuchel,L,,,,,,500,-4,9.5,214,3.61,0.02,58,0.276,0.339,0.172,0.317,0.448,0.765,18.50,4.60,0.326,6.81,2.52
Yoan Moncada,$3.7K,S,CHW,2B,DET,1 ,Jordan Zimmermann,R,,,,,,700,1,9.5,-102,4.83, ,178,0.247,0.336,0.213,0.316,0.461,0.777,34.80,9.60,0.350,9.26,2.5
