Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Rajai Davis,$2.7K,R,CLE,OF,@ DET,1 ,Ryan Carpenter,L,,,,,,400,7,9.0,-232,5.52,0.15,37,0.189,0.188,0,0.205,0.189,0.394,15.40,5.10,0.219,7.71,2.86
Brandon Guyer,$2.9K,R,CLE,OF,@ DET,5 ,Ryan Carpenter,L,,,,,,600,4,9.0,-232,5.52,0.15,47,0.234,0.343,0.277,0.294,0.511,0.805,17.60,9.80,0.229,8.1,2.79
Martin Prado,$2.5K,R,MIA,3B,LAD,1 ,Walker Buehler,R, ,,,,,200,1,8.0,175,3.29,0.05,48,0.167,0.175,0.021,0.200,0.188,0.388,18.40,4.10,0.205,6.54,2.62
Justin Bour,$3.0K,L,MIA,1B,LAD,4 ,Walker Buehler,R,,,,,,-500,23,8.0,175,3.29,0.05,80,0.237,0.381,0.312,0.351,0.550,0.901,18.90,16.80,0.204,7.81,2.6
Nick Williams,$2.8K,L,PHI,OF,@ BAL,5 ,Andrew Cashner,R,,,,,,400,11,10.5,-115,5.36,0.03,63,0.206,0.268,0.127,0.275,0.333,0.608,26.80,9.90,0.262,7.26,2.59
Daniel Descalso,$3.3K,L,ARI,3B,MIL,3 ,Brandon Woodruff,R,,,,,,500,-3,8.5,-108,4.18,-0.39,85,0.271,0.369,0.2,0.393,0.471,0.864,19.00,17.10,0.318,8.49,2.57
Derek Dietrich,$2.6K,L,MIA,OF,LAD,6 ,Walker Buehler,R,,,,,,500,2,8.0,175,3.29,0.05,114,0.246,0.264,0.079,0.277,0.325,0.602,23.30,1.70,0.318,6.68,2.57
Jesmuel Valentin,$2.0K,S,PHI,2B/SS,@ BAL,8 ,Andrew Cashner,R,,,,,, ,8,10.5,-115,5.36,0.03,3,0.333,0.292,0,0.333,0.333,0.666,33.30,0.00,0.500,4.96,2.48
Juan Lagares,$2.9K,R,NYM,OF,TOR,1 ,J.A. Happ,L,,,,,,900,-8,7.0,123,3.26,-0.6,28,0.321,0.309,0,0.345,0.321,0.666,20.00,10.00,0.409,7.13,2.46
Roberto Perez,$2.5K,R,CLE,C,@ DET,9 ,Ryan Carpenter,L,,,,,,400,-24,9.0,-232,5.52,0.15,7,0.286,0.349,0,0.444,0.286,0.730,33.30,22.20,0.500,6.11,2.44
Gregor Blanco,$3.1K,L,SFG,OF,CIN,1 ,Matt Harvey,R,,,,,,700,3,8.0,-153,4.4,-0.22,86,0.256,0.285,0.105,0.297,0.360,0.657,27.50,5.50,0.350,7.54,2.43
Jose Martinez,$3.4K,R,STL,1B,@ MIN,2 ,Lance Lynn,R, ,,,,,200,7,9.5,-110,4.83,-0.14,112,0.286,0.344,0.170,0.349,0.455,0.804,11.10,8.70,0.292,8.22,2.42
Tyler Flowers,$2.8K,R,ATL,C,CHC,5 ,Tyler Chatwood,R, ,,,,,500,-23,9.5,-109,4.67,0.08,17,0.118,0.136,0,0.167,0.118,0.285,22.20,5.60,0.154,6.67,2.38
Brian Anderson,$3.1K,R,MIA,3B/OF,LAD,5 ,Walker Buehler,R, ,,,,,200,2,8.0,175,3.29,0.05,112,0.241,0.292,0.080,0.320,0.321,0.641,21.80,8.10,0.310,7.35,2.37
Shin-Soo Choo,$3.6K,L,TEX,OF,@ SEA,2 ,Christian Bergman,R,,,,,,600,4,8.5,-104,4.18,-0.14,115,0.270,0.343,0.174,0.346,0.443,0.789,18.50,11.50,0.299,8.54,2.37
Eduardo Nunez,$3.4K,R,BOS,2B/SS,OAK,7 ,Trevor Cahill,R, ,,,,,600,3,8.0,-257,5.04,-0.27,105,0.257,0.293,0.162,0.275,0.419,0.694,19.30,2.80,0.293,8.04,2.36
Joseph Wendle,$3.1K,L,TBR,2B,@ KCR,3 ,Jason Hammel,R,,,,,,500,8,9.0,-111,4.57,-0.09,92,0.272,0.297,0.109,0.310,0.380,0.690,19.00,5.00,0.324,7.32,2.36
Rougned Odor,$3.1K,L,TEX,2B,@ SEA,7 ,Christian Bergman,R,,,,,,500,8,8.5,-104,4.18,-0.14,38,0.184,0.232,0.026,0.262,0.211,0.473,28.60,9.50,0.269,7.26,2.34
Wilmer Flores,$3.0K,R,NYM,1B/3B,TOR,3 ,J.A. Happ,L,,,,,,500,-1,7.0,123,3.26,-0.6,33,0.152,0.213,0.061,0.243,0.212,0.455,8.10,10.80,0.167,7.02,2.34
Paul Goldschmidt,$4.4K,R,ARI,1B,MIL,4 ,Brandon Woodruff,R, ,,,,,600,-1,8.5,-108,4.18,-0.39,110,0.173,0.265,0.1,0.278,0.273,0.551,31.50,15.00,0.261,10.29,2.34
Alex Avila,$2.5K,L,ARI,C,MIL,7 ,Brandon Woodruff,R,,,,,,500,-28,8.5,-108,4.18,-0.39,60,0.150,0.216,0.1,0.227,0.250,0.477,51.50,10.60,0.292,5.85,2.34
Benjamin Gamel,$2.7K,L,SEA,OF,TEX,6 ,Bartolo Colon,R,,,,,,300,12,8.5,-109,4.32,-0.36,48,0.167,0.221,0.042,0.259,0.208,0.467,24.50,9.40,0.229,6.27,2.32
Nicky Delmonico,$3.0K,L,CHW,OF,@ PIT,4 ,Jameson Taillon,R,,,,,,500,9,8.0,160,3.41,-0.02,94,0.234,0.292,0.085,0.321,0.319,0.640,18.90,10.40,0.288,6.77,2.26
Mitch Garver,$3.0K,R,MIN,C,STL,5 ,Miles Mikolas,R, ,,,,,600,-23,9.5,-103,4.67,0.14,40,0.275,0.365,0.225,0.356,0.500,0.856,31.10,8.90,0.375,6.79,2.26
Miguel Rojas,$2.6K,R,MIA,SS,LAD,7 ,Walker Buehler,R, ,,,,,200, ,8.0,175,3.29,0.05,118,0.263,0.297,0.136,0.293,0.398,0.691,11.20,4.00,0.270,5.86,2.25
Tony Kemp,$2.2K,L,HOU,2B/OF,@ LAA,9 ,Garrett Richards,R,,,,,,200,-40,7.5,-117,3.85,-0.12,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,4.95,2.25
Chase Utley,$3.1K,L,LAD,2B,@ MIA,1 ,Elieser Hernandez,R,,,,,,500,8,8.0,-198,4.71,0.45,85,0.259,0.317,0.129,0.330,0.388,0.718,16.70,11.50,0.309,6.93,2.24
Jurickson Profar,$3.3K,S,TEX,SS,@ SEA,3 ,Christian Bergman,R,,,,,,600,-3,8.5,-104,4.18,-0.14,94,0.191,0.243,0.096,0.260,0.287,0.547,20.20,8.70,0.233,7.38,2.24
Phillip Evans,$2.4K,R,NYM,3B/SS,TOR,5 ,J.A. Happ,L,,,,,,400,-3,7.0,123,3.26,-0.6,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.36,2.23
Brandon Belt,$4.1K,L,SFG,1B,CIN,3 ,Matt Harvey,R,,,,,,-100,9,8.0,-153,4.4,-0.22,95,0.316,0.437,0.337,0.398,0.653,1.051,20.90,13.60,0.344,9.11,2.22
Ehire Adrianza,$2.4K,S,MIN,SS,STL,8 ,Miles Mikolas,R,,,,,,400,-4,9.5,-103,4.67,0.14,51,0.196,0.212,0.020,0.250,0.216,0.466,28.10,8.80,0.278,5.32,2.22
Wilson Ramos,$3.3K,R,TBR,C,@ KCR,4 ,Jason Hammel,R, ,,,,,600,-20,9.0,-111,4.57,-0.09,78,0.282,0.309,0.103,0.325,0.385,0.710,20.50,6.00,0.339,7.32,2.22
Joc Pederson,$3.5K,L,LAD,OF,@ MIA,2 ,Elieser Hernandez,R,,,,,,1000,-7,8.0,-198,4.71,0.45,81,0.259,0.341,0.136,0.375,0.395,0.770,15.50,15.50,0.308,7.78,2.22
David Peralta,$4.0K,L,ARI,OF,MIL,1 ,Brandon Woodruff,R,,,,,,700,-4,8.5,-108,4.18,-0.39,98,0.316,0.402,0.265,0.382,0.582,0.964,16.20,10.80,0.333,8.86,2.22
Alex Bregman,$3.6K,R,HOU,3B,@ LAA,2 ,Garrett Richards,R, ,,,,,-100,6,7.5,-117,3.85,-0.12,113,0.274,0.360,0.142,0.393,0.416,0.809,11.10,15.60,0.302,7.96,2.21
Justin Turner,$3.7K,R,LAD,3B,@ MIA,3 ,Elieser Hernandez,R, ,,,,,300,1,8.0,-198,4.71,0.45,2,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,8.18,2.21
Jarrod Dyson,$3.1K,L,ARI,OF,MIL,2 ,Brandon Woodruff,R,,,,,,1100,-14,8.5,-108,4.18,-0.39,71,0.169,0.220,0.127,0.192,0.296,0.488,11.00,6.80,0.164,6.84,2.21
Josh Reddick,$3.2K,L,HOU,OF,@ LAA,7 ,Garrett Richards,R,,,,,,500,10,7.5,-117,3.85,-0.12,88,0.227,0.332,0.170,0.349,0.398,0.747,17.00,17.00,0.239,7.03,2.2
Brad Miller,$3.2K,L,TBR,1B,@ KCR,5 ,Jason Hammel,R,,,,,,600,-1,9.0,-111,4.57,-0.09,75,0.227,0.325,0.2,0.314,0.427,0.741,26.70,14.00,0.280,7.01,2.19
