Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Kendall Graveman,$5.1K,R,OAK,SP,@ LAA,,,,,-400,3,9.0,149,3.93,0.28,3,0.336,0.453,0.194,6.10,6,0.370,0.492,0.182,5.68,21,0.00,0.00,0.00,0.359,5.82,0.00,0.00,13.01,2.55
Tyson Blach,$5.8K,L,SFG,SP,LAD,,,,,-300,3,8.0,175,3.29,0.46,2,0.283,0.326,0.063,3.54,7,0.358,0.488,0.192,4.95,34,0.00,0.00,0.00,0.341,4.64,0.00,0.00,14.61,2.52
Luke Weaver,$6.8K,R,STL,SP,ARI,,,,,-900,9,7.5,-152,4.12,0.01,5,0.286,0.370,0.160,9.97,4,0.334,0.426,0.142,11.73,14,0.00,0.00,0.00,0.307,10.75,0.00,0.00,16.12,2.37
Tyson Ross,$5.6K,R,SDP,SP,@ HOU,,,,, ,2,8.5,233,3.08,-0.06,3,0.271,0.289,0.105,7.08,6,0.417,0.505,0.191,7.23,13,0.00,0.00,0.00,0.368,7.18,0.00,0.00,12.85,2.29
Clayton Kershaw,$12.8K,L,LAD,SP,@ SFG,,,,,1400, ,8.0,-198,4.71,0.54,2,0.321,0.459,0.210,8.94,7,0.270,0.360,0.149,10.68,34,0.00,0.00,0.00,0.281,10.29,0.00,0.00,29.18,2.28
Jordan Montgomery,$7.0K,L,NYY,SP,BAL,,,,,-400,6,9.0,-189,5.24,-0.4,0,0.279,0.370,0.185,6.20,9,0.297,0.367,0.130,8.86,29,0.00,0.00,0.00,0.297,8.86,0.00,0.00,15.26,2.18
Jameson Taillon,$9.5K,R,PIT,SP,CIN,,,,,900,2,7.5,-153,4.13,0.05,5,0.338,0.405,0.100,6.80,4,0.328,0.429,0.162,10.49,27,0.00,0.00,0.00,0.334,8.44,0.00,0.00,20.63,2.17
Andrew Kittredge,$4.0K,R,TBR,SP,@ BOS,,,,,-1500,4,8.5,178,3.47,-0.16,3,0.256,0.350,0.200,10.80,6,0.289,0.418,0.182,6.92,17,0.00,0.00,0.00,0.278,8.21,0.00,0.00,8.68,2.17
Reynaldo Lopez,$7.4K,R,CHW,SP,DET,,,,,900,-1,8.0,-174,4.56,-0.35,3,0.396,0.613,0.313,5.21,6,0.312,0.402,0.154,6.83,10,0.00,0.00,0.00,0.340,6.29,0.00,0.00,15.92,2.15
Jose Quintana,$8.9K,L,CHC,SP,@ MIL,,,,,400,3,8.0,-117,4.1,-0.43,0,0.251,0.320,0.099,9.80,9,0.315,0.400,0.164,10.15,37,0.00,0.00,0.00,0.315,10.15,0.00,0.00,18.84,2.12
Jake Arrieta,$9.7K,R,PHI,SP,MIA,,,,,800,2,8.0,-192,4.68,0.35,3,0.345,0.468,0.223,10.26,6,0.263,0.321,0.129,8.69,32,0.00,0.00,0.00,0.290,9.21,0.00,0.00,20.56,2.12
Cole Hamels,$8.3K,L,TEX,SP,TOR,,,,,500,2,9.0,101,4.42,-0.39,0,0.207,0.248,0.094,6.27,9,0.353,0.456,0.207,8.00,25,0.00,0.00,0.00,0.353,8.00,0.00,0.00,17.1,2.06
Michael Fiers,$6.5K,R,DET,SP,@ CHW,,,,,-100,4,8.0,156,3.44,-0.65,4,0.384,0.512,0.234,8.34,5,0.369,0.493,0.218,9.71,29,0.00,0.00,0.00,0.376,9.10,0.00,0.00,13.26,2.04
Tanner Roark,$9.9K,R,WAS,SP,NYM,,,,,1700,-2,8.0,-162,4.47,0.12,4,0.367,0.477,0.189,7.74,5,0.269,0.335,0.115,9.16,33,0.00,0.00,0.00,0.313,8.53,0.00,0.00,19.82,2
Eduardo Rodriguez,$8.1K,L,BOS,SP,TBR,,,,,1100,-2,8.5,-202,5.03,-0.34,2,0.358,0.451,0.167,10.95,7,0.308,0.405,0.187,10.57,25,0.00,0.00,0.00,0.319,10.65,0.00,0.00,16.05,1.98
Shohei Ohtani,$9.3K,R,LAA,SP,OAK,,,,,5700,-21,9.0,-166,5.07,0.22,3,0.225,0.167,0.000,10.80,6,0.249,0.417,0.250,10.80,1,0.00,0.00,0.00,0.241,10.80,0.00,0.00,18.39,1.98
