Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Burch Smith,$4.2K,R,KCR,SP,@ NYY,,,,,-1600, ,9.0,261,3.05,0.18,5,0.367,0.506,0.200,3.20,4,0.342,0.422,0.197,5.90,27,3.85,4.56,0.35,0.356,4.40,0.00,0.00,11.01,2.62
John Gant,$4.8K,R,STL,SP,CHC,,,,,-2000,5,8.5,109,4.1,-0.07,4,0.311,0.399,0.182,3.70,5,0.293,0.304,0.096,3.70,20,4.70,4.81,0.17,0.301,3.70,0.00,0.00,12.2,2.54
Luis Castillo,$6.4K,R,CIN,SP,PHI,,,,, ,-7,9.0,-117,4.62,-0.36,4,0.338,0.471,0.221,3.90,5,0.291,0.371,0.144,5.10,36,3.69,3.75,0.27,0.312,4.60,0.00,0.00,16.22,2.53
Mike Minor,$4.6K,L,TEX,SP,@ HOU,,,,,-1900,2,8.5,180,3.46,0.41,2,0.229,0.298,0.111,2.70,7,0.331,0.461,0.211,5.90,80,3.36,4.21,0.17,0.308,5.20,0.00,0.00,11.43,2.48
Ryan Borucki,$5.5K,L,TOR,SP,@ CHW,,,,,-1400,2,9.0,105,4.37,-0.29,1,0.245,0.281,0.031,1.90,8,0.339,0.424,0.130,5.30,5,4.32,3.68,0.00,0.329,4.90,0.00,0.00,13.22,2.4
German Marquez,$5.7K,R,COL,SP,OAK,,,,,-1300,4,11.5,-118,5.91,-0.4,3,0.343,0.442,0.157,3.80,6,0.345,0.486,0.230,5.10,48,3.78,4.16,0.24,0.344,4.60,0.00,0.00,13.36,2.34
Dylan Bundy,$6.7K,R,BAL,SP,TBR,,,,,-300, ,8.5,-100,4.18,0.06,4,0.352,0.477,0.199,3.40,5,0.298,0.418,0.204,5.30,47,3.51,4.49,0.22,0.322,4.50,0.00,0.00,15.23,2.27
Felix Pena,$7.3K,R,LAA,SP,SEA,,,,,300,-6,9.0,-112,4.57,0.19,4,0.352,0.433,0.183,4.30,5,0.326,0.457,0.207,6.20,30,3.66,4.27,0.26,0.338,5.30,0.00,0.00,16.49,2.26
Ross Stripling,$8.5K,R,LAD,SP,@ ATL,,,,,-1100,3,8.5,-148,4.64,-0.12,6,0.260,0.330,0.110,4.90,3,0.326,0.461,0.189,5.10,73,2.96,3.10,0.23,0.282,5.00,0.00,0.00,19.07,2.24
Jeremy Hellickson,$6.5K,R,WAS,SP,@ MIA,,,,,-100,-5,8.5,-143,4.6,-0.04,4,0.341,0.485,0.237,2.80,5,0.324,0.455,0.203,3.00,44,4.41,5.04,0.24,0.332,2.90,0.00,0.00,14.43,2.22
