Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Felix Pena,$4.4K,R,LAA,SP,TOR,,,,,-1100,2,8.5,-137,4.54,-0.27,3,0.353,0.430,0.189,5.30,6,0.381,0.571,0.297,6.70,25,3.72,0.00,0.29,0.372,6.20,0.00,0.00,16.59,3.77
Rich Hill,$6.6K,L,LAD,SP,@ NYM,,,,,-1000,9,8.5,-175,4.84,0.28,3,0.337,0.371,0.137,2.20,6,0.283,0.380,0.173,9.70,31,2.87,0.00,0.21,0.301,7.20,0.00,0.00,22.2,3.36
Eric Lauer,$4.5K,L,SDP,SP,@ SFG,,,,,-2000,11,8.0,124,3.7,-0.17,3,0.381,0.475,0.150,0.90,6,0.378,0.497,0.179,8.00,10,4.21,0.00,0.19,0.379,5.60,0.00,0.00,12.71,2.82
Domingo German,$7.3K,R,NYY,SP,@ TBR,,,,,-1200,9,8.0,-166,4.51,0.28,4,0.278,0.366,0.175,5.20,5,0.312,0.394,0.163,7.50,18,2.91,0.00,0.21,0.297,6.50,0.00,0.00,18.53,2.54
David Hess,$4.7K,R,BAL,SP,@ ATL,,,,,-1000,1,9.5,167,4,0.13,6,0.386,0.548,0.264,3.30,3,0.312,0.437,0.212,1.80,7,5.23,0.00,0.21,0.361,2.80,0.00,0.00,11.55,2.46
Sal Romano,$4.8K,R,CIN,SP,CHC,,,,,-1400,3,9.5,128,4.35,0.39,5,0.353,0.459,0.178,3.60,4,0.325,0.444,0.201,4.00,29,4.45,0.00,0.21,0.341,3.80,0.00,0.00,11.5,2.4
Jerry Blevins,$4.0K,L,NYM,SP,LAD,,,,,-1500,3,8.5,154,3.66,0.22,4,0.258,0.275,0.042,11.90,5,0.361,0.422,0.196,5.90,103,3.17,0.00,0.10,0.315,8.60,0.00,0.00,9.51,2.38
Brandon McCarthy,$5.9K,R,ATL,SP,BAL,,,,,-400, ,9.5,-183,5.5,0.37,2,0.313,0.402,0.142,4.00,7,0.334,0.432,0.136,4.10,29,4.09,0.00,0.18,0.329,4.10,0.00,0.00,13.85,2.35
Paul Blackburn,$4.8K,R,OAK,SP,@ CHW,,,,,-700,-2,9.0,-101,4.42,-0.02,5,0.272,0.301,0.071,1.70,4,0.344,0.466,0.169,2.10,13,5.52,0.00,0.19,0.304,1.90,0.00,0.00,11.11,2.31
Mike Montgomery,$7.0K,L,CHC,SP,@ CIN,,,,,-600,7,9.5,-145,5.15,0.11,3,0.287,0.336,0.103,2.30,6,0.295,0.354,0.128,5.10,64,4.64,0.00,0.17,0.292,4.20,0.00,0.00,15.66,2.24
Adam Plutko,$6.4K,R,CLE,SP,DET,,,,, ,-1,9.5,-156,5.26,-0.04,4,0.483,0.766,0.426,3.10,5,0.259,0.447,0.280,6.30,4,4.46,0.00,0.31,0.359,4.90,0.00,0.00,14.08,2.2
Jefry Rodriguez,$5.9K,R,WAS,SP,PHI,,,,,-100,-3,9.0,-119,4.64,0.05,5,0.480,0.714,0.357,0.00,4,0.261,0.333,0.197,8.80,2,3.93,0.00,0.25,0.383,3.90,0.00,0.00,12.66,2.15
Nick Pivetta,$7.5K,R,PHI,SP,@ WAS,,,,,-1000,7,9.0,106,4.36,-0.05,4,0.315,0.393,0.135,4.80,5,0.358,0.500,0.225,5.50,40,3.36,0.00,0.25,0.339,5.20,0.00,0.00,15.56,2.07
Jason Hammel,$5.0K,R,KCR,SP,@ HOU,,,,,-2000,12,7.5,273,2.58,-0.03,3,0.327,0.436,0.167,3.90,6,0.338,0.447,0.149,3.60,44,4.11,0.00,0.14,0.334,3.70,0.00,0.00,10.36,2.07
Chris Sale,$13.4K,L,BOS,SP,SEA,,,,,2100,-1,8.5,-229,5.24,0.33,3,0.239,0.273,0.069,2.00,6,0.269,0.363,0.158,11.90,46,1.76,0.00,0.19,0.259,8.60,0.00,0.00,25.97,1.94
Carlos Rodon,$8.4K,L,CHW,SP,OAK,,,,,1600,-7,9.0,-114,4.58,0.02,1,0.305,0.395,0.136,2.60,8,0.333,0.428,0.202,8.00,14,3.44,0.00,0.26,0.330,7.40,0.00,0.00,16.08,1.91
Sam Gaviglio,$7.2K,R,TOR,SP,@ LAA,,,,,200,2,8.5,122,3.96,-0.23,2,0.343,0.474,0.212,2.80,7,0.341,0.472,0.213,4.40,22,4.31,0.00,0.32,0.341,4.00,0.00,0.00,13.7,1.9
Luke Weaver,$8.0K,R,STL,SP,@ MIL,,,,,2000,-14,8.5,110,4.08,-0.25,4,0.322,0.399,0.132,4.00,5,0.308,0.396,0.140,5.90,26,3.61,0.00,0.22,0.314,5.00,0.00,0.00,14.69,1.84
Jhoulys Chacin,$8.2K,R,MIL,SP,STL,,,,,600, ,8.5,-124,4.42,-0.25,4,0.336,0.416,0.164,3.10,5,0.263,0.316,0.105,4.70,46,4.15,0.00,0.15,0.295,4.00,0.00,0.00,14.14,1.72
Gerrit Cole,$13.2K,R,HOU,SP,KCR,,,,,1800,1,7.5,-289,4.92,-0.47,6,0.308,0.420,0.183,5.20,3,0.284,0.373,0.154,4.90,47,2.94,0.00,0.22,0.300,5.10,0.00,0.00,22.59,1.71
Bartolo Colon,$5.4K,R,TEX,SP,@ MIN,,,,,-400,-3,9.0,148,3.95,0.12,7,0.370,0.533,0.235,2.60,2,0.367,0.545,0.243,3.40,41,4.43,0.00,0.23,0.369,2.80,0.00,0.00,8.94,1.66
Marco Gonzales,$6.9K,L,SEA,SP,@ BOS,,,,,-700,8,8.5,214,3.26,0.17,4,0.309,0.385,0.110,1.40,5,0.351,0.470,0.171,6.90,24,3.83,0.00,0.21,0.332,4.50,0.00,0.00,11.33,1.64
German Marquez,$6.3K,R,COL,SP,MIA,,,,,-300,3,11.0,-163,6.17,-0.29,5,0.336,0.436,0.159,3.90,4,0.351,0.501,0.239,4.90,43,3.71,0.00,0.23,0.343,4.30,0.00,0.00,10.35,1.64
Matt Andriese,$5.1K,R,TBR,SP,NYY,,,,,-400,-4,8.0,150,3.49,-0.28,4,0.260,0.327,0.117,3.60,5,0.372,0.527,0.239,5.60,35,3.66,0.00,0.25,0.322,4.70,0.00,0.00,8.29,1.63
Dereck Rodriguez,$8.7K,R,SFG,SP,SDP,,,,,700,-1,8.0,-140,4.3,-0.33,4,0.376,0.511,0.219,3.20,5,0.336,0.426,0.130,5.20,5,3.78,0.00,0.15,0.354,4.30,0.00,0.00,13.27,1.53
Matt Boyd,$7.6K,L,DET,SP,@ CLE,,,,,900,-5,9.5,141,4.24,0.04,3,0.302,0.381,0.123,1.60,6,0.332,0.431,0.171,6.50,38,4.18,0.00,0.16,0.322,4.80,0.00,0.00,11.3,1.49
Clay Buchholz,$8.5K,R,ARI,SP,@ PIT,,,,,500, ,8.5,104,4.14,-0.04,4,0.306,0.379,0.111,3.40,5,0.372,0.586,0.287,4.20,8,4.06,0.00,0.17,0.343,3.80,0.00,0.00,11.87,1.4
Caleb Smith,$9.1K,L,MIA,SP,@ COL,,,,,2800,-16,11.0,148,4.83,-0.21,2,0.330,0.411,0.105,3.20,7,0.300,0.395,0.199,7.70,23,3.36,0.00,0.19,0.307,6.70,0.00,0.00,11.68,1.28
