Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Brandon McCarthy,$4.2K,R,ATL,SP,CHC,,,,,-1800,5,9.5,-109,4.67,0.08,3,0.298,0.368,0.122,4.00,6,0.346,0.451,0.139,3.70,24,4.24,0.00,0.16,0.330,3.80,0.00,0.00,11.89,2.83
Nicholas Pivetta,$7.2K,R,PHI,SP,@ BAL,,,,,100,-2,10.5,-115,5.36,0.03,4,0.317,0.396,0.130,4.80,5,0.373,0.535,0.247,5.20,33,3.58,0.00,0.27,0.348,5.00,0.00,0.00,19,2.64
Christian Bergman,$4.0K,R,SEA,SP,TEX,,,,,-1500,3,8.5,-109,4.32,-0.36,0,0.000,0.000,0.000,0.00,0,0.000,0.000,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,10.2,2.55
Jason Hammel,$4.9K,R,KCR,SP,TBR,,,,,-1600,5,9.0,-102,4.43,0.09,4,0.332,0.453,0.176,4.00,5,0.323,0.434,0.150,3.60,37,4.16,0.00,0.14,0.327,3.80,0.00,0.00,12.31,2.51
Garrett Richards,$5.8K,R,LAA,SP,HOU,,,,,-2700,9,7.5,104,3.65,0.12,3,0.249,0.311,0.135,7.00,6,0.277,0.314,0.091,5.00,12,3.54,0.00,0.27,0.268,5.70,0.00,0.00,14.24,2.46
Chris Sale,$11.8K,L,BOS,SP,OAK,,,,,400,2,8.0,-257,5.04,-0.27,1,0.242,0.280,0.065,2.00,8,0.268,0.372,0.164,12.00,39,1.68,0.00,0.20,0.265,10.90,0.00,0.00,28.94,2.45
Trevor Cahill,$5.1K,R,OAK,SP,@ BOS,,,,,-2100,6,8.0,224,2.96,-0.23,3,0.300,0.355,0.141,4.80,6,0.373,0.524,0.233,5.50,25,3.87,0.00,0.33,0.349,5.30,0.00,0.00,12.26,2.4
Tyler Chatwood,$6.5K,R,CHC,SP,@ ATL,,,,,-1300,3,9.5,-104,4.83,-0.08,6,0.349,0.431,0.170,4.00,3,0.297,0.368,0.161,4.20,37,4.71,0.00,0.27,0.332,4.10,0.00,0.00,15.22,2.34
Walker Buehler,$8.5K,R,LAD,SP,@ MIA,,,,,-1000,5,8.0,-198,4.71,0.45,2,0.244,0.231,0.019,6.20,7,0.295,0.344,0.113,9.00,9,3.37,0.00,0.15,0.284,8.40,0.00,0.00,18.78,2.21
Jameson Taillon,$7.6K,R,PIT,SP,CHW,,,,,-400,1,8.0,-179,4.59,-0.48,6,0.332,0.412,0.125,3.20,3,0.314,0.420,0.157,5.90,30,3.79,0.00,0.17,0.326,4.10,0.00,0.00,16.49,2.17
J.A. Happ,$9.3K,L,TOR,SP,@ NYM,,,,,700,-1,7.0,-137,3.74,-0.4,2,0.220,0.306,0.120,2.00,7,0.326,0.427,0.158,8.00,32,3.39,0.00,0.22,0.302,6.70,0.00,0.00,18.85,2.03
Elieser Hernandez,$4.0K,R,MIA,SP,LAD,,,,,-1500,3,8.0,175,3.29,0.05,5,0.399,0.455,0.000,3.00,4,0.292,0.333,0.000,0.00,2,4.92,0.00,0.00,0.351,1.70,0.00,0.00,8.05,2.01
Matt Koch,$7.4K,R,ARI,SP,MIL,,,,,-1100,4,8.5,-108,4.18,-0.39,3,0.234,0.299,0.152,4.30,6,0.385,0.579,0.281,2.90,6,4.33,0.00,0.20,0.335,3.30,0.00,0.00,14.72,1.99
Brandon Woodruff,$4.7K,R,MIL,SP,@ ARI,,,,,-800,1,8.5,-105,4.32,-0.11,5,0.373,0.472,0.126,3.60,4,0.285,0.374,0.158,4.50,12,4.20,0.00,0.17,0.334,4.00,0.00,0.00,9.27,1.97
Lance Lynn,$5.8K,R,MIN,SP,STL,,,,,-200,-3,9.5,-103,4.67,0.14,3,0.359,0.479,0.226,3.00,6,0.282,0.357,0.138,5.40,37,4.19,0.00,0.22,0.308,4.60,0.00,0.00,11.11,1.92
Justin Verlander,$12.0K,R,HOU,SP,@ LAA,,,,,1000, ,7.5,-117,3.85,-0.12,2,0.285,0.370,0.164,6.30,7,0.250,0.319,0.115,5.60,39,2.86,0.00,0.15,0.258,5.70,0.00,0.00,22.87,1.91
Zack Wheeler,$8.0K,R,NYM,SP,TOR,,,,,1000,-6,7.0,123,3.26,-0.6,4,0.346,0.466,0.203,4.40,5,0.334,0.416,0.135,4.10,23,4.05,0.00,0.26,0.339,4.30,0.00,0.00,14.88,1.86
Hector Santiago,$5.1K,L,CHW,SP,@ PIT,,,,,-400,-3,8.0,160,3.41,-0.02,2,0.525,0.734,0.324,1.50,7,0.292,0.380,0.155,6.20,24,4.75,0.00,0.22,0.344,5.20,0.00,0.00,9.38,1.84
Andrew Suarez,$8.8K,L,SFG,SP,CIN,,,,,800,-2,8.0,-153,4.4,-0.22,3,0.175,0.269,0.115,4.20,6,0.425,0.655,0.322,7.80,3,2.74,0.00,0.29,0.342,6.60,0.00,0.00,16.12,1.83
Matt Harvey,$6.2K,R,CIN,SP,@ SFG,,,,,200,-4,8.0,137,3.6,-0.28,5,0.411,0.594,0.288,2.90,4,0.318,0.412,0.157,3.90,26,4.73,0.00,0.26,0.370,3.30,0.00,0.00,10.27,1.66
Andrew Cashner,$5.0K,R,BAL,SP,PHI,,,,,-1300,3,10.5,102,5.14,-0.03,7,0.325,0.406,0.159,3.00,2,0.305,0.383,0.129,2.80,34,4.93,0.00,0.17,0.321,3.00,0.00,0.00,8.06,1.61
Trevor Bauer,$12.8K,R,CLE,SP,@ DET,,,,,3500,-3,9.0,-232,5.52,0.15,1,0.328,0.439,0.183,5.20,8,0.302,0.386,0.141,6.10,38,3.27,0.00,0.22,0.305,6.00,0.00,0.00,20.27,1.58
Jacob Faria,$9.0K,R,TBR,SP,@ KCR,,,,,1700,-6,9.0,-111,4.57,-0.09,4,0.278,0.280,0.101,3.10,5,0.309,0.442,0.194,6.00,22,3.75,0.00,0.21,0.295,4.70,0.00,0.00,13.28,1.48
Miles Mikolas,$11.0K,R,STL,SP,@ MIN,,,,,2000,-1,9.5,-110,4.83,-0.14,5,0.288,0.426,0.169,3.90,4,0.232,0.304,0.101,4.10,6,3.76,0.00,0.23,0.263,4.00,0.00,0.00,16.22,1.47
Bartolo Colon,$7.0K,R,TEX,SP,@ SEA,,,,, ,-2,8.5,-104,4.18,-0.14,4,0.360,0.521,0.225,2.70,5,0.359,0.539,0.237,3.60,34,4.38,0.00,0.22,0.359,3.20,0.00,0.00,10.23,1.46
