Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Garrett Richards,$6.5K,R,LAA,SP,CLE,,,,,-1200,10,8.0,-139,4.29,-0.19,7,0.312,0.455,0.205,10.64,2,0.256,0.270,0.080,7.94,7,0.00,0.00,0.00,0.300,10.04,0.00,0.00,16.28,2.5
Jakob Junis,$6.0K,R,KCR,SP,@ DET,,,,,-200,6,8.5,-103,4.18,-0.26,3,0.328,0.432,0.160,7.50,6,0.347,0.466,0.193,8.04,19,0.00,0.00,0.00,0.341,7.86,0.00,0.00,14.97,2.5
Chris Sale,$12.9K,L,BOS,SP,@ MIA,,,,,1500,-1,7.5,-261,4.74,-0.01,2,0.236,0.272,0.073,11.19,7,0.265,0.361,0.172,13.84,35,0.00,0.00,0.00,0.259,13.25,0.00,0.00,31.32,2.43
Kendall Graveman,$5.8K,R,OAK,SP,TEX,,,,,300, ,9.0,-140,4.84,0.48,5,0.315,0.421,0.182,6.13,4,0.376,0.502,0.188,5.93,20,0.00,0.00,0.00,0.342,6.04,0.00,0.00,14,2.41
Matt Boyd,$5.6K,L,DET,SP,KCR,,,,,-200,6,8.5,-111,4.32,-0.24,3,0.339,0.393,0.090,8.14,6,0.384,0.524,0.213,8.58,27,0.00,0.00,0.00,0.369,8.43,0.00,0.00,13.33,2.38
Clayton Kershaw,$12.2K,L,LAD,SP,@ ARI,,,,,700,1,7.5,-164,4.2,-0.08,2,0.303,0.423,0.183,8.94,7,0.275,0.368,0.153,10.67,33,0.00,0.00,0.00,0.281,10.29,0.00,0.00,28.75,2.36
J.A. Happ,$7.9K,L,TOR,SP,CHW,,,,,800,1,9.0,-184,5.2,0.1,1,0.232,0.310,0.120,6.68,8,0.336,0.438,0.174,9.85,26,0.00,0.00,0.00,0.324,9.50,0.00,0.00,18.57,2.35
Tyson Blach,$6.3K,L,SFG,SP,SEA,,,,,-100,6,8.5,-116,4.35,-0.05,4,0.270,0.313,0.060,3.28,5,0.354,0.485,0.196,5.06,33,0.00,0.00,0.00,0.317,4.27,0.00,0.00,14.58,2.31
Jordan Montgomery,$8.3K,L,NYY,SP,TBR,,,,,1000,-1,7.5,-158,4.16,-0.24,1,0.287,0.382,0.191,6.08,8,0.298,0.374,0.134,8.89,28,0.00,0.00,0.00,0.297,8.58,0.00,0.00,18.43,2.22
Chris Archer,$8.1K,R,TBR,SP,@ NYY,,,,,-100,5,7.5,141,3.34,-0.26,4,0.309,0.374,0.138,12.02,5,0.302,0.399,0.163,11.06,35,0.00,0.00,0.00,0.305,11.49,0.00,0.00,17.8,2.2
Justin Verlander,$11.6K,R,HOU,SP,BAL,,,,,1300, ,9.0,-243,5.58,-0.03,4,0.265,0.339,0.149,10.84,5,0.263,0.319,0.104,8.66,40,0.00,0.00,0.00,0.264,9.63,0.00,0.00,24.59,2.12
Mike Wright,$4.5K,R,BAL,SP,@ HOU,,,,,-1000,4,9.0,210,3.42,0.03,4,0.486,0.800,0.450,7.71,5,0.335,0.413,0.159,10.57,13,0.00,0.00,0.00,0.402,9.30,0.00,0.00,9.49,2.11
A.J. Cole,$7.4K,R,WAS,SP,@ ATL,,,,,1600,-4,9.5,-127,4.97,0.37,6,0.411,0.564,0.269,7.64,3,0.280,0.319,0.117,7.96,11,0.00,0.00,0.00,0.367,7.75,0.00,0.00,15.61,2.11
Tyson Ross,$5.6K,R,SDP,SP,COL,,,,,100,1,8.0,-106,3.93,-0.17,0,0.000,0.000,0.000,0.00,0,0.000,0.000,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,11.75,2.1
Jack Flaherty,$6.0K,R,STL,SP,@ MIL,,,,, ,5,9.5,107,4.59,0.32,4,0.509,0.742,0.355,6.00,5,0.269,0.275,0.050,11.46,6,0.00,0.00,0.00,0.376,9.03,0.00,0.00,12.39,2.07
Ben Lively,$6.3K,R,PHI,SP,@ NYM,,,,,600,-1,7.5,107,3.62,-0.38,5,0.364,0.486,0.211,4.50,4,0.309,0.429,0.192,7.05,16,0.00,0.00,0.00,0.340,5.63,0.00,0.00,12.17,1.93
Julio Teheran,$6.8K,R,ATL,SP,WAS,,,,,900,-1,9.5,112,4.53,0.13,4,0.358,0.467,0.229,7.09,5,0.332,0.442,0.163,8.02,31,0.00,0.00,0.00,0.344,7.61,0.00,0.00,13.06,1.92
Zachary Godley,$9.0K,R,ARI,SP,LAD,,,,,1500,-2,7.5,145,3.3,0.08,3,0.283,0.324,0.108,10.05,6,0.289,0.370,0.150,10.07,27,0.00,0.00,0.00,0.287,10.06,0.00,0.00,17.09,1.9
Cole Hamels,$8.5K,L,TEX,SP,@ OAK,,,,,1700,-5,9.0,125,4.16,0.02,1,0.203,0.243,0.095,6.34,8,0.351,0.453,0.204,7.48,24,0.00,0.00,0.00,0.335,7.35,0.00,0.00,15.85,1.86
Matt Harvey,$7.8K,R,NYM,SP,PHI,,,,,800,1,7.5,-121,3.88,-0.12,4,0.396,0.546,0.254,6.53,5,0.326,0.407,0.160,6.75,18,0.00,0.00,0.00,0.357,6.65,0.00,0.00,14.24,1.83
Jose Urena,$4.9K,R,MIA,SP,BOS,,,,,-600,3,7.5,225,2.76,0.01,4,0.335,0.419,0.184,5.00,5,0.324,0.419,0.179,7.42,33,0.00,0.00,0.00,0.329,6.34,0.00,0.00,8.78,1.79
Chase Anderson,$10.1K,R,MIL,SP,STL,,,,,2100,-1,9.5,-120,4.91,0.18,3,0.245,0.260,0.074,10.20,6,0.294,0.378,0.157,8.20,25,0.00,0.00,0.00,0.278,8.87,0.00,0.00,17.96,1.78
