Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Chase Anderson,$4.7K,R,MIL,SP,PHI,,,,,-1500,9,8.5,102,4.16,0.22,5,0.279,0.338,0.133,4.00,4,0.303,0.405,0.177,4.10,37,3.75,0.00,0.18,0.290,4.00,0.00,0.00,15.78,3.36
James Shields,$5.3K,R,CHW,SP,DET,,,,,-1600,10,9.0,108,4.34,-0.24,4,0.348,0.468,0.228,3.30,5,0.311,0.418,0.177,3.90,36,4.30,0.00,0.19,0.327,3.60,0.00,0.00,12.98,2.45
Jon Gray,$8.0K,R,COL,SP,@ TEX,,,,,400,-2,10.0,-131,5.29,-0.27,6,0.325,0.424,0.150,5.40,3,0.328,0.429,0.151,5.20,32,3.31,0.00,0.21,0.326,5.30,0.00,0.00,18.93,2.37
Caleb Ferguson,$6.1K,L,LAD,SP,SFG,,,,,600,-3,8.5,-162,4.75,0.12,2,0.378,0.250,0.000,3.50,7,0.403,0.429,0.072,6.90,2,5.05,0.00,0.00,0.397,6.20,0.00,0.00,14.23,2.33
Anthony DeSclafani,$6.5K,R,CIN,SP,@ PIT,,,,,800,-5,8.5,132,3.86,-0.34,5,0.395,0.588,0.235,4.50,4,0.429,0.542,0.125,5.40,2,3.28,0.00,0.14,0.410,4.90,0.00,0.00,14.94,2.3
Matthew Strahm,$4.8K,L,SDP,SP,@ ATL,,,,,-700,2,8.5,101,4.17,0.13,4,0.383,0.467,0.223,2.60,5,0.290,0.357,0.160,7.10,34,4.18,0.00,0.22,0.331,5.10,0.00,0.00,11,2.29
Jake Odorizzi,$6.2K,R,MIN,SP,@ CLE,,,,,-800,8,9.5,131,4.34,-0.07,5,0.318,0.450,0.233,3.80,4,0.334,0.457,0.218,5.50,39,3.96,0.00,0.23,0.325,4.50,0.00,0.00,13.9,2.24
Jose Quintana,$7.8K,L,CHC,SP,@ STL,,,,,-600,8,8.5,-123,4.41,0.05,1,0.251,0.323,0.110,2.50,8,0.321,0.419,0.180,8.10,43,3.35,0.00,0.21,0.313,7.50,0.00,0.00,17.5,2.24
CC Sabathia,$7.6K,L,NYY,SP,TBR,,,,,1000,-4,9.5,-237,5.86,0.29,1,0.310,0.356,0.118,1.80,8,0.301,0.394,0.157,6.50,38,4.16,0.00,0.26,0.302,6.00,0.00,0.00,16.1,2.12
Julio Teheran,$7.8K,R,ATL,SP,SDP,,,,,900,-3,8.5,-115,4.33,-0.13,6,0.342,0.449,0.211,3.90,3,0.318,0.439,0.186,3.90,42,4.22,0.00,0.22,0.334,3.90,0.00,0.00,16.28,2.09
Blaine Hardy,$6.7K,L,DET,SP,@ CHW,,,,,600,-2,9.0,-121,4.66,0.24,2,0.307,0.467,0.241,2.00,7,0.344,0.444,0.142,5.90,43,4.03,0.00,0.16,0.336,5.10,0.00,0.00,13.76,2.05
Tanner Roark,$8.0K,R,WAS,SP,@ TOR,,,,,100,1,9.0,-135,4.78,-0.13,3,0.348,0.468,0.198,4.10,6,0.262,0.327,0.117,4.40,43,3.85,0.00,0.19,0.291,4.30,0.00,0.00,16.28,2.04
Daniel Mengden,$6.0K,R,OAK,SP,LAA,,,,,-1600,13,8.5,106,4.12,-0.06,2,0.289,0.423,0.180,3.20,7,0.296,0.403,0.173,3.40,19,4.13,0.00,0.18,0.294,3.40,0.00,0.00,11.87,1.98
Zack Wheeler,$7.1K,R,NYM,SP,@ ARI,,,,,200,3,8.5,105,4.13,-0.01,7,0.359,0.471,0.198,4.20,2,0.329,0.404,0.131,4.40,29,3.95,0.00,0.24,0.352,4.20,0.00,0.00,13.61,1.92
Mike Leake,$6.5K,R,SEA,SP,BOS,,,,,-1500,13,8.0,136,3.6,-0.2,5,0.327,0.429,0.151,2.40,4,0.318,0.439,0.172,3.80,45,4.36,0.00,0.20,0.323,3.00,0.00,0.00,11.87,1.83
Lance McCullers,$9.6K,R,HOU,SP,@ KCR,,,,,800,2,9.5,-255,5.97,0.05,4,0.258,0.305,0.108,5.40,5,0.328,0.411,0.149,5.20,35,3.77,0.00,0.20,0.297,5.30,0.00,0.00,17.58,1.83
Brad Keller,$4.2K,R,KCR,SP,HOU,,,,,-1300,4,9.5,221,3.53,-0.05,3,0.232,0.190,0.034,1.90,6,0.291,0.352,0.091,5.40,21,4.84,0.00,0.07,0.271,4.20,0.00,0.00,7.6,1.81
Clay Buchholz,$8.2K,R,ARI,SP,NYM,,,,,100,2,8.5,-119,4.37,-0.49,6,0.315,0.400,0.120,3.10,3,0.383,0.602,0.301,4.90,7,3.99,0.00,0.18,0.338,3.70,0.00,0.00,14.76,1.8
Aaron Nola,$12.0K,R,PHI,SP,@ MIL,,,,,2500, ,8.5,-116,4.34,0.28,4,0.289,0.353,0.119,4.20,5,0.260,0.339,0.122,5.60,40,3.27,0.00,0.16,0.273,5.00,0.00,0.00,21.44,1.79
Andrew Heaney,$8.6K,L,LAA,SP,@ OAK,,,,,700,-2,8.5,-120,4.38,0.06,1,0.248,0.279,0.058,1.50,8,0.367,0.541,0.282,7.80,16,3.47,0.00,0.32,0.354,7.10,0.00,0.00,15.35,1.78
Eduardo Rodriguez,$10.2K,L,BOS,SP,@ SEA,,,,,1800,-1,8.0,-152,4.4,0.2,3,0.326,0.413,0.168,2.30,6,0.307,0.402,0.164,8.00,37,3.13,0.00,0.17,0.313,6.10,0.00,0.00,18.04,1.77
Joe Musgrove,$8.5K,R,PIT,SP,CIN,,,,,900,-4,8.5,-149,4.64,-0.16,4,0.317,0.433,0.176,4.60,5,0.339,0.459,0.183,3.90,41,3.58,0.00,0.22,0.329,4.20,0.00,0.00,14.88,1.75
Chris Stratton,$7.9K,R,SFG,SP,@ LAD,,,,,1300,-7,8.5,145,3.75,-0.12,5,0.345,0.429,0.160,3.60,4,0.304,0.385,0.138,4.40,25,4.39,0.00,0.15,0.327,3.90,0.00,0.00,13.41,1.7
Dylan Bundy,$10.5K,R,BAL,SP,MIA,,,,,1300, ,8.5,-175,4.85,0.09,3,0.341,0.462,0.192,3.50,6,0.291,0.408,0.200,5.70,41,3.37,0.00,0.21,0.308,5.00,0.00,0.00,15.78,1.5
Yovani Gallardo,$5.1K,R,TEX,SP,COL,,,,,-400, ,10.0,118,4.71,-0.23,4,0.352,0.457,0.195,3.40,5,0.369,0.511,0.226,3.30,31,4.64,0.00,0.29,0.361,3.30,0.00,0.00,7.59,1.49
Trevor Richards,$7.6K,R,MIA,SP,@ BAL,,,,,1700,-10,8.5,156,3.65,-0.09,2,0.301,0.344,0.138,4.80,7,0.337,0.449,0.192,3.00,7,4.08,0.00,0.23,0.329,3.40,0.00,0.00,10.41,1.37
Jack Flaherty,$10.2K,R,STL,SP,CHC,,,,,2400,-7,8.5,108,4.09,-0.05,5,0.363,0.492,0.210,3.40,4,0.257,0.315,0.107,6.50,13,3.31,0.00,0.21,0.316,4.80,0.00,0.00,13.85,1.36
Sam Gaviglio,$7.2K,R,TOR,SP,WAS,,,,,1200,-5,9.0,119,4.22,-0.37,5,0.351,0.489,0.224,2.50,4,0.332,0.464,0.215,4.40,21,4.37,0.00,0.33,0.343,3.30,0.00,0.00,8.48,1.18
