Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Kyle Hendricks,$6.4K,R,CHC,SP,@ CIN,,,,,-1100,6,9.5,-159,5.29,-0.02,5,0.310,0.409,0.178,4.30,4,0.289,0.386,0.140,4.50,36,3.83,0.00,0.25,0.301,4.40,0.00,0.00,19.97,3.12
John Lamb,$6.7K,L,LAA,SP,TOR,,,,,900,-4,8.5,-130,4.48,0.35,0,0.000,0.000,0.000,1.80,9,0.333,0.563,0.375,7.20,1,2.85,0.00,1.00,0.333,7.20,0.00,0.00,16.36,2.44
Aaron Sanchez,$5.7K,R,TOR,SP,@ LAA,,,,,-2000,8,8.5,115,4.02,0.65,2,0.359,0.422,0.158,3.90,7,0.319,0.396,0.146,4.20,20,4.83,0.00,0.21,0.328,4.20,0.00,0.00,13.56,2.38
Matt Harvey,$4.8K,R,CIN,SP,CHC,,,,,-800, ,9.5,143,4.21,0.02,4,0.413,0.589,0.286,3.00,5,0.321,0.420,0.164,4.00,31,4.63,0.00,0.25,0.362,3.60,0.00,0.00,10.88,2.27
Chad Kuhl,$6.7K,R,PIT,SP,ARI,,,,,-1700,7,8.0,-115,4.08,0.02,6,0.366,0.497,0.229,4.70,3,0.310,0.386,0.128,4.20,42,3.93,0.00,0.18,0.347,4.60,0.00,0.00,14.66,2.19
Zack Godley,$7.2K,R,ARI,SP,@ PIT,,,,,-700,2,8.0,102,3.92,-0.02,4,0.307,0.369,0.137,4.90,5,0.303,0.393,0.162,5.60,37,3.60,0.00,0.23,0.305,5.30,0.00,0.00,15.64,2.17
Brent Suter,$6.5K,L,MIL,SP,STL,,,,,-300, ,8.5,-118,4.36,-0.37,1,0.258,0.310,0.111,1.60,8,0.328,0.449,0.172,6.30,35,3.79,0.00,0.23,0.320,5.80,0.00,0.00,14.06,2.16
Carlos Martinez,$8.9K,R,STL,SP,@ MIL,,,,,1600,-7,8.5,104,4.14,-0.13,6,0.327,0.394,0.151,4.40,3,0.272,0.335,0.131,5.50,41,3.71,0.00,0.23,0.309,4.70,0.00,0.00,18.45,2.07
Madison Bumgarner,$10.1K,L,SFG,SP,SDP,,,,,1500,-1,7.5,-153,4.13,0.09,1,0.224,0.244,0.061,1.30,8,0.323,0.479,0.226,6.50,20,3.40,0.00,0.23,0.312,5.90,0.00,0.00,20.61,2.04
Tyson Ross,$8.1K,R,SDP,SP,@ SFG,,,,,700,-3,7.5,137,3.37,-0.09,6,0.351,0.431,0.165,3.80,3,0.306,0.365,0.146,4.60,26,4.24,0.00,0.18,0.336,4.00,0.00,0.00,16.45,2.03
Rick Porcello,$9.1K,R,BOS,SP,@ MIN,,,,,300,1,9.0,-120,4.64,0.29,6,0.350,0.497,0.223,4.20,3,0.320,0.424,0.152,4.50,47,3.53,0.00,0.20,0.340,4.30,0.00,0.00,17.11,1.88
Kevin Gausman,$8.5K,R,BAL,SP,@ WAS,,,,,1300,-7,7.0,228,2.61,0.05,3,0.340,0.435,0.168,4.20,6,0.356,0.489,0.197,5.40,45,3.70,0.00,0.26,0.351,5.00,0.00,0.00,15.83,1.86
Luis Severino,$12.3K,R,NYY,SP,SEA,,,,,1500, ,8.0,-181,4.62,0.19,5,0.278,0.355,0.147,5.30,4,0.246,0.306,0.109,6.70,43,2.77,0.00,0.20,0.264,5.90,0.00,0.00,22.75,1.85
Max Scherzer,$14.4K,R,WAS,SP,BAL,,,,,2200, ,7.0,-245,4.39,-0.55,3,0.291,0.384,0.180,5.80,6,0.193,0.237,0.097,7.80,43,1.79,0.00,0.16,0.226,7.20,0.00,0.00,26.29,1.83
James Paxton,$10.7K,L,SEA,SP,@ NYY,,,,,900, ,8.0,165,3.38,0.31,2,0.303,0.373,0.112,1.90,7,0.258,0.327,0.121,9.60,37,2.58,0.00,0.14,0.268,7.90,0.00,0.00,17.79,1.66
Kyle Gibson,$7.5K,R,MIN,SP,BOS,,,,,-700,2,9.0,106,4.36,0.21,6,0.336,0.424,0.147,3.60,3,0.326,0.423,0.172,4.50,41,4.32,0.00,0.23,0.333,3.90,0.00,0.00,12.39,1.65
Kyle Freeland,$7.1K,L,COL,SP,NYM,,,,,-300, ,11.5,-154,6.35,0.54,3,0.311,0.411,0.146,2.80,6,0.335,0.428,0.158,4.20,45,4.52,0.00,0.19,0.327,3.70,0.00,0.00,11.26,1.59
Steven Matz,$6.9K,L,NYM,SP,@ COL,,,,,500,-4,11.5,139,5.15,-0.04,3,0.309,0.321,0.076,1.30,6,0.351,0.494,0.221,6.20,25,4.28,0.00,0.24,0.337,4.60,0.00,0.00,9.44,1.37
