Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Garrett Richards,$7.0K,R,LAA,SP,NYY,,,,,-1200,5,7.5,-103,3.69,-0.63,4,0.264,0.338,0.150,10.80,5,0.248,0.245,0.054,9.72,11,0.00,0.00,0.00,0.255,10.20,0.00,0.00,17.69,2.53
Junior Guerra,$6.6K,R,MIL,SP,@ CHC,,,,,-200, ,7.0,147,3.08,3.08,5,0.340,0.410,0.191,7.00,4,0.346,0.440,0.211,9.41,23,0.00,0.00,0.00,0.343,8.07,0.00,0.00,16.58,2.51
Jeremy Hellickson,$4.6K,R,WAS,SP,ARI,,,,,-1000,3,8.0,118,3.76,-0.04,6,0.329,0.465,0.233,5.72,3,0.344,0.486,0.226,5.59,32,0.00,0.00,0.00,0.334,5.68,0.00,0.00,11.52,2.5
German Marquez,$6.3K,R,COL,SP,@ MIA,,,,,500,-4,8.0,-112,4.06,-0.51,3,0.314,0.368,0.108,7.63,6,0.371,0.536,0.265,9.72,34,0.00,0.00,0.00,0.352,9.02,0.00,0.00,15.23,2.42
Mike Leake,$5.0K,R,SEA,SP,@ CLE,,,,,-500,-1,7.5,202,2.9,-0.17,7,0.332,0.438,0.157,5.42,2,0.322,0.435,0.162,7.69,36,0.00,0.00,0.00,0.330,5.92,0.00,0.00,12.02,2.4
Jose Quintana,$7.6K,L,CHC,SP,MIL,,,,,200,-1,7.0,-163,3.92,3.92,1,0.261,0.333,0.109,10.13,8,0.318,0.404,0.164,10.03,40,0.00,0.00,0.00,0.312,10.04,0.00,0.00,17.96,2.36
Jaime Garcia,$6.5K,L,TOR,SP,TEX,,,,,200,-1,9.0,-174,5.12,-0.33,3,0.325,0.463,0.204,10.04,6,0.342,0.453,0.191,8.30,32,0.00,0.00,0.00,0.336,8.88,0.00,0.00,15.28,2.35
Yonny Chirinos,$4.7K,R,TBR,SP,@ BOS,,,,,-1300,5,9.0,179,3.67,0.21,3,0.298,0.333,0.102,4.50,6,0.294,0.361,0.111,9.31,5,0.00,0.00,0.00,0.295,7.71,0.00,0.00,10.99,2.34
Sal Romano,$5.1K,R,CIN,SP,@ MIN,,,,,-600, ,10.0,132,4.55,0.2,7,0.317,0.419,0.193,8.33,2,0.337,0.432,0.166,6.67,21,0.00,0.00,0.00,0.321,7.96,0.00,0.00,11.24,2.2
Trevor Williams,$6.6K,R,PIT,SP,STL,,,,,-500,2,8.0,120,3.74,-0.12,3,0.330,0.414,0.125,6.35,6,0.291,0.353,0.142,8.13,36,0.00,0.00,0.00,0.304,7.54,0.00,0.00,14.43,2.19
Alex Wood,$9.8K,L,LAD,SP,@ SFG,,,,,900,2,7.0,-127,3.67,0.02,5,0.264,0.328,0.102,9.13,13,0.284,0.384,0.162,9.00,33,0.00,0.00,0.00,0.557,18.07,0.00,0.00,20.7,2.11
Jason Vargas,$6.2K,L,NYM,SP,@ SDP,,,,,100,-1,7.5,126,3.46,-0.34,3,0.359,0.478,0.172,5.63,6,0.326,0.426,0.177,8.28,32,0.00,0.00,0.00,0.337,7.40,0.00,0.00,13.01,2.1
Eric Skoglund,$4.0K,L,KCR,SP,CHW,,,,,-1500,3,10.5,-138,5.62,-0.04,3,0.350,0.316,0.053,5.40,15,0.406,0.516,0.172,7.53,10,0.00,0.00,0.00,0.793,14.35,0.00,0.00,8.41,2.1
Eric Skoglund,$4.0K,L,KCR,SP,CHW,,,,,-1500,3,10.5,-138,5.62,-0.04,3,0.350,0.316,0.053,5.40,15,0.406,0.516,0.172,7.53,10,0.00,0.00,0.00,0.793,14.35,0.00,0.00,8.41,2.1
Francisco Liriano,$6.7K,L,DET,SP,@ BAL,,,,,-200, ,9.0,127,4.14,-0.2,1,0.272,0.342,0.137,8.90,8,0.375,0.474,0.199,8.48,37,0.00,0.00,0.00,0.364,8.53,0.00,0.00,14.03,2.09
Nicholas Pivetta,$7.7K,R,PHI,SP,ATL,,,,,-100, ,8.5,-122,4.41,-0.11,5,0.308,0.346,0.085,10.53,4,0.383,0.542,0.260,9.99,30,0.00,0.00,0.00,0.341,10.29,0.00,0.00,15.72,2.04
