Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Jeff Samardzija,$4.4K,R,SFG,SP,STL,,,,,-1300,-1,8.5,115,4.02,-0.04,3,0.335,0.482,0.228,5.00,6,0.301,0.407,0.150,3.90,39,3.31,4.01,0.20,0.312,4.30,0.00,0.00,13.17,2.99
Steven Matz,$6.1K,L,NYM,SP,TBR,,,,,-1300,5,7.0,111,3.35,0.03,2,0.310,0.333,0.089,1.40,7,0.345,0.481,0.212,6.30,28,4.18,4.48,0.24,0.337,5.20,0.00,0.00,17.26,2.83
Deck McGuire,$4.0K,R,LAA,SP,LAD,,,,,-1500,1,10.0,133,4.54,0.61,4,0.229,0.293,0.121,2.60,5,0.438,0.710,0.420,5.90,12,4.43,5.56,0.22,0.345,4.40,0.00,0.00,10.76,2.69
Jake Arrieta,$6.3K,R,PHI,SP,@ PIT,,,,,-900,2,8.0,115,3.79,-0.03,4,0.348,0.463,0.199,4.20,5,0.274,0.347,0.132,4.90,44,3.85,4.04,0.20,0.307,4.60,0.00,0.00,16.82,2.67
Wei-Yin Chen,$4.1K,L,MIA,SP,@ WAS,,,,,-2000,3,7.5,267,2.61,0.25,2,0.233,0.329,0.136,2.20,7,0.346,0.470,0.203,4.70,22,4.12,5.13,0.17,0.321,4.10,0.00,0.00,10.69,2.61
Anibal Sanchez,$5.9K,R,ATL,SP,@ MIL,,,,,-900, ,9.5,-106,4.67,4.67,4,0.339,0.466,0.206,5.00,5,0.369,0.523,0.225,4.80,36,3.48,4.38,0.26,0.356,4.90,0.00,0.00,14.69,2.49
Jameson Taillon,$6.6K,R,PIT,SP,PHI,,,,,-1000,4,8.0,-130,4.21,0.03,4,0.346,0.441,0.156,3.30,5,0.306,0.407,0.153,5.80,39,3.73,3.89,0.17,0.324,4.70,0.00,0.00,16.05,2.43
Tyler Chatwood,$5.4K,R,CHC,SP,CIN,,,,,-1200,1,9.0,-146,4.9,4.9,6,0.367,0.449,0.176,4.10,3,0.305,0.362,0.157,4.00,44,4.83,4.62,0.26,0.346,4.10,0.00,0.00,12.6,2.33
Carlos Martinez,$8.1K,R,STL,SP,@ SFG,,,,,-300,3,8.5,-130,4.48,0.54,4,0.325,0.391,0.145,4.40,5,0.277,0.346,0.135,5.40,44,3.67,3.95,0.21,0.298,5.00,0.00,0.00,17.87,2.21
Corey Kluber,$11.8K,R,CLE,SP,OAK,,,,,400,3,9.0,-227,5.54,0.12,3,0.259,0.345,0.143,5.40,6,0.244,0.341,0.141,6.40,44,2.25,2.67,0.26,0.249,6.10,0.00,0.00,26,2.2
Aaron Wilkerson,$5.0K,R,MIL,SP,ATL,,,,,-500,-4,9.5,-108,4.83,4.83,5,0.222,0.316,0.094,3.00,4,0.313,0.469,0.250,11.80,3,3.38,4.35,0.17,0.262,6.90,0.00,0.00,10.95,2.19
James Shields,$4.7K,R,CHW,SP,@ HOU,,,,,-1800,2,8.0,282,2.71,-0.03,3,0.339,0.449,0.215,3.40,6,0.310,0.415,0.174,3.80,40,4.36,5.31,0.19,0.320,3.60,0.00,0.00,10.23,2.18
David Price,$9.0K,L,BOS,SP,@ KCR,,,,,1000, ,9.5,-179,5.47,0.21,3,0.262,0.299,0.086,1.60,6,0.310,0.415,0.175,8.50,28,3.48,4.25,0.17,0.294,6.20,0.00,0.00,19.47,2.16
Robbie Ray,$9.2K,L,ARI,SP,SDP,,,,,200,3,8.5,-176,4.87,0.35,1,0.269,0.354,0.154,3.30,8,0.302,0.376,0.168,10.30,34,2.52,3.51,0.25,0.298,9.50,0.00,0.00,19.3,2.1
Max Scherzer,$14.3K,R,WAS,SP,MIA,,,,,2100, ,7.5,-283,4.89,0.25,4,0.290,0.381,0.177,5.80,5,0.196,0.241,0.100,7.60,46,1.85,3.21,0.16,0.238,6.80,0.00,0.00,30.05,2.1
Kevin Gausman,$7.4K,R,BAL,SP,@ MIN,,,,,100,-1,8.5,125,3.93,0.01,7,0.340,0.439,0.176,4.00,2,0.349,0.478,0.191,5.20,48,3.76,4.23,0.25,0.342,4.30,0.00,0.00,15.27,2.06
Brad Keller,$4.2K,R,KCR,SP,BOS,,,,,-1800,1,9.5,163,4.03,0.29,5,0.273,0.267,0.045,1.70,4,0.273,0.317,0.065,4.00,23,5.12,4.47,0.05,0.273,2.70,0.00,0.00,8.39,2
James Paxton,$12.5K,L,SEA,SP,COL,,,,,2200,-1,7.5,-190,4.38,0.38,3,0.286,0.347,0.101,2.10,6,0.263,0.336,0.128,9.60,40,2.52,3.16,0.15,0.271,7.10,0.00,0.00,24.92,1.99
Kyle Gibson,$7.9K,R,MIN,SP,BAL,,,,,100,1,8.5,-140,4.57,-0.01,3,0.338,0.419,0.135,3.70,6,0.332,0.436,0.181,4.40,44,4.31,4.24,0.24,0.334,4.10,0.00,0.00,15.46,1.96
Ross Stripling,$9.9K,R,LAD,SP,@ LAA,,,,,1300,-2,10.0,-148,5.46,0.39,3,0.257,0.332,0.111,5.50,6,0.317,0.445,0.175,6.10,66,2.93,3.10,0.23,0.297,5.90,0.00,0.00,18.88,1.91
Luis Severino,$13.0K,R,NYY,SP,@ TOR,,,,,1300, ,7.5,-194,4.4,-0.26,4,0.273,0.349,0.141,5.30,5,0.249,0.308,0.109,6.50,46,2.78,3.06,0.19,0.260,6.00,0.00,0.00,24.56,1.89
Tyson Ross,$7.5K,R,SDP,SP,@ ARI,,,,,600,-6,8.5,160,3.63,0.15,6,0.358,0.453,0.185,3.60,3,0.305,0.371,0.157,4.20,29,4.38,4.89,0.20,0.340,3.80,0.00,0.00,13.93,1.86
Charlie Morton,$12.2K,R,HOU,SP,CHW,,,,,1400,1,8.0,-297,5.29,0.03,4,0.267,0.309,0.125,7.00,5,0.321,0.412,0.166,4.60,40,3.25,3.39,0.22,0.297,5.70,0.00,0.00,22.15,1.82
Mike Fiers,$6.9K,R,DET,SP,TEX,,,,,-200,-2,9.0,110,4.32,-0.03,5,0.342,0.463,0.211,3.90,4,0.346,0.473,0.205,4.50,43,3.87,4.74,0.24,0.344,4.20,0.00,0.00,12.39,1.8
Matt Harvey,$6.5K,R,CIN,SP,@ CHC,,,,,200,-6,9.0,131,4.1,4.1,6,0.395,0.551,0.255,3.10,3,0.311,0.403,0.155,4.00,34,4.52,5.07,0.24,0.367,3.40,0.00,0.00,11.65,1.79
