Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Jhoulys Chacin,$5.0K,R,MIL,SP,PIT,,,,,-700,-1,8.5,-105,4.19,0.05,5,0.343,0.424,0.176,6.22,4,0.281,0.337,0.112,8.78,39,0.00,0.00,0.00,0.315,7.36,0.00,0.00,12.83,2.57
Jameson Taillon,$7.4K,R,PIT,SP,@ MIL,,,,,-900,8,8.5,-107,4.31,-0.05,3,0.322,0.375,0.088,6.75,6,0.316,0.410,0.153,10.19,31,0.00,0.00,0.00,0.318,9.04,0.00,0.00,18.59,2.51
Jason Hammel,$5.5K,R,KCR,SP,DET,,,,,-500,1,9.5,-155,5.25,0.24,3,0.340,0.442,0.168,7.48,6,0.326,0.426,0.145,6.56,39,0.00,0.00,0.00,0.331,6.87,0.00,0.00,13.44,2.44
Lance Lynn,$5.7K,R,MIN,SP,@ CHW,,,,,-300, ,9.5,-107,4.82,-0.1,4,0.383,0.486,0.225,6.72,5,0.280,0.345,0.135,9.50,38,0.00,0.00,0.00,0.326,8.26,0.00,0.00,13.47,2.36
Jacob Faria,$7.2K,R,TBR,SP,TOR,,,,,200,-2,8.0,-103,4.06,-0.01,3,0.310,0.343,0.141,9.57,6,0.312,0.425,0.179,9.38,22,0.00,0.00,0.00,0.311,9.44,0.00,0.00,16.66,2.31
Caleb Smith,$7.2K,L,MIA,SP,@ CIN,,,,,300,-4,8.5,112,4.06,-0.32,4,0.342,0.412,0.118,13.14,5,0.277,0.333,0.152,11.44,14,0.00,0.00,0.00,0.306,12.20,0.00,0.00,16.62,2.31
Steven Matz,$6.2K,L,NYM,SP,COL,,,,, , ,8.0,-127,4.19,0.03,2,0.336,0.365,0.081,8.15,7,0.394,0.572,0.272,9.68,18,0.00,0.00,0.00,0.381,9.34,0.00,0.00,14.07,2.27
Luke Weaver,$7.7K,R,STL,SP,CHC,,,,,200,-1,8.5,-126,4.44, ,4,0.296,0.359,0.128,9.39,5,0.321,0.411,0.145,11.38,19,0.00,0.00,0.00,0.310,10.50,0.00,0.00,17,2.21
Jordan Zimmermann,$5.0K,R,DET,SP,@ KCR,,,,,-2500,15,9.5,139,4.25,-0.24,6,0.355,0.498,0.199,7.22,3,0.378,0.520,0.215,6.17,33,0.00,0.00,0.00,0.363,6.87,0.00,0.00,10.91,2.18
Zack Greinke,$9.5K,R,ARI,SP,HOU,,,,,200,1,7.5,115,3.56,-0.3,3,0.286,0.366,0.141,10.22,6,0.290,0.405,0.183,10.05,40,0.00,0.00,0.00,0.289,10.11,0.00,0.00,20.58,2.17
Bryan Mitchell,$4.4K,R,SDP,SP,LAD,,,,,-1100, ,9.0,194,3.54,0.1,6,0.349,0.421,0.158,6.87,3,0.372,0.466,0.149,4.29,27,0.00,0.00,0.00,0.357,6.01,0.00,0.00,9.4,2.14
Marco Gonzales,$6.6K,L,SEA,SP,LAA,,,,, , ,8.5,-110,4.18,0.05,0,0.356,0.462,0.154,6.75,9,0.384,0.520,0.193,9.91,17,0.00,0.00,0.00,0.384,9.91,0.00,0.00,14.08,2.13
Tanner Roark,$8.5K,R,WAS,SP,PHI,,,,,-500,3,8.5,-147,4.64,-0.19,5,0.363,0.483,0.204,7.80,4,0.267,0.325,0.111,8.97,38,0.00,0.00,0.00,0.320,8.32,0.00,0.00,17.94,2.11
Brandon McCarthy,$7.6K,R,ATL,SP,SFG,,,,, ,2,9.0,-145,4.89,-0.36,5,0.300,0.378,0.135,8.04,4,0.324,0.401,0.123,7.10,26,0.00,0.00,0.00,0.311,7.62,0.00,0.00,15.94,2.1
Sonny Gray,$6.6K,R,NYY,SP,CLE,,,,,600,-4,9.0,-109,4.57,-0.42,7,0.295,0.369,0.156,8.86,2,0.319,0.405,0.166,8.57,36,0.00,0.00,0.00,0.300,8.80,0.00,0.00,13.81,2.09
Tyler Skaggs,$7.8K,L,LAA,SP,@ SEA,,,,,400,-4,8.5,-103,4.32,-0.05,2,0.286,0.363,0.133,8.16,7,0.350,0.455,0.179,8.83,22,0.00,0.00,0.00,0.336,8.68,0.00,0.00,16.13,2.07
Vincent Velasquez,$6.9K,R,PHI,SP,@ WAS,,,,,-1100,10,8.5,133,3.86,-0.31,4,0.403,0.545,0.231,9.84,5,0.334,0.454,0.207,9.12,21,0.00,0.00,0.00,0.365,9.44,0.00,0.00,13.84,2.01
Charlie Morton,$10.9K,R,HOU,SP,@ ARI,,,,,900,1,7.5,-127,3.94,-0.2,3,0.224,0.258,0.099,12.93,6,0.348,0.453,0.189,8.58,33,0.00,0.00,0.00,0.307,10.03,0.00,0.00,21.81,2
Cole Hamels,$6.9K,L,TEX,SP,BOS,,,,,-1200,11,9.0,135,4.07,-0.19,3,0.235,0.284,0.105,6.87,6,0.343,0.446,0.206,8.09,30,0.00,0.00,0.00,0.307,7.68,0.00,0.00,13.75,1.99
Hector Santiago,$5.2K,L,CHW,SP,MIN,,,,,-400,-3,9.5,-105,4.68,0.1,4,0.537,0.739,0.333,8.78,5,0.297,0.370,0.152,7.03,24,0.00,0.00,0.00,0.404,7.81,0.00,0.00,10.28,1.98
