Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,LSLG,LISO,LK/9,xR,RwOBA,RSLG,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Luis Castillo,$5.5K,R,CIN,SP,CHW,,,,,-1600,5,9.0,-190,5.25,-0.21,4,0.326,0.455,0.217,4.10,5,0.298,0.384,0.155,5.60,31,3.62,3.81,0.30,0.310,4.90,0.00,0.00,18.47,3.36
Wei-Yin Chen,$4.2K,L,MIA,SP,TBR,,,,,-1700,1,7.5,114,3.56, ,1,0.241,0.341,0.141,2.20,8,0.357,0.485,0.213,4.70,21,4.21,5.32,0.18,0.344,4.40,0.00,0.00,12.91,3.07
Ryan Borucki,$4.3K,L,TOR,SP,DET,,,,,-1300,-1,9.5,-133,5.04,-0.21,0,0.355,0.500,0.167,1.50,9,0.351,0.412,0.177,3.00,1,6.00,6.53,0.00,0.351,3.00,0.00,0.00,11.88,2.76
Alex Wood,$8.2K,L,LAD,SP,PIT,,,,,-100,3,8.0,-200,4.72,0.49,4,0.256,0.320,0.084,2.50,5,0.286,0.388,0.162,6.70,42,3.33,3.37,0.21,0.273,4.90,0.00,0.00,20.28,2.47
Nathan Eovaldi,$7.3K,R,TBR,SP,@ MIA,,,,,1000,-5,7.5,-129,3.94, ,4,0.290,0.400,0.186,2.60,5,0.256,0.444,0.280,5.10,6,3.07,3.93,0.36,0.271,4.00,0.00,0.00,15.72,2.15
Brent Suter,$7.3K,L,MIL,SP,MIN,,,,,100,1,8.0,-130,4.22,-0.37,3,0.276,0.353,0.143,1.70,6,0.316,0.428,0.162,6.20,37,3.74,4.19,0.22,0.303,4.70,0.00,0.00,15.14,2.07
Robbie Ray,$10.0K,L,ARI,SP,STL,,,,,600,1,8.0,-138,4.28, ,2,0.269,0.353,0.153,3.40,7,0.295,0.360,0.159,10.20,33,2.55,3.51,0.24,0.289,8.70,0.00,0.00,20.28,2.03
Corey Kluber,$12.9K,R,CLE,SP,@ KCR,,,,,1700, ,8.5,-241,5.31,-0.15,5,0.260,0.347,0.146,5.40,4,0.241,0.335,0.138,6.50,43,2.23,2.66,0.26,0.252,5.90,0.00,0.00,25.22,1.96
Mike Fiers,$6.2K,R,DET,SP,@ TOR,,,,,-600,3,9.5,119,4.46,0.21,3,0.346,0.470,0.215,4.00,6,0.354,0.484,0.211,4.50,42,3.87,4.76,0.25,0.351,4.30,0.00,0.00,12.05,1.94
Max Scherzer,$13.3K,R,WAS,SP,BOS,,,,,1600, ,7.5,-174,4.27,0.27,6,0.292,0.385,0.181,5.70,3,0.194,0.240,0.099,7.70,45,1.86,3.18,0.16,0.259,6.40,0.00,0.00,25.35,1.91
James Shields,$5.5K,R,CHW,SP,@ CIN,,,,,-700,-1,9.0,169,3.75,-0.29,6,0.339,0.449,0.214,3.40,3,0.313,0.420,0.177,3.90,39,4.31,5.26,0.19,0.330,3.50,0.00,0.00,10.36,1.88
Kyle Gibson,$7.5K,R,MIN,SP,@ MIL,,,,,-200,3,8.0,116,3.78,-0.13,4,0.335,0.417,0.137,3.70,5,0.331,0.433,0.178,4.40,43,4.30,4.21,0.24,0.333,4.10,0.00,0.00,13.82,1.84
Carlos Martinez,$8.0K,R,STL,SP,@ ARI,,,,,600, ,8.0,122,3.72, ,5,0.325,0.390,0.144,4.40,4,0.277,0.346,0.137,5.40,43,3.68,3.97,0.22,0.304,4.90,0.00,0.00,14.6,1.83
Nick Kingham,$7.2K,R,PIT,SP,@ LAD,,,,,-700,7,8.0,175,3.28,0.01,5,0.290,0.397,0.163,2.90,4,0.246,0.338,0.155,6.30,6,2.94,4.15,0.13,0.270,4.40,0.00,0.00,12.85,1.78
Rick Porcello,$9.3K,R,BOS,SP,@ WAS,,,,,200,1,7.5,154,3.23,0.23,5,0.345,0.488,0.217,4.20,4,0.319,0.424,0.155,4.40,49,3.54,4.28,0.20,0.333,4.30,0.00,0.00,14.91,1.6
Anibal Sanchez,$7.8K,R,ATL,SP,@ NYY,,,,,1000,-3,9.5,168,3.98,0.05,4,0.347,0.478,0.212,5.10,5,0.365,0.517,0.222,4.90,35,3.44,4.33,0.26,0.357,5.00,0.00,0.00,11.84,1.52
Jakob Junis,$7.1K,R,KCR,SP,CLE,,,,,-300,6,8.5,224,3.19,0.15,7,0.334,0.443,0.177,3.80,2,0.329,0.466,0.218,5.20,33,3.66,4.61,0.21,0.333,4.10,0.00,0.00,10.61,1.49
Jonathan Loaisiga,$8.7K,R,NYY,SP,ATL,,,,,2000,-10,9.5,-186,5.52,-0.05,5,0.240,0.200,0.050,7.40,4,0.270,0.241,0.000,4.70,3,3.74,2.81,0.00,0.253,6.20,0.00,0.00,12.03,1.38
Madison Bumgarner,$11.2K,L,SFG,SP,@ COL,,,,,3100,-3,11.5,-107,5.85,0.69,3,0.218,0.245,0.064,1.30,6,0.307,0.450,0.212,6.70,22,3.31,4.14,0.21,0.277,4.90,0.00,0.00,14.74,1.32
Kyle Freeland,$8.3K,L,COL,SP,SFG,,,,,1500,-6,11.5,-107,5.65,0.81,4,0.303,0.397,0.136,2.70,5,0.333,0.423,0.156,4.20,47,4.56,4.53,0.19,0.320,3.50,0.00,0.00,10.23,1.23
