Name,Salary,Hand,Team,Position,Opp,Order,Pitcher,PHND,PLTN?,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,,,Total,Movement,AB,AVG,wOBA,ISO,OBP,SLG,OPS,K%,BB%,BABIP,Points,Pt/$/K
Jason Heyward,$3.2K,L,CHC,OF,@ STL,6,Carlos Martinez,R,, , ,5.00%,1.124,500,6,,,3.67,-0.24,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.62,1.76
Willson Contreras,$3.4K,R,CHC,C/OF,@ STL,7,Carlos Martinez,R, , , ,10.00%,0.594,500,0,,,3.67,-0.24,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.94,1.75
Stephen Piscotty,$3.8K,R,STL,OF,CHC,6,Jon Lester,L,, , ,14.00%,0.471,700,0,,,3.33,-0.26,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.6,1.74
Brad Miller,$3.6K,L,TBR,SS,NYY,4,Masahiro Tanaka,R,, , ,24.00%,0.259,500,2,,,3.19,-0.27,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.22,1.73
Kris Bryant,$4.8K,R,CHC,3B/OF,@ STL,2,Carlos Martinez,R, , , ,38.00%,0.217,400,0,,,3.67,-0.24,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,8.25,1.72
Denard Span,$4.0K,L,SFG,OF,@ ARI,1,Zack Greinke,R,, , ,34.00%,0.202,1200,-6,,,4.62,0.4,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.88,1.72
Kyle Schwarber,$4.3K,L,CHC,C/OF,@ STL,1,Carlos Martinez,R,, , ,27.00%,0.274,900,0,,,3.67,-0.24,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7.39,1.72
Kevin Kiermaier,$3.4K,L,TBR,OF,NYY,2,Masahiro Tanaka,R,, , ,12.00%,0.483,400,9,,,3.19,-0.27,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.8,1.71
Logan Morrison,$3.2K,L,TBR,1B,NYY,6,Masahiro Tanaka,R,, , ,10.00%,0.545,900,2,,,3.19,-0.27,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.45,1.7
Derek Norris,$2.8K,R,TBR,C,NYY,9,Masahiro Tanaka,R, , , ,4.00%,1.185,400,0,,,3.19,-0.27,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,4.74,1.69
Anthony Rizzo,$4.9K,L,CHC,1B,@ STL,3,Carlos Martinez,R,, , ,20.00%,0.413,800,-1,,,3.67,-0.24,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,8.26,1.69
Ben Zobrist,$4.0K,S,CHC,2B/OF,@ STL,4,Carlos Martinez,R,, , ,36.00%,0.186,900,0,,,3.67,-0.24,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.69,1.67
Buster Posey,$4.4K,R,SFG,1B/C,@ ARI,4,Zack Greinke,R, , , ,38.00%,0.193,1100,1,,,4.62,0.4,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7.32,1.66
Addison Russell,$3.5K,R,CHC,2B/SS,@ STL,5,Carlos Martinez,R, , , ,18.00%,0.323,800,1,,,3.67,-0.24,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.81,1.66
Chase Headley,$3.0K,S,NYY,3B,@ TBR,7,Chris Archer,R,, , ,12.00%,0.411,500,0,,,3.31,-0.23,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,4.93,1.64
Starlin Castro,$3.3K,R,NYY,2B/SS,@ TBR,6,Chris Archer,R, , , ,16.00%,0.338,800,1,,,3.31,-0.23,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.41,1.64
Matt Holliday,$3.8K,R,NYY,1B/OF,@ TBR,4,Chris Archer,R, , , ,14.00%,0.439,800,1,,,3.31,-0.23,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.15,1.62
Tim Beckham,$2.9K,R,TBR,2B/SS,NYY,7,Masahiro Tanaka,R, , , , , ,800,2,,,3.19,-0.27,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,4.63,1.6
Aledmys Diaz,$3.8K,R,STL,SS,CHC,2,Jon Lester,L,, , ,12.00%,0.506,600,0,,,3.33,-0.26,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.07,1.6
Hunter Pence,$4.3K,R,SFG,OF,@ ARI,3,Zack Greinke,R, , , ,25.00%,0.275,1800,-15,,,4.62,0.4,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.87,1.6
Jhonny Peralta,$3.1K,R,STL,3B/SS,CHC,4,Jon Lester,L,, , ,8.00%,0.616,300,3,,,3.33,-0.26,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,4.93,1.59
Paul Goldschmidt,$4.6K,R,ARI,1B,SFG,3,Madison Bumgarner,L,, , ,18.00%,0.406,300,1,,,3.88,0.1,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,7.3,1.59
Evan Longoria,$4.0K,R,TBR,3B,NYY,3,Masahiro Tanaka,R, , , ,20.00%,0.314,800,1,,,3.19,-0.27,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.27,1.57
Yasmany Tomas,$3.5K,R,ARI,OF,SFG,5,Madison Bumgarner,L,, , ,12.00%,0.451,600,3,,,3.88,0.1,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.41,1.55
Dexter Fowler,$4.1K,S,STL,OF,CHC,1,Jon Lester,L,, , ,12.00%,0.525,700,0,,,3.33,-0.26,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,6.3,1.54
Joe Panik,$3.9K,L,SFG,2B,@ ARI,8,Zack Greinke,R,, , ,16.00%,0.371,1400,-3,,,4.62,0.4,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.94,1.52
Steve Souza,$3.5K,R,TBR,OF,NYY,5,Masahiro Tanaka,R, , , ,9.00%,0.588,800,-2,,,3.19,-0.27,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.29,1.51
Chris Owings,$3.3K,R,ARI,OF/SS,SFG,2,Madison Bumgarner,L,, , ,7.00%,0.710,900,12,,,3.88,0.1,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,4.97,1.51
Matt Carpenter,$4.0K,L,STL,1B/3B,CHC,3,Jon Lester,L, , , ,15.00%,0.397,900,4,,,3.33,-0.26,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.96,1.49
Javier Baez,$3.7K,R,CHC,2B/3B,@ STL,9,Carlos Martinez,R, , , ,10.00%,0.553,1100,-1,,,3.67,-0.24,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.53,1.49
Jedd Gyorko,$3.4K,R,STL,2B/3B,CHC,7,Jon Lester,L,, , , , ,800,0,,,3.33,-0.26,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,4.95,1.46
Brandon Drury,$3.3K,R,ARI,2B/OF,SFG,6,Madison Bumgarner,L,, , , , ,800,1,,,3.88,0.1,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,4.68,1.42
Yadier Molina,$3.3K,R,STL,C,CHC,5,Jon Lester,L,, , ,10.00%,0.466,700,0,,,3.33,-0.26,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,4.66,1.41
Eduardo Nunez,$4.1K,R,SFG,3B/SS,@ ARI,6,Zack Greinke,R, , , ,10.00%,0.574,1400,-2,,,4.62,0.4,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,5.74,1.4
Randal Grichuk,$3.6K,R,STL,OF,CHC,8,Jon Lester,L,, , ,6.00%,0.828,900,-4,,,3.33,-0.26,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,4.97,1.38
Aaron Judge,$3.5K,R,NYY,OF,@ TBR,8,Chris Archer,R, , , ,5.00%,0.950,1200,-7,,,3.31,-0.23,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,4.75,1.36
Jarrett Parker,$3.4K,L,SFG,OF,@ ARI,7,Zack Greinke,R,, , ,8.00%,0.569,1400,-4,,,4.62,0.4,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,4.55,1.34
Mallex Smith,$3.7K,L,TBR,OF,NYY,8,Masahiro Tanaka,R,, , ,2.00%,2.230,1700,-12,,,3.19,-0.27,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,4.46,1.21
David Peralta,$3.5K,L,ARI,OF,SFG,7,Madison Bumgarner,L, , , ,16.00%,0.256,800,-2,,,3.88,0.1,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,4.09,1.17
Jake Lamb,$3.7K,L,ARI,3B,SFG,4,Madison Bumgarner,L, , , ,17.00%,0.229,800,1,,,3.88,0.1,0,0.000,0,0,0.000,0.000,0.000,0.00,0.00,0.000,3.9,1.05
