Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Chase Anderson,$5.5K,R,MIL,SP,@ SFG, , ,12.50%,1.208,-1800,6,7.0,110,3.37,-0.08,5,0.365,,0.000,11.20,4,0.293,,0.000,2.20,1,3.01,1.66,0.00,0.333,7.20,0.00,0.00,15.1,2.75,5,0.378,,0.166,6.90,4,0.349,,0.143,3.00,2,3.70,2.30,0.33,0.365,5.20,0.00,0.00,5,0.276,,0.078,5.50,4,0.321,,0.166,2.80,5,3.63,2.25,0.20,0.296,4.30,0.00,0.00,5,0.321,,0.140,4.20,4,0.296,,0.193,3.70,13,4.02,4.10,0.26,0.310,4.00,0.00,0.00,5,0.285,,0.125,4.00,4,0.308,,0.185,4.10,44,3.76,4.48,0.19,0.295,4.10,0.00,0.00
Anthony DeSclafani,$5.3K,R,CIN,SP,PHI, , ,10.00%,1.427,-600,-2,9.0,106,4.36,-0.48,4,0.906,,1.000,2.20,5,0.142,,0.000,11.00,1,2.89,2.47,0.40,0.482,7.10,0.00,0.00,14.27,2.69,4,0.865,,1.077,2.50,5,0.242,,0.000,8.80,2,3.43,3.16,0.40,0.519,6.00,0.00,0.00,4,0.522,,0.585,2.30,5,0.275,,0.077,5.60,4,3.90,2.81,0.40,0.385,4.10,0.00,0.00,4,0.404,,0.398,3.20,5,0.319,,0.129,4.50,9,3.89,3.79,0.32,0.357,3.90,0.00,0.00,4,0.404,,0.398,3.20,5,0.319,,0.129,4.50,9,3.89,3.79,0.32,0.357,3.90,0.00,0.00
Luis Perdomo,$4.2K,R,SDP,SP,ARI, , ,7.50%,1.352,-1800,3,7.5,163,3.17,-0.05,3,0.383,,0.285,3.00,6,0.145,,0.000,4.40,1,3.65,2.53,0.20,0.224,3.90,0.00,0.00,10.14,2.41,3,0.526,,0.458,2.60,6,0.177,,0.050,7.10,2,3.37,2.22,0.38,0.293,5.60,0.00,0.00,3,0.415,,0.283,2.30,6,0.291,,0.100,3.10,4,5.07,3.62,0.20,0.332,2.90,0.00,0.00,3,0.415,,0.283,2.30,6,0.291,,0.100,3.10,4,5.07,3.62,0.20,0.332,2.90,0.00,0.00,3,0.376,,0.152,2.60,6,0.335,,0.142,4.30,36,4.94,4.37,0.21,0.349,3.70,0.00,0.00
Madison Bumgarner,$9.3K,L,SFG,SP,MIL, , ,2.00%,11.010, ,1,7.0,-121,3.63,-0.42,1,0.344,,0.000,2.20,8,0.347,,0.083,9.00,1,6.00,5.91,0.00,0.347,8.20,0.00,0.00,22.02,2.37,1,0.275,,0.000,2.70,8,0.303,,0.129,6.30,2,4.99,4.46,0.20,0.300,5.90,0.00,0.00,1,0.161,,0.000,3.00,8,0.344,,0.114,6.00,4,4.47,3.58,0.18,0.324,5.60,0.00,0.00,1,0.179,,0.031,2.00,8,0.314,,0.161,5.80,9,4.19,4.20,0.16,0.299,5.30,0.00,0.00,1,0.217,,0.058,1.50,8,0.316,,0.196,6.60,26,3.57,4.18,0.21,0.305,6.00,0.00,0.00
Ivan Nova,$5.9K,R,PIT,SP,NYM, , ,2.00%,6.880,-1500,5,9.0,-133,4.8,-0.29,5,0.188,,0.000,1.40,4,0.278,,0.071,1.40,1,5.83,3.46,0.00,0.228,1.40,0.00,0.00,13.76,2.33,5,0.211,,0.000,2.40,4,0.320,,0.074,1.60,2,5.02,2.81,0.00,0.259,2.10,0.00,0.00,5,0.467,,0.447,2.00,4,0.362,,0.182,3.30,4,4.44,2.67,0.32,0.420,2.60,0.00,0.00,5,0.369,,0.228,2.70,4,0.323,,0.225,3.40,12,4.18,3.88,0.24,0.349,3.00,0.00,0.00,5,0.363,,0.211,2.20,4,0.314,,0.180,4.20,49,4.11,4.15,0.23,0.341,3.10,0.00,0.00
Luke Weaver,$6.4K,R,STL,SP,CHC, , ,15.00%,0.975,-200,-3,9.0,-127,4.72,0.39,7,0.474,,0.153,4.50,2,0.586,,0.000,0.00,1,7.35,7.36,0.00,0.499,3.50,0.00,0.00,14.62,2.28,7,0.474,,0.153,4.50,2,0.586,,0.000,0.00,1,7.35,7.36,0.00,0.499,3.50,0.00,0.00,7,0.370,,0.178,5.30,2,0.227,,0.133,3.20,4,3.91,3.40,0.20,0.338,4.80,0.00,0.00,7,0.382,,0.218,4.20,2,0.271,,0.105,3.80,14,3.98,4.08,0.23,0.357,4.10,0.00,0.00,7,0.332,,0.149,4.20,2,0.302,,0.137,5.20,32,3.61,3.80,0.21,0.325,4.40,0.00,0.00
Jason Vargas,$4.1K,L,NYM,SP,@ PIT, , ,5.00%,1.868,-1400, ,9.0,125,4.2,0.29,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,9.34,2.28,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,1,0.370,,0.133,1.60,8,0.376,,0.241,5.90,7,4.07,5.12,0.25,0.375,5.40,0.00,0.00,1,0.378,,0.195,1.20,8,0.344,,0.196,6.00,39,4.24,5.12,0.23,0.348,5.50,0.00,0.00
Zack Greinke,$10.7K,R,ARI,SP,@ SDP, , ,17.50%,1.366,-300,2,7.5,-182,4.33,0.05,4,0.000,,0.000,6.80,5,0.212,,0.188,7.90,1,-0.06,0.28,0.20,0.118,7.40,0.00,0.00,23.9,2.23,4,0.033,,0.000,6.50,5,0.255,,0.160,5.30,2,1.24,0.74,0.11,0.156,5.90,0.00,0.00,4,0.193,,0.022,5.20,5,0.273,,0.100,4.80,4,2.61,1.87,0.06,0.237,5.00,0.00,0.00,4,0.240,,0.076,3.80,5,0.313,,0.187,5.40,15,3.02,3.46,0.17,0.281,4.70,0.00,0.00,4,0.292,,0.131,4.50,5,0.296,,0.186,5.30,52,2.98,3.46,0.21,0.294,4.90,0.00,0.00
Yovani Gallardo,$4.3K,R,TEX,SP,@ HOU, , ,0.50%, ,-1500, ,8.5,222,3.17,-0.15,3,0.257,,0.067,1.50,6,0.220,,0.000,0.00,1,7.28,4.74,0.00,0.232,0.50,0.00,0.00,9.41,2.19,3,0.257,,0.067,1.50,6,0.220,,0.000,0.00,1,7.28,4.74,0.00,0.232,0.50,0.00,0.00,3,0.306,,0.146,3.10,6,0.322,,0.154,1.60,4,5.34,3.28,0.07,0.317,2.10,0.00,0.00,3,0.320,,0.185,3.00,6,0.359,,0.170,2.20,6,5.09,4.08,0.18,0.346,2.40,0.00,0.00,3,0.349,,0.190,3.20,6,0.373,,0.211,3.00,37,4.87,5.25,0.27,0.365,3.10,0.00,0.00
Chris Archer,$9.5K,R,TBR,SP,@ BAL, , ,7.50%,2.743,500,-1,8.0,-161,4.46,-0.11,1,0.126,,0.000,7.50,8,0.363,,0.100,12.00,1,1.04,-0.47,0.00,0.337,11.50,0.00,0.00,20.57,2.17,1,0.272,,0.137,9.80,8,0.340,,0.084,8.00,2,0.87,0.07,0.17,0.332,8.20,0.00,0.00,1,0.299,,0.133,8.90,8,0.366,,0.062,6.80,3,2.15,1.04,0.14,0.359,7.00,0.00,0.00,1,0.268,,0.103,4.00,8,0.323,,0.110,6.00,9,3.20,3.42,0.13,0.317,5.80,0.00,0.00,1,0.339,,0.173,4.90,8,0.299,,0.143,6.00,49,2.90,3.50,0.20,0.303,5.90,0.00,0.00
