Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Edward Lively,$4.9K,R,PHI,SP,@ NYM, , ,1.00%,14.590,-1900,1,8.5,236,3.11,0.03,4,0.344,,0.155,2.51,5,0.362,,0.212,4.11,5,5.39,5.72,0.11,0.354,3.40,0.37,0.30,14.59,2.98
Parker Bridwell,$4.7K,R,LAA,SP,SEA, , ,0.25%, ,-1700,3,9.0,113,4.31,-0.13,4,0.389,,0.273,3.52,5,0.362,,0.240,7.50,6,4.68,7.86,0.29,0.374,5.73,0.31,0.31,13.24,2.82
Mike Leake,$5.3K,R,STL,SP,WAS,11,12.86,3.00%,4.927,-2300,7,9.0,-116,4.62,-0.27,5,0.322,,0.164,6.47,4,0.304,,0.125,7.11,46,3.66,4.40,0.15,0.314,6.75,0.43,0.21,14.78,2.79
Johnny Cueto,$7.8K,R,SFG,SP,@ PIT,7,10.14,7.50%,2.807,-1500,6,8.5,108,4.12,0.22,4,0.309,,0.159,8.59,5,0.289,,0.131,8.28,49,3.32,4.09,0.16,0.298,8.42,0.42,0.23,21.05,2.7
Edinson Volquez,$6.0K,R,MIA,SP,@ MIL, , ,1.00%,15.690,-1500,0,9.5,-110,4.69, ,4,0.368,,0.156,7.24,5,0.328,,0.144,7.62,49,4.39,5.17,0.15,0.346,7.45,0.41,0.23,15.69,2.62
Mike Pelfrey,$4.8K,R,CHW,SP,TEX, , ,0.25%, ,-1200,-1,10.0,120,4.71,0.05,4,0.410,,0.202,5.57,5,0.346,,0.127,4.98,37,4.73,5.80,0.20,0.374,5.24,0.44,0.19,12.38,2.58
Austin Bibens-Dirkx,$5.6K,R,TEX,SP,@ CHW, , ,0.25%, ,-1700,0,10.0,-130,5.29,0.45,4,0.262,,0.108,2.70,5,0.264,,0.150,7.17,9,4.66,6.02,0.19,0.263,5.18,0.34,0.32,14.35,2.56
Clayton Richard,$5.5K,L,SDP,SP,LAD, , ,1.00%,14.060,-1700,-1,7.5,192,3,-0.06,2,0.301,,0.030,8.21,7,0.381,,0.165,5.69,42,3.97,4.86,0.17,0.363,6.25,0.49,0.16,14.06,2.56
Sonny Gray,$8.4K,R,OAK,SP,ATL,5,5.43,20.00%,1.060,100,-3,8.5,-168,4.83,0.07,5,0.326,,0.153,7.29,4,0.363,,0.211,8.44,32,3.73,4.99,0.22,0.342,7.80,0.46,0.19,21.19,2.52
Ariel Miranda,$5.5K,L,SEA,SP,@ LAA, , , , ,-2600,8,9.0,-123,4.69,0.13,1,0.299,,0.123,7.33,8,0.303,,0.217,7.03,28,4.59,6.01,0.21,0.303,7.06,0.26,0.32,13.87,2.52
Matt Garza,$5.4K,R,MIL,SP,MIA, , ,1.00%,13.540,-1700,0,9.5,100,4.81, ,5,0.348,,0.155,5.93,4,0.317,,0.157,8.21,30,4.27,5.03,0.18,0.334,6.94,0.38,0.21,13.54,2.51
Tanner Roark,$6.5K,R,WAS,SP,@ STL, , ,3.00%,5.417,-1500,3,9.0,106,4.38,-0.23,2,0.330,,0.134,7.06,7,0.293,,0.100,8.48,51,3.97,4.71,0.15,0.301,8.16,0.40,0.22,16.25,2.5
Mike Montgomery,$6.8K,L,CHC,SP,@ CIN, , ,3.00%,5.600,-500,-5,9.5,113,4.95,0.35,2,0.252,,0.080,8.15,7,0.314,,0.111,9.11,75,3.63,4.26,0.13,0.300,8.90,0.47,0.16,16.8,2.47
Lance McCullers,$8.8K,R,HOU,SP,NYY,2,2.43,25.00%,0.854,-700,3,8.0,-170,4.56,0.02,5,0.328,,0.114,12.43,4,0.303,,0.138,10.93,29,2.93,3.55,0.14,0.317,11.76,0.45,0.20,21.35,2.43
Scott Feldman,$6.3K,R,CIN,SP,CHC, , ,2.00%,7.625,-800,-5,9.5,-123,4.55,0.15,5,0.375,,0.181,7.16,4,0.308,,0.150,7.40,56,3.98,4.97,0.17,0.345,7.27,0.40,0.23,15.25,2.42
Robbie Ray,$10.3K,L,ARI,SP,COL,4,4.29,15.00%,1.587,700,0,9.0,-150,4.96,0.11,2,0.287,,0.102,13.01,7,0.336,,0.185,11.78,46,3.20,4.36,0.20,0.325,12.05,0.36,0.26,23.8,2.31
Jon Gray,$6.7K,R,COL,SP,@ ARI,12,13.71,7.50%,2.019,-1000,0,9.0,140,4.04,-0.11,6,0.303,,0.158,9.84,3,0.315,,0.125,10.21,32,3.40,4.35,0.19,0.307,9.96,0.39,0.20,15.14,2.26
Alex Wood,$11.7K,L,LAD,SP,@ SDP,3,2.71,30.00%,0.872,1200,0,7.5,-207,4.5,0.06,3,0.286,,0.078,9.00,6,0.277,,0.089,10.43,27,2.83,3.30,0.12,0.280,9.95,0.46,0.17,26.15,2.24
Doug Fister,$5.0K,R,BOS,SP,@ TOR, , ,1.00%,11.110,-1100,-3,9.0,110,4.34,-0.24,4,0.419,,0.251,5.53,5,0.265,,0.095,6.65,32,4.59,5.45,0.14,0.333,6.15,0.38,0.28,11.11,2.22
Michael Pineda,$8.2K,R,NYY,SP,@ HOU,13,14.00,7.50%,2.424,-200,1,8.0,160,3.44,-0.02,4,0.346,,0.218,11.18,5,0.333,,0.200,10.04,49,3.06,4.84,0.24,0.339,10.55,0.40,0.27,18.18,2.22
Marco Estrada,$7.1K,R,TOR,SP,BOS,9,12.57,5.00%,3.124,-700,-1,9.0,-120,4.66,-0.76,4,0.277,,0.166,9.08,5,0.318,,0.185,9.24,48,3.82,4.71,0.15,0.300,9.17,0.29,0.33,15.62,2.2
Jacob deGrom,$12.5K,R,NYM,SP,PHI,1,2.14,30.00%,0.915,400,0,8.5,-258,5.39,0.47,5,0.310,,0.131,9.71,4,0.313,,0.152,10.69,38,3.26,4.25,0.19,0.311,10.15,0.39,0.23,27.45,2.2
Jacob Faria,$8.3K,R,TBR,SP,@ BAL,6,7.86,12.50%,1.432,-100,0,11.0,-127,5.79,0.25,1,0.317,,0.000,12.00,8,0.256,,0.118,10.80,4,2.80,3.35,0.13,0.263,10.93,0.36,0.22,17.9,2.16
Ervin Santana,$9.3K,R,MIN,SP,@ KCR, , ,5.00%,3.996,500,-2,8.5,115,4.05,0.11,3,0.275,,0.101,6.12,6,0.305,,0.168,8.61,46,4.08,4.79,0.15,0.295,7.78,0.36,0.27,19.98,2.15
Chris Tillman,$4.9K,R,BAL,SP,TBR, , ,1.00%,10.470,-1500,0,11.0,117,5.21,0.25,3,0.363,,0.187,8.86,6,0.346,,0.196,7.04,41,4.53,5.54,0.17,0.352,7.65,0.34,0.27,10.47,2.14
Michael Foltynewicz,$7.4K,R,ATL,SP,@ OAK,10,12.71,3.00%,5.120,-200,-4,8.5,158,3.67,-0.07,5,0.398,,0.233,7.95,4,0.318,,0.163,8.32,37,3.96,5.14,0.17,0.362,8.11,0.30,0.29,15.36,2.08
Jason Vargas,$9.0K,L,KCR,SP,MIN, , ,5.00%,3.590,300,-2,8.5,-125,4.45,0.39,4,0.367,,0.210,3.86,5,0.269,,0.092,9.00,18,3.99,4.10,0.10,0.313,6.72,0.30,0.28,17.95,1.99
Gerrit Cole,$9.5K,R,PIT,SP,SFG,8,11.14,3.00%,5.617,600,-2,8.5,-118,4.38,0.28,4,0.373,,0.210,9.53,5,0.293,,0.106,6.73,37,3.78,4.60,0.16,0.329,7.97,0.40,0.22,16.85,1.77
