Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Nick Martinez,$4.0K,R,TEX,SP,KCR, , ,0.25%, ,-1500,-2,9.0,103,4.41,0.01,4,0.382,,0.180,3.86,5,0.357,,0.158,3.93,11,5.93,7.08,0.15,0.368,3.90,0.37,0.27,10.49,2.62
Lance Lynn,$6.0K,R,STL,SP,@ MIL, , ,27.50%,0.567,-1400,5,9.0,-105,4.44,0.09,3,0.358,,0.167,3.00,6,0.240,,0.129,9.35,3,4.46,5.89,0.17,0.279,7.23,0.30,0.34,15.58,2.6
Ian Kennedy,$7.5K,R,KCR,SP,@ TEX, , ,7.50%,2.565,-400,3,9.0,-113,4.59,0.49,5,0.313,,0.177,9.19,4,0.315,,0.168,9.61,36,4.04,5.26,0.16,0.314,9.38,0.28,0.35,19.24,2.57
Antonio Senzatela,$4.1K,R,COL,SP,SFG, , ,1.00%,10.240,-2400,3,10.5,-102,5.31,-0.27,5,0.408,,0.191,11.57,4,0.236,,0.200,5.91,3,3.77,3.80,0.06,0.332,9.05,0.42,0.29,10.24,2.5
Chase Anderson,$5.7K,R,MIL,SP,STL, , ,7.50%,1.845,-2000,13,9.0,-105,4.56,0.41,3,0.323,,0.208,7.20,6,0.379,,0.236,7.95,34,4.24,5.60,0.18,0.360,7.70,0.34,0.31,13.84,2.43
Jayson Aquino,$4.0K,L,BAL,SP,BOS, , ,2.00%,4.815,-1800,2,9.0,-109,4.56,-0.03,3,0.148,,0.000,10.80,6,0.000,,0.000,13.50,1,2.30,1.23,0.00,0.049,12.60,0.00,0.20,9.63,2.41
Steven Wright,$6.2K,R,BOS,SP,@ BAL, , ,7.50%,1.949,-1900,11,9.0,-101,4.44,0.03,1,0.323,,0.170,6.84,8,0.327,,0.143,8.66,27,4.13,4.78,0.12,0.327,8.46,0.37,0.29,14.62,2.36
Jameson Taillon,$9.2K,R,PIT,SP,NYY, , , , ,800,-1,7.0,104,3.42,-0.12,4,0.315,,0.108,7.02,5,0.297,,0.170,8.90,21,3.38,4.35,0.17,0.305,8.06,0.46,0.22,20.61,2.24
Jerad Eickhoff,$8.3K,R,PHI,SP,ATL, , ,10.00%,1.828,0,1,7.5,-120,3.89,-0.26,4,0.365,,0.249,7.53,5,0.277,,0.159,8.69,35,3.73,4.96,0.18,0.316,8.17,0.34,0.29,18.28,2.2
Matt Boyd,$6.1K,L,DET,SP,@ MIN, , , , ,-600,0,9.0,-104,4.44,0.01,2,0.274,,0.141,5.49,7,0.327,,0.175,8.45,24,4.24,5.34,0.19,0.315,7.79,0.29,0.27,13.32,2.18
