Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Rick Porcello,$6.5K,R,BOS,SP,@ TBR, , , , ,-1800,15,9.0,-115,4.61,0.17,5,0.308,,0.155,8.50,4,0.327,,0.182,8.17,52,3.52,4.41,0.14,0.316,8.35,0.34,0.31,19.47,3
Jake Arrieta,$8.4K,R,CHC,SP,PIT,5,6.80,32.50%,0.708,-1300,3,8.0,-182,4.65,4.65,4,0.291,,0.147,9.32,5,0.265,,0.123,9.21,51,3.46,4.36,0.16,0.277,9.26,0.42,0.23,23.01,2.74
Julio Teheran,$6.7K,R,ATL,SP,@ WAS, , , , ,-1000,5,8.5,218,3.22,-0.2,6,0.370,,0.257,6.21,3,0.275,,0.128,9.25,47,3.95,5.06,0.16,0.338,7.22,0.33,0.31,18.32,2.73
Jeff Samardzija,$9.4K,R,SFG,SP,MIA,2,3.40,35.00%,0.711,400,0,8.0,-150,4.4,-0.31,5,0.336,,0.199,8.78,4,0.295,,0.149,8.49,50,3.39,4.37,0.17,0.318,8.65,0.38,0.26,24.87,2.65
Ivan Nova,$6.6K,R,PIT,SP,@ CHC, , ,7.50%,2.327,-800,3,8.0,172,3.35,3.35,5,0.352,,0.210,5.04,4,0.305,,0.163,7.60,48,3.72,4.78,0.17,0.331,6.18,0.44,0.23,17.45,2.64
Jesse Chavez,$5.5K,R,LAA,SP,@ TEX, , ,1.00%,14.460,-1200,2,10.5,132,4.81,-0.2,4,0.352,,0.193,7.14,5,0.357,,0.237,8.03,77,4.00,5.67,0.20,0.355,7.63,0.35,0.30,14.46,2.63
Brandon McCarthy,$6.9K,R,LAD,SP,KCR,8,9.20,22.50%,0.801,-600,1,9.0,-180,5.21, ,3,0.281,,0.080,9.14,6,0.278,,0.095,9.21,24,3.96,4.11,0.10,0.279,9.19,0.38,0.21,18.02,2.61
Taijuan Walker,$7.0K,R,ARI,SP,CIN,6,7.80,7.50%,2.385,-1300,10,9.5,-127,5,-0.4,5,0.298,,0.205,9.22,4,0.334,,0.164,7.83,37,3.83,5.10,0.18,0.314,8.60,0.35,0.28,17.89,2.56
Justin Verlander,$8.3K,R,DET,SP,@ CLE, , ,15.00%,1.331,-300,0,9.5,136,4.31,0.07,7,0.263,,0.150,10.62,2,0.302,,0.146,8.83,52,3.54,4.44,0.15,0.272,10.22,0.27,0.32,19.97,2.41
Zack Wheeler,$6.4K,R,NYM,SP,@ STL,12,13.40, , ,-1500,12,9.5,122,4.45,0.11,1,0.391,,0.274,10.64,8,0.323,,0.108,7.07,14,4.07,5.46,0.21,0.331,7.47,0.35,0.25,15.37,2.4
Adam Wainwright,$7.6K,R,STL,SP,NYM, , , , ,-600,3,9.5,-132,5.05,-0.11,5,0.337,,0.151,7.78,4,0.334,,0.156,8.19,51,3.91,4.58,0.15,0.336,7.96,0.36,0.23,17.97,2.36
