Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Dinelson Lamet,$7.0K,R,SDP,SP,ATL,2,3.67,17.50%,1.167,-1100,3,8.0,-133,4.26,0.06,5,0.524,,0.511,14.40,4,0.215,,0.152,13.78,6,3.06,5.71,0.23,0.387,14.12,0.21,0.46,20.42,2.92
Kyle Gibson,$4.6K,R,MIN,SP,@ BOS, , ,1.00%,12.500,-1400,0,10.0,179,4.12,-0.05,4,0.384,,0.180,6.06,5,0.354,,0.168,7.26,38,4.64,5.78,0.18,0.367,6.73,0.38,0.24,12.5,2.72
Jaime Garcia,$6.7K,L,ATL,SP,@ SDP,9,10.33,15.00%,1.203,-1000,3,8.0,123,3.74,-0.56,2,0.307,,0.150,9.00,7,0.332,,0.185,7.82,45,3.73,5.20,0.22,0.326,8.08,0.48,0.21,18.05,2.69
Joseph Ross,$7.2K,R,WAS,SP,CHC, , , , ,-600,1,9.5,-111,4.82,0.19,5,0.386,,0.176,8.27,4,0.308,,0.154,8.72,30,3.65,4.69,0.19,0.351,8.47,0.35,0.23,18.9,2.63
Clayton Kershaw,$13.3K,L,LAD,SP,@ LAA,1,2.17,50.00%,0.697,800,0,7.5,-245,4.7,-0.13,1,0.247,,0.132,10.30,8,0.237,,0.108,10.66,42,2.39,3.13,0.16,0.238,10.62,0.39,0.24,34.83,2.62
Daniel Gossett,$5.4K,R,OAK,SP,@ HOU, , , , ,-1200,0,9.0,197,3.56,-1.19,3,0.161,,0.000,6.00,6,0.331,,0.317,6.75,3,3.58,5.09,0.33,0.274,6.50,0.36,0.16,14.15,2.62
Jameson Taillon,$7.5K,R,PIT,SP,TBR,7,7.67,12.00%,1.536,-800,1,8.0,106,3.89,-0.05,3,0.306,,0.093,6.79,6,0.323,,0.181,9.32,27,3.43,4.43,0.18,0.317,8.48,0.45,0.21,18.43,2.46
Corey Kluber,$12.6K,R,CLE,SP,TEX,3,3.83, , ,1400,0,9.5,-257,6.02,0.09,4,0.294,,0.118,10.47,5,0.265,,0.142,10.96,47,2.95,3.69,0.14,0.278,10.74,0.38,0.26,30.34,2.41
Seth Lugo,$6.6K,R,NYM,SP,@ MIA, , ,7.50%,2.055,-1000,3,9.5,130,4.37,0.13,5,0.305,,0.137,5.72,4,0.291,,0.135,7.27,20,4.43,5.06,0.13,0.299,6.41,0.36,0.28,15.41,2.33
Michael Fulmer,$9.4K,R,DET,SP,KCR,10,10.67, , ,-200,1,9.5,-166,5.38,-0.05,4,0.258,,0.081,7.62,5,0.294,,0.134,7.86,40,3.70,4.15,0.12,0.278,7.75,0.43,0.22,21.52,2.29
David Price,$7.7K,L,BOS,SP,MIN,8,8.33,20.00%,0.873,-1400,3,10.0,-191,5.88,0.05,2,0.322,,0.162,7.36,7,0.332,,0.187,9.97,42,3.49,4.61,0.16,0.330,9.39,0.34,0.29,17.45,2.27
Jose Urena,$6.8K,R,MIA,SP,NYM, , ,2.00%,7.675,-500,-3,9.5,-140,5.13,0.37,4,0.326,,0.157,4.78,5,0.338,,0.190,7.77,42,4.67,5.59,0.15,0.333,6.44,0.37,0.27,15.35,2.26
Homer Bailey,$4.4K,R,CIN,SP,MIL,11,11.50,4.00%,2.478,-1600,1,10.0,-110,5.06,0.12,2,0.466,,0.098,10.57,7,0.367,,0.094,10.93,7,3.65,3.84,0.13,0.389,10.85,0.27,0.19,9.91,2.25
