Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Jake Arrieta,$6.9K,R,PHI,SP,ATL, , ,10.00%,1.856,-900,2,8.5,-120,4.39,-0.09,6,0.262,,0.000,0.00,3,0.506,,0.125,3.00,1,6.96,0.00,0.00,0.343,1.00,0.00,0.00,18.56,2.69,6,0.341,,0.040,9.00,3,0.236,,0.046,9.00,1,5.07,0.00,0.00,0.306,9.00,0.00,0.00,6,0.305,,0.122,2.30,3,0.261,,0.076,3.30,4,5.35,0.00,0.06,0.290,2.70,0.00,0.00,6,0.264,,0.084,3.50,3,0.255,,0.096,3.50,7,4.79,0.00,0.08,0.261,3.50,0.00,0.00,6,0.338,,0.205,4.70,3,0.261,,0.120,4.90,36,3.72,0.00,0.19,0.312,4.80,0.00,0.00
Jacob deGrom,$9.8K,R,NYM,SP,MIA,2,2,50.00%,0.520,-600,2,7.0,-239,4.33,0.2,3,0.283,,0.111,9.00,6,0.110,,0.000,7.70,1,-0.15,0.00,0.00,0.168,8.10,0.00,0.00,26.01,2.65,3,0.309,,0.105,7.90,6,0.143,,0.000,9.00,2,1.21,0.00,0.00,0.198,8.60,0.00,0.00,3,0.269,,0.050,7.10,6,0.157,,0.000,6.60,4,1.80,0.00,0.00,0.194,6.80,0.00,0.00,3,0.257,,0.112,6.70,6,0.217,,0.011,7.30,8,2.20,0.00,0.14,0.230,7.10,0.00,0.00,3,0.289,,0.134,5.00,6,0.269,,0.134,6.40,39,2.65,0.00,0.23,0.276,5.90,0.00,0.00
Chris Archer,$6.9K,R,TBR,SP,BOS,4,4.25,22.50%,0.806,-1500,8,7.5,116,3.54,-0.06,3,0.115,,0.000,1.40,6,0.228,,0.000,5.80,1,5.01,0.00,0.00,0.190,4.40,0.00,0.00,18.13,2.63,3,0.138,,0.059,1.40,6,0.372,,0.294,4.80,2,4.66,0.00,0.30,0.294,3.60,0.00,0.00,3,0.231,,0.041,2.90,6,0.338,,0.205,5.20,5,3.45,0.00,0.14,0.302,4.40,0.00,0.00,3,0.359,,0.199,2.90,6,0.295,,0.169,6.90,9,3.44,0.00,0.20,0.316,5.50,0.00,0.00,3,0.331,,0.175,5.00,6,0.289,,0.156,6.20,42,2.84,0.00,0.21,0.303,5.80,0.00,0.00
Alex Cobb,$4.6K,R,BAL,SP,@ CHW, , ,5.00%,2.348,-1500,3,9.5,-122,4.92,-0.06,4,0.245,,0.000,4.40,5,0.530,,0.389,0.00,1,4.52,0.00,0.50,0.403,2.00,0.00,0.00,11.74,2.55,4,0.427,,0.316,8.80,5,0.422,,0.334,3.00,1,4.07,0.00,0.60,0.424,5.60,0.00,0.00,4,0.464,,0.302,2.80,5,0.328,,0.205,3.20,4,5.01,0.00,0.29,0.388,3.10,0.00,0.00,4,0.500,,0.292,2.50,5,0.379,,0.262,3.50,6,4.90,0.00,0.28,0.433,3.00,0.00,0.00,4,0.331,,0.180,3.10,5,0.324,,0.171,3.40,35,4.32,0.00,0.22,0.327,3.30,0.00,0.00
Brent Suter,$5.6K,L,MIL,SP,ARI,9,9.75,0.00%, ,-200,-3,8.5,-111,4.32,-0.03,2,0.351,,0.285,1.70,7,0.188,,0.000,8.70,1,3.51,0.00,0.00,0.224,7.10,0.00,0.00,14.07,2.51,2,0.252,,0.143,1.80,7,0.406,,0.345,5.30,2,4.02,0.00,0.29,0.372,4.50,0.00,0.00,2,0.242,,0.083,0.80,7,0.373,,0.285,6.30,5,3.83,0.00,0.40,0.344,5.10,0.00,0.00,2,0.262,,0.123,1.10,7,0.362,,0.228,6.70,9,3.82,0.00,0.25,0.340,5.50,0.00,0.00,2,0.245,,0.102,1.60,7,0.336,,0.170,6.20,30,3.93,0.00,0.23,0.316,5.20,0.00,0.00
Michael Fulmer,$6.1K,R,DET,SP,@ MIN, , ,0.00%, ,-1500,6,8.5,143,3.77,0.07,6,0.272,,0.000,1.50,3,0.143,,0.000,8.80,1,2.91,0.00,0.00,0.229,3.90,0.00,0.00,14.9,2.44,6,0.310,,0.177,5.90,3,0.276,,0.131,11.80,1,3.57,0.00,0.22,0.299,7.90,0.00,0.00,6,0.290,,0.177,5.00,3,0.275,,0.076,7.70,4,3.30,0.00,0.21,0.285,5.90,0.00,0.00,6,0.347,,0.233,4.80,3,0.266,,0.050,5.70,7,3.94,0.00,0.19,0.320,5.10,0.00,0.00,6,0.305,,0.137,3.50,3,0.267,,0.097,3.60,32,4.19,0.00,0.15,0.292,3.50,0.00,0.00
Homer Bailey,$4.0K,R,CIN,SP,PIT, , ,0.50%, ,-1500,1,9.5,103,4.64,-0.02,5,0.364,,0.169,2.10,4,0.541,,0.084,4.30,1,5.19,0.00,0.00,0.443,3.10,0.00,0.00,9.61,2.4,5,0.389,,0.265,2.90,4,0.512,,0.105,2.90,2,4.96,0.00,0.11,0.444,2.90,0.00,0.00,5,0.485,,0.428,3.10,4,0.427,,0.233,1.20,5,5.05,0.00,0.30,0.459,2.20,0.00,0.00,5,0.386,,0.322,2.80,4,0.344,,0.189,3.40,9,4.51,0.00,0.23,0.367,3.00,0.00,0.00,5,0.362,,0.216,3.00,4,0.374,,0.192,3.80,26,4.62,0.00,0.22,0.367,3.40,0.00,0.00
Justin Verlander,$12.0K,R,HOU,SP,SFG,1,1,0.00%, ,300, ,7.5,-310,4.94,0.19,3,0.154,,0.125,5.00,6,0.168,,0.000,2.00,1,3.28,0.00,0.00,0.163,3.00,0.00,0.00,28.13,2.34,1,0.000,,0.000,3.50,8,0.270,,0.167,21.20,1,2.89,0.00,0.29,0.240,19.20,0.00,0.00,1,0.356,,0.363,2.70,8,0.344,,0.200,12.70,3,3.72,0.00,0.31,0.345,11.60,0.00,0.00,1,0.247,,0.129,1.10,8,0.318,,0.168,9.10,8,3.86,0.00,0.17,0.310,8.20,0.00,0.00,1,0.233,,0.050,1.50,8,0.302,,0.161,8.80,21,3.54,0.00,0.15,0.294,8.00,0.00,0.00
Adam Plutko,$4.5K,R,CLE,SP,@ CHC, , ,0.25%, ,-1700,5,8.5,156,3.66,3.66,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,10.44,2.32,3,0.219,,0.130,9.00,6,0.148,,0.000,5.00,1,2.78,0.00,0.00,0.172,6.30,0.00,0.00,3,0.203,,0.085,6.60,6,0.169,,0.076,6.60,4,1.73,0.00,0.03,0.180,6.60,0.00,0.00,3,0.177,,0.067,7.50,6,0.216,,0.119,6.00,8,1.98,0.00,0.07,0.203,6.50,0.00,0.00,3,0.283,,0.163,6.20,6,0.246,,0.111,5.50,40,2.87,0.00,0.15,0.258,5.70,0.00,0.00
Jon Lester,$8.5K,L,CHC,SP,CLE, , ,7.50%,2.601,400,-3,8.5,-174,4.84,4.84,2,0.125,,0.000,3.00,7,0.206,,0.250,9.00,1,1.40,0.00,0.33,0.188,7.70,0.00,0.00,19.51,2.3,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,2,0.163,,0.000,2.20,7,0.324,,0.228,6.00,5,3.98,0.00,0.18,0.288,5.20,0.00,0.00,2,0.228,,0.045,1.70,7,0.310,,0.174,6.30,9,4.00,0.00,0.14,0.292,5.30,0.00,0.00,2,0.230,,0.100,2.90,7,0.328,,0.178,6.50,40,3.67,0.00,0.20,0.306,5.70,0.00,0.00
