Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Joseph Biagini,$4.8K,R,TOR,SP,TEX,6,6.00,22.50%,0.713,-1300,-1,9.0,-164,5.08,0.1,5,0.310,,0.102,10.27,4,0.279,,0.102,6.79,81,3.49,3.57,0.08,0.296,8.72,0.44,0.19,16.04,3.34
Lance McCullers,$10.1K,R,HOU,SP,BAL,4,4.80,40.00%,0.759,700,0,8.5,-220,5.18,0.03,3,0.357,,0.132,11.96,6,0.304,,0.137,10.83,25,3.10,3.75,0.15,0.322,11.21,0.44,0.21,30.36,3.01
Kyle Gibson,$4.6K,R,MIN,SP,TBR, , ,2.00%,6.575,-900,-1,9.5,-105,4.81,0.37,5,0.382,,0.177,6.54,4,0.353,,0.172,7.11,32,4.61,5.82,0.19,0.369,6.79,0.38,0.23,13.15,2.86
Jordan Zimmermann,$4.9K,R,DET,SP,@ CHW, , ,1.00%,13.960,-2700,10,9.5,-120,4.58,-0.11,4,0.344,,0.208,5.94,5,0.378,,0.212,5.87,28,4.69,5.81,0.17,0.363,5.90,0.32,0.30,13.96,2.85
Rick Porcello,$8.2K,R,BOS,SP,SEA,10,10.60,15.00%,1.451,-800,1,9.5,-190,5.57,-0.17,4,0.299,,0.140,8.80,5,0.311,,0.168,8.37,44,3.43,4.26,0.13,0.306,8.56,0.34,0.31,21.76,2.65
Clayton Kershaw,$13.0K,L,LAD,SP,CHC,2,4.40, , ,300,0,6.5,-157,3.62,0.37,3,0.226,,0.116,10.53,6,0.223,,0.088,10.26,36,2.38,2.78,0.11,0.224,10.35,0.40,0.24,33.88,2.61
Zach Eflin,$4.5K,R,PHI,SP,CIN, , ,0.50%, ,-1800,4,9.0,110,4.34, ,3,0.412,,0.309,3.92,6,0.321,,0.154,5.04,18,4.91,6.15,0.18,0.351,4.67,0.32,0.29,11.46,2.55
Matt Shoemaker,$9.4K,R,LAA,SP,@ MIA,11,11.80,10.00%,2.380,-100,3,8.5,-109,4.3,-0.11,4,0.291,,0.149,8.25,5,0.326,,0.166,9.62,36,3.60,4.49,0.14,0.310,9.01,0.32,0.30,23.8,2.53
Joseph Ross,$7.8K,R,WAS,SP,SDP,3,4.60,25.00%,0.776,300,-7,8.0,-143,4.35,-0.73,3,0.388,,0.172,8.65,6,0.285,,0.139,8.43,24,3.67,4.61,0.18,0.319,8.50,0.36,0.22,19.41,2.49
Jon Lester,$11.2K,L,CHC,SP,@ LAD,1,4.00, , ,600,0,6.5,147,2.88,-0.37,3,0.224,,0.088,9.51,6,0.288,,0.140,8.90,46,3.28,3.98,0.16,0.267,9.10,0.39,0.22,27.61,2.47
Michael Pineda,$9.9K,R,NYY,SP,OAK,5,5.20,32.50%,0.747,800,0,8.5,-163,4.79,-0.01,4,0.344,,0.216,11.48,5,0.335,,0.216,10.47,43,2.95,4.74,0.23,0.339,10.92,0.38,0.28,24.29,2.45
Andrew Triggs,$7.3K,R,OAK,SP,@ NYY, , ,2.00%,8.865,-500,-1,8.5,153,3.71,0.01,3,0.266,,0.139,9.57,6,0.305,,0.112,8.47,33,3.47,3.94,0.13,0.292,8.84,0.39,0.20,17.73,2.43
Jimmy Nelson,$6.4K,R,MIL,SP,ARI,7,9.00,7.50%,2.036,-1600,6,9.0,-125,4.71,0.1,6,0.343,,0.180,7.43,3,0.351,,0.145,8.10,42,4.33,5.57,0.18,0.346,7.65,0.42,0.24,15.27,2.39
