Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Matt Boyd,$4.7K,L,DET,SP,@ CLE, , ,0.25%, ,-800,2,9.0,194,3.59,0.18,1,0.262,,0.147,5.59,8,0.329,,0.182,8.52,23,4.23,5.41,0.19,0.322,8.19,0.28,0.28,13.21,2.81
Trevor Cahill,$4.5K,R,SDP,SP,@ ATL, , ,0.25%, ,-1000,3,8.0,120,3.76,-0.09,4,0.305,,0.116,7.29,5,0.277,,0.110,10.76,48,3.89,5.12,0.22,0.289,9.22,0.45,0.19,11.92,2.65
Drew Pomeranz,$7.9K,L,BOS,SP,TBR,7,10.60,27.50%,0.743,100,0,9.5,-155,5.28,0.41,3,0.289,,0.085,9.40,6,0.312,,0.189,11.04,34,3.42,4.42,0.17,0.304,10.49,0.37,0.29,20.42,2.58
Wily Peralta,$5.3K,R,MIL,SP,@ CIN, , ,2.00%,6.730,-1100,1,9.0,-101,4.44, ,5,0.373,,0.200,6.22,4,0.355,,0.170,8.59,25,4.07,5.30,0.21,0.365,7.27,0.41,0.20,13.46,2.54
Gio Gonzalez,$8.0K,L,WAS,SP,PHI,3,6.80,22.50%,0.900,-1300,6,8.5,-162,4.78,0.28,1,0.286,,0.086,7.46,8,0.323,,0.140,10.58,34,3.54,4.42,0.15,0.319,10.23,0.37,0.24,20.25,2.53
Matt Harvey,$7.8K,R,NYM,SP,@ MIA,11,16.40,15.00%,1.261,-900,8,8.0,-115,4.1,-0.15,4,0.362,,0.185,8.48,5,0.326,,0.158,7.23,19,3.87,4.35,0.13,0.342,7.79,0.36,0.25,18.92,2.43
Carlos Carrasco,$8.8K,R,CLE,SP,DET,1,2.80,40.00%,0.529,-1100,3,9.0,-210,5.41,0.32,4,0.348,,0.246,9.78,5,0.296,,0.170,9.60,27,3.08,4.38,0.19,0.319,9.68,0.38,0.27,21.18,2.41
Adam Wainwright,$6.8K,R,STL,SP,@ NYY, , ,0.00%, ,-700,4,8.0,133,3.65,-0.29,5,0.357,,0.166,7.79,4,0.322,,0.149,7.84,36,3.99,4.58,0.14,0.341,7.81,0.35,0.24,16.16,2.38
Jameson Taillon,$7.7K,R,PIT,SP,@ CHC,19,19.60,2.50%,7.264,300,-2,8.5,153,3.71,3.71,5,0.304,,0.109,7.20,4,0.308,,0.175,8.72,20,3.34,4.41,0.18,0.306,7.88,0.46,0.22,18.16,2.36
Antonio Senzatela,$5.5K,R,COL,SP,@ SFG,20,19.80,0.00%, ,0,-1,7.5,117,3.55,0.01,4,0.321,,0.000,19.29,5,0.292,,0.273,7.11,2,3.61,4.31,0.10,0.305,12.52,0.42,0.32,12.72,2.31
