Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Wade LeBlanc,$4.4K,L,SEA,SP,TEX, , ,17.50%,0.861,-2100,5,7.5,-141,4.04,-0.7,4,0.418,,0.250,3.00,5,0.141,,0.000,3.00,1,4.50,0.00,0.00,0.264,3.00,0.00,0.00,15.07,3.43,4,0.367,,0.200,1.60,5,0.266,,0.114,5.70,2,3.98,0.00,0.13,0.311,3.90,0.00,0.00,4,0.276,,0.100,1.30,5,0.230,,0.090,7.20,4,3.69,0.00,0.09,0.250,4.60,0.00,0.00,4,0.309,,0.147,1.40,5,0.265,,0.110,7.00,9,3.67,0.00,0.10,0.285,4.50,0.00,0.00,4,0.340,,0.188,1.90,5,0.274,,0.148,6.20,58,3.80,0.00,0.17,0.303,4.30,0.00,0.00
Shane Bieber,$4.2K,R,CLE,SP,@ MIN, , ,15.00%,0.898,-1800,4,9.5,-124,4.94,0.22,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,13.47,3.21,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00
Mike Minor,$4.4K,L,TEX,SP,@ SEA, , ,4.00%,3.522,-2500,7,7.5,127,3.46,-0.3,3,0.476,,0.500,0.00,6,0.328,,0.250,6.00,1,3.73,0.00,0.29,0.377,4.00,0.00,0.00,14.09,3.2,3,0.476,,0.500,0.00,6,0.316,,0.195,10.60,2,2.12,0.00,0.33,0.369,7.10,0.00,0.00,3,0.292,,0.236,0.70,6,0.394,,0.273,8.00,5,3.38,0.00,0.31,0.360,5.50,0.00,0.00,3,0.278,,0.226,1.20,6,0.371,,0.258,7.20,10,3.37,0.00,0.21,0.340,5.20,0.00,0.00,3,0.209,,0.079,3.40,6,0.329,,0.213,7.10,71,2.95,0.00,0.15,0.289,5.80,0.00,0.00
Wei-Yin Chen,$4.7K,L,MIA,SP,@ SDP, , ,5.00%,2.410,-1500,1,7.5,116,3.54,0.06,1,0.205,,0.166,3.80,8,0.177,,0.163,3.80,1,3.17,0.00,0.17,0.180,3.80,0.00,0.00,12.05,2.56,1,0.276,,0.071,3.70,8,0.176,,0.098,4.40,2,3.19,0.00,0.08,0.187,4.30,0.00,0.00,1,0.295,,0.208,3.50,8,0.372,,0.298,3.10,5,4.97,0.00,0.19,0.363,3.10,0.00,0.00,1,0.312,,0.276,3.20,8,0.363,,0.271,3.20,6,4.94,0.00,0.19,0.357,3.20,0.00,0.00,1,0.258,,0.156,2.20,8,0.319,,0.218,4.40,15,4.27,0.00,0.17,0.312,4.20,0.00,0.00
Jose Quintana,$8.1K,L,CHC,SP,@ NYM, , ,30.00%,0.686,-200,3,8.0,-163,4.49,0.1,4,0.495,,0.750,4.40,5,0.351,,0.200,8.80,1,2.28,0.00,0.20,0.415,6.80,0.00,0.00,20.59,2.54,4,0.168,,0.176,4.90,5,0.301,,0.130,5.70,2,3.14,0.00,0.09,0.242,5.30,0.00,0.00,4,0.209,,0.103,3.40,5,0.391,,0.246,8.50,4,3.90,0.00,0.23,0.310,6.30,0.00,0.00,4,0.244,,0.128,2.90,5,0.360,,0.217,6.80,9,4.02,0.00,0.20,0.308,5.10,0.00,0.00,4,0.241,,0.108,2.50,5,0.323,,0.181,8.20,40,3.37,0.00,0.21,0.287,5.70,0.00,0.00
Andrew Heaney,$7.0K,L,LAA,SP,@ DET, , ,0.00%, ,-900,2,10.0,-183,5.79,0.03,0,0.146,,0.000,0.00,9,0.267,,0.062,7.40,1,4.46,0.00,0.00,0.267,7.40,0.00,0.00,16.77,2.4,0,0.097,,0.000,0.70,9,0.292,,0.118,8.20,2,4.37,0.00,0.20,0.292,8.20,0.00,0.00,0,0.198,,0.045,2.10,9,0.267,,0.103,7.20,4,3.64,0.00,0.07,0.267,7.20,0.00,0.00,0,0.258,,0.057,1.80,9,0.296,,0.156,8.20,8,3.23,0.00,0.13,0.296,8.20,0.00,0.00,0,0.282,,0.076,1.60,9,0.358,,0.284,8.80,13,3.21,0.00,0.33,0.358,8.80,0.00,0.00
Jordan Lyles,$6.6K,R,SDP,SP,MIA, , ,7.50%,1.873,-500, ,7.5,-131,3.96,-0.06,4,0.348,,0.000,2.10,5,0.587,,0.583,6.40,1,5.38,0.00,0.40,0.481,4.50,0.00,0.00,14.05,2.13,4,0.284,,0.136,2.90,5,0.591,,0.524,4.80,2,5.20,0.00,0.25,0.455,3.90,0.00,0.00,4,0.184,,0.076,4.60,5,0.425,,0.311,5.40,4,3.28,0.00,0.24,0.318,5.10,0.00,0.00,4,0.263,,0.130,3.70,5,0.312,,0.195,5.50,16,3.63,0.00,0.18,0.290,4.70,0.00,0.00,4,0.363,,0.204,3.30,5,0.355,,0.227,5.20,53,4.00,0.00,0.27,0.359,4.30,0.00,0.00
Sean Newcomb,$8.5K,L,ATL,SP,WAS, , ,12.50%,1.446,-300,4,8.5,-116,4.36,-0.01,2,0.607,,0.500,3.00,7,0.419,,0.000,9.00,1,5.52,0.00,0.00,0.461,7.70,0.00,0.00,18.08,2.13,2,0.545,,0.400,1.00,7,0.282,,0.031,7.00,2,4.97,0.00,0.00,0.340,5.70,0.00,0.00,2,0.545,,0.400,0.40,7,0.225,,0.029,7.70,4,4.62,0.00,0.00,0.296,6.10,0.00,0.00,2,0.333,,0.290,1.50,7,0.260,,0.058,8.20,10,3.83,0.00,0.09,0.276,6.70,0.00,0.00,2,0.329,,0.168,2.50,7,0.307,,0.129,7.70,28,3.85,0.00,0.13,0.312,6.50,0.00,0.00
Drew Pomeranz,$6.2K,L,BOS,SP,@ HOU, , ,5.00%,2.638,-100,-2,8.5,167,3.58,-0.06,1,0.675,,0.400,0.00,8,0.368,,0.333,8.70,1,4.84,0.00,0.33,0.402,7.70,0.00,0.00,13.19,2.13,1,0.662,,0.429,0.00,8,0.377,,0.200,6.30,2,5.25,0.00,0.17,0.409,5.60,0.00,0.00,1,0.397,,0.230,1.10,8,0.385,,0.222,7.90,4,4.55,0.00,0.20,0.386,7.10,0.00,0.00,1,0.326,,0.111,1.10,8,0.404,,0.259,7.80,7,4.20,0.00,0.19,0.395,7.00,0.00,0.00,1,0.336,,0.111,2.40,8,0.326,,0.171,7.20,38,3.78,0.00,0.21,0.327,6.60,0.00,0.00
Daniel Mengden,$7.0K,R,OAK,SP,TBR, , ,0.00%, ,-1100,3,7.5,-138,4.02,-0.28,3,0.080,,0.000,2.00,6,0.000,,0.000,3.00,1,3.85,0.00,0.00,0.027,2.70,0.00,0.00,14.63,2.09,3,0.103,,0.000,2.20,6,0.041,,0.000,1.70,2,4.28,0.00,0.00,0.062,1.90,0.00,0.00,3,0.186,,0.138,2.20,6,0.237,,0.145,3.00,5,3.92,0.00,0.14,0.220,2.70,0.00,0.00,3,0.199,,0.105,2.20,6,0.315,,0.183,3.80,11,3.85,0.00,0.13,0.276,3.20,0.00,0.00,3,0.242,,0.136,3.30,6,0.289,,0.160,3.60,16,3.90,0.00,0.15,0.273,3.50,0.00,0.00
Ryne Stanek,$4.6K,R,TBR,SP,@ OAK, , ,0.00%, ,-900,-2,7.5,124,3.48,-0.22,4,0.000,,0.000,0.00,5,0.192,,0.122,11.20,2,3.55,0.00,0.00,0.107,6.20,0.00,0.00,9.12,1.98,4,0.314,,0.000,2.60,5,0.341,,0.324,7.70,5,4.24,0.00,0.50,0.329,5.40,0.00,0.00,4,0.206,,0.000,6.30,5,0.324,,0.342,11.10,7,2.88,0.00,0.33,0.272,8.90,0.00,0.00,4,0.206,,0.000,6.30,5,0.324,,0.342,11.10,7,2.88,0.00,0.33,0.272,8.90,0.00,0.00,4,0.255,,0.023,7.40,5,0.451,,0.430,10.00,26,2.86,0.00,0.33,0.364,8.80,0.00,0.00
Lance McCullers,$11.0K,R,HOU,SP,BOS, , ,12.50%,1.695,2000,1,8.5,-184,4.92,-0.44,7,0.365,,0.438,4.40,2,0.818,,0.800,0.00,1,5.13,0.00,0.60,0.466,3.40,0.00,0.00,21.19,1.93,7,0.220,,0.206,6.50,2,0.478,,0.445,1.60,2,3.56,0.00,0.38,0.277,5.40,0.00,0.00,7,0.263,,0.166,4.30,2,0.286,,0.093,3.10,5,4.35,0.00,0.21,0.268,4.10,0.00,0.00,7,0.269,,0.153,5.60,2,0.304,,0.113,4.20,11,3.62,0.00,0.23,0.277,5.30,0.00,0.00,7,0.258,,0.099,5.50,2,0.319,,0.141,5.50,32,3.69,0.00,0.20,0.272,5.50,0.00,0.00
Aaron Nola,$12.2K,R,PHI,SP,@ LAD, , ,25.00%,0.901,2700, ,6.5,144,2.88,0.02,6,0.107,,0.000,11.60,3,0.143,,0.000,2.90,1,2.87,0.00,0.00,0.119,8.70,0.00,0.00,22.52,1.85,6,0.248,,0.050,5.90,3,0.212,,0.125,5.90,2,2.67,0.00,0.17,0.236,5.90,0.00,0.00,6,0.281,,0.022,5.40,3,0.245,,0.141,6.10,4,2.62,0.00,0.18,0.269,5.60,0.00,0.00,6,0.260,,0.030,3.50,3,0.219,,0.112,6.20,10,3.41,0.00,0.12,0.246,4.40,0.00,0.00,6,0.299,,0.121,4.00,3,0.257,,0.122,5.80,37,3.28,0.00,0.17,0.285,4.60,0.00,0.00
