Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Drew Pomeranz,$7.2K,L,BOS,SP,TOR,7,10.71,17.50%,1.121,-1200,1,9.5,-130,5.03,-0.03,1,0.316,,0.121,10.80,8,0.314,,0.174,10.61,51,3.43,4.44,0.18,0.314,10.63,0.36,0.27,19.62,2.73
Jose Berrios,$6.7K,R,MIN,SP,NYY,11,13.29, , ,-2300,15,9.5,-102,4.69, ,3,0.345,,0.162,8.51,6,0.365,,0.201,8.90,25,4.47,5.96,0.19,0.358,8.77,0.34,0.29,16.81,2.51
Mike Montgomery,$5.7K,L,CHC,SP,@ ATL, , , , ,-1200,1,9.5,-122,4.94,-0.2,2,0.261,,0.087,7.96,7,0.335,,0.133,9.13,79,3.71,4.46,0.15,0.319,8.87,0.46,0.17,14.02,2.46
Dan Straily,$9.2K,R,MIA,SP,PHI,4,6.29, , ,600,-2,8.5,-180,4.92,0.03,6,0.282,,0.150,7.43,3,0.330,,0.219,8.10,53,4.17,5.33,0.17,0.298,7.65,0.29,0.33,22.05,2.4
James Paxton,$7.4K,L,SEA,SP,@ HOU,12,13.57, , ,-1600,8,8.5,-104,4.2,0.06,1,0.275,,0.081,6.97,8,0.315,,0.143,10.38,35,3.27,3.40,0.10,0.311,10.00,0.34,0.24,17.69,2.39
Tim Adleman,$5.2K,R,CIN,SP,ARI, , ,5.00%,2.470,-1600,2,9.5,142,4.25,-0.07,2,0.367,,0.272,6.79,7,0.355,,0.218,8.58,30,4.37,6.37,0.21,0.358,8.18,0.30,0.34,12.35,2.38
Jordan Montgomery,$6.2K,L,NYY,SP,@ MIN,13,14.14, , ,-1200,5,9.5,-108,4.81, ,2,0.277,,0.232,6.00,7,0.313,,0.140,9.21,17,3.84,4.87,0.16,0.305,8.50,0.32,0.32,14.55,2.35
Sonny Gray,$9.6K,R,OAK,SP,TBR,2,3.14, , ,800,-2,8.0,-117,4.12,-0.27,4,0.311,,0.144,7.33,5,0.349,,0.203,8.24,35,3.69,4.85,0.21,0.332,7.84,0.46,0.18,22.25,2.32
R.A. Dickey,$6.5K,R,ATL,SP,CHC, , , , ,-700,2,9.5,112,4.56,0.2,6,0.357,,0.208,5.86,3,0.346,,0.190,7.09,49,4.50,5.72,0.19,0.353,6.27,0.39,0.25,15.06,2.32
Justin Verlander,$7.9K,R,DET,SP,@ KCR,15,14.71,12.50%,1.469,-800,2,10.0,-103,5.06,0.19,4,0.265,,0.153,10.54,5,0.299,,0.146,8.85,54,3.56,4.43,0.15,0.284,9.60,0.28,0.31,18.36,2.32
Charlie Morton,$7.7K,R,HOU,SP,SEA,14,14.57, , ,-800,1,8.5,-106,4.3,-0.06,4,0.278,,0.129,13.37,5,0.373,,0.203,9.16,16,3.39,4.65,0.19,0.331,11.03,0.43,0.23,17.69,2.3
Carlos Rodon,$7.0K,L,CHW,SP,LAD, , ,3.00%,5.373,-500,-2,9.5,171,3.99,-0.12,2,0.281,,0.116,10.22,7,0.337,,0.145,9.43,31,3.68,4.74,0.17,0.325,9.61,0.35,0.26,16.12,2.3
Kenta Maeda,$7.8K,R,LAD,SP,@ CHW,9,11.71,15.00%,1.183,-300,-3,9.5,-181,5.51,0.12,5,0.314,,0.152,8.32,4,0.288,,0.144,10.75,51,3.38,4.39,0.18,0.302,9.40,0.37,0.24,17.74,2.27
Clayton Richard,$4.6K,L,SDP,SP,@ COL, , , , ,-1100,0,11.5,173,4.81,-0.22,2,0.299,,0.037,8.29,7,0.397,,0.175,5.62,45,4.09,5.03,0.17,0.375,6.21,0.48,0.17,10.28,2.23
Martin Perez,$5.3K,L,TEX,SP,@ BAL, , ,2.00%,5.820,-1300,0,10.5,132,4.81,-0.06,1,0.281,,0.096,8.30,8,0.356,,0.148,4.75,50,4.81,5.18,0.13,0.348,5.14,0.37,0.22,11.64,2.2
Jason Hammel,$6.4K,R,KCR,SP,DET, , ,10.00%,1.392,-800,3,10.0,-107,4.94,0.31,4,0.357,,0.191,8.35,5,0.319,,0.166,7.50,47,4.14,5.24,0.16,0.336,7.88,0.31,0.30,13.92,2.18
Alex Meyer,$6.9K,R,LAA,SP,WAS, , , , ,-800,1,9.0,-116,4.62,0.34,5,0.404,,0.258,10.80,4,0.288,,0.120,10.61,19,4.49,5.11,0.13,0.352,10.72,0.32,0.30,14.94,2.17
Gio Gonzalez,$10.7K,L,WAS,SP,@ LAA, , , , ,1600,0,9.0,106,4.38,-0.34,1,0.260,,0.070,7.89,8,0.321,,0.160,10.23,51,3.68,4.57,0.16,0.314,9.97,0.38,0.24,22.73,2.12
Jacob deGrom,$12.6K,R,NYM,SP,STL,1,1.14,47.50%,0.563,1400,1,8.0,-168,4.54,0.06,4,0.306,,0.126,9.73,5,0.305,,0.158,10.84,41,3.14,4.22,0.20,0.305,10.35,0.39,0.23,26.73,2.12
Mike Leake,$6.6K,R,STL,SP,@ NYM, , ,10.00%,1.400,-1000,4,8.0,158,3.46,-0.06,5,0.324,,0.157,6.11,4,0.312,,0.135,7.18,49,3.72,4.54,0.16,0.319,6.59,0.43,0.20,14,2.12
