Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Sonny Gray,$6.9K,R,NYY,SP,@ WAS, , ,0.00%, ,-900,6,9.5,-128,4.99,1.71,10,0.522,,0.295,1.80,8,0.251,,0.000,0.00,1,6.75,0.00,0.33,0.803,2.00,0.00,0.00,18.86,2.73,10,0.389,,0.204,2.80,8,0.116,,0.000,3.50,2,4.69,0.00,0.20,0.535,6.20,0.00,0.00,10,0.313,,0.145,4.00,8,0.333,,0.195,4.90,4,3.69,0.00,0.33,0.644,8.80,0.00,0.00,10,0.311,,0.104,4.20,8,0.354,,0.195,4.30,12,4.31,0.00,0.18,0.660,8.50,0.00,0.00,10,0.297,,0.134,4.20,8,0.313,,0.171,4.70,38,3.98,0.00,0.21,0.608,8.90,0.00,0.00
Zack Greinke,$9.3K,R,ARI,SP,@ LAA, , ,10.00%,2.292,100,2,7.5,103,3.66,-0.4,3,0.350,,0.125,6.40,6,0.455,,0.477,8.60,1,3.27,0.00,0.33,0.420,7.90,0.00,0.00,22.92,2.46,5,0.219,,0.045,10.80,4,0.302,,0.080,7.20,1,4.62,0.00,0.00,0.256,9.20,0.00,0.00,5,0.417,,0.331,5.00,4,0.321,,0.097,5.90,4,4.27,0.00,0.16,0.374,5.40,0.00,0.00,5,0.357,,0.226,4.70,4,0.357,,0.181,4.60,13,3.90,0.00,0.18,0.357,4.60,0.00,0.00,5,0.349,,0.246,3.90,4,0.342,,0.207,4.60,42,3.99,0.00,0.22,0.346,4.20,0.00,0.00
Andrew Suarez,$7.1K,L,SFG,SP,MIA, , ,22.50%,0.763,400,-1,7.0,-155,3.87,-0.19,2,0.000,,0.000,1.80,7,0.321,,0.001,3.60,1,5.23,0.00,0.00,0.250,3.20,0.00,0.00,17.17,2.42,3,0.428,,0.278,3.80,6,0.376,,0.323,7.70,2,3.36,0.00,0.33,0.393,6.40,0.00,0.00,3,0.304,,0.170,3.90,6,0.392,,0.316,6.50,5,2.97,0.00,0.30,0.363,5.70,0.00,0.00,3,0.311,,0.187,3.90,6,0.308,,0.212,6.10,14,2.71,0.00,0.24,0.309,5.40,0.00,0.00,3,0.298,,0.150,4.60,6,0.293,,0.198,5.50,45,2.88,0.00,0.23,0.295,5.20,0.00,0.00
Tyler Anderson,$6.2K,L,COL,SP,NYM, , ,5.00%,2.964, ,-1,9.5,112,4.53,0.01,2,0.440,,0.000,1.30,7,0.252,,0.200,6.40,1,2.77,0.00,0.20,0.294,5.30,0.00,0.00,14.82,2.39,2,0.418,,0.428,1.00,7,0.302,,0.000,6.90,2,4.07,0.00,0.14,0.328,5.60,0.00,0.00,2,0.265,,0.143,2.10,7,0.313,,0.104,5.70,5,3.93,0.00,0.12,0.302,4.90,0.00,0.00,2,0.232,,0.127,2.80,7,0.364,,0.193,6.50,9,3.45,0.00,0.21,0.335,5.70,0.00,0.00,2,0.232,,0.127,2.80,7,0.364,,0.193,6.50,9,3.45,0.00,0.21,0.335,5.70,0.00,0.00
Erick Fedde,$5.9K,R,WAS,SP,NYY, , ,0.00%, ,400,-4,9.5,114,4.51,0.29,5,0.361,,0.334,0.00,13,0.421,,0.327,5.40,1,4.77,0.00,0.40,0.809,7.80,0.00,0.00,13.68,2.32,2,0.462,,0.142,1.30,7,0.207,,0.133,5.80,2,3.30,0.00,0.13,0.264,4.80,0.00,0.00,2,0.477,,0.210,1.10,7,0.283,,0.192,5.00,4,4.34,0.00,0.18,0.326,4.20,0.00,0.00,2,0.400,,0.201,1.90,7,0.313,,0.210,6.80,13,3.87,0.00,0.23,0.332,5.70,0.00,0.00,2,0.363,,0.254,2.40,7,0.336,,0.213,6.80,29,3.69,0.00,0.26,0.342,5.80,0.00,0.00
Bartolo Colon,$5.4K,R,TEX,SP,@ KCR, , ,0.50%, ,-500,3,9.5,-140,5.1,0.42,5,0.865,,0.786,2.90,4,0.459,,0.363,5.80,1,4.39,0.00,1.00,0.685,4.20,0.00,0.00,12.16,2.25,5,0.361,,0.334,0.00,13,0.421,,0.327,5.40,1,4.77,0.00,0.40,0.809,7.80,0.00,0.00,5,0.304,,0.171,4.40,13,0.327,,0.224,3.50,2,3.72,0.00,0.25,0.641,7.50,0.00,0.00,5,0.304,,0.171,4.40,13,0.327,,0.224,3.50,2,3.72,0.00,0.25,0.641,7.50,0.00,0.00,5,0.340,,0.182,5.70,13,0.484,,0.314,2.90,5,4.20,0.00,0.39,0.888,7.30,0.00,0.00
Tyler Chatwood,$6.3K,R,CHC,SP,LAD, , ,2.00%,6.855,600,-5,8.5,110,4.07,4.07,4,0.512,,0.223,3.60,5,0.073,,-0.008,5.40,1,5.34,0.00,0.00,0.268,4.60,0.00,0.00,13.71,2.18,5,0.658,,0.530,1.10,4,0.382,,0.291,3.30,2,5.39,0.00,0.50,0.535,2.10,0.00,0.00,5,0.452,,0.357,2.30,4,0.450,,0.379,3.90,5,4.51,0.00,0.53,0.451,3.00,0.00,0.00,5,0.323,,0.210,2.30,4,0.342,,0.289,3.90,13,4.10,0.00,0.30,0.331,3.00,0.00,0.00,5,0.369,,0.234,2.70,4,0.368,,0.249,3.50,40,4.39,0.00,0.24,0.369,3.00,0.00,0.00
Jhoulys Chacin,$5.9K,R,MIL,SP,@ PIT, , ,5.00%,2.532,-1300,5,8.5,-116,4.34,-0.16,4,0.157,,0.000,9.00,5,0.563,,0.250,1.50,1,3.68,0.00,0.00,0.383,4.80,0.00,0.00,12.66,2.15,4,0.449,,0.095,6.80,5,0.149,,-0.004,3.90,2,5.62,0.00,0.00,0.282,5.20,0.00,0.00,4,0.436,,0.160,5.30,5,0.290,,0.000,3.40,5,6.09,0.00,0.25,0.355,4.20,0.00,0.00,4,0.372,,0.124,4.60,5,0.283,,0.066,5.50,11,5.19,0.00,0.11,0.323,5.10,0.00,0.00,4,0.365,,0.173,4.10,5,0.306,,0.159,4.00,43,4.88,0.00,0.26,0.332,4.00,0.00,0.00
Dylan Covey,$5.5K,R,CHW,SP,@ CLE, , ,5.00%,2.338,-1300,7,8.5,224,3.19,-0.05,6,0.344,,0.000,6.40,3,0.146,,0.000,0.00,1,4.05,0.00,0.00,0.278,4.30,0.00,0.00,11.69,2.13,4,0.261,,0.157,7.40,5,0.313,,0.167,3.00,2,2.72,0.00,0.08,0.290,5.00,0.00,0.00,4,0.283,,0.102,5.70,5,0.218,,0.059,3.20,5,3.42,0.00,0.04,0.247,4.30,0.00,0.00,4,0.328,,0.135,3.20,5,0.249,,0.123,4.60,14,4.10,0.00,0.11,0.284,4.00,0.00,0.00,4,0.337,,0.167,3.10,5,0.263,,0.108,4.80,45,4.12,0.00,0.15,0.296,4.10,0.00,0.00
Nick Pivetta,$7.5K,R,PHI,SP,STL, , ,17.50%,0.891,-300,2,8.5,-101,4.17,-0.01,1,0.332,,0.000,3.60,8,0.522,,0.363,5.40,1,4.41,0.00,0.17,0.501,5.20,0.00,0.00,15.6,2.08,6,0.285,,0.053,7.60,3,0.160,,0.000,0.70,2,3.16,0.00,0.00,0.243,5.30,0.00,0.00,6,0.294,,0.048,6.20,3,0.197,,0.000,3.10,5,3.62,0.00,0.00,0.262,5.20,0.00,0.00,6,0.296,,0.039,5.40,3,0.215,,0.033,3.10,6,3.96,0.00,0.00,0.269,4.60,0.00,0.00,6,0.346,,0.189,4.00,3,0.378,,0.226,2.90,23,4.63,0.00,0.26,0.357,3.60,0.00,0.00
Ryne Stanek,$4.0K,R,TBR,SP,@ HOU, , ,0.50%, ,-1500,1,7.0,229,2.57,-0.08,4,0.000,,0.000,8.70,5,0.208,,0.166,2.90,2,1.53,0.00,0.00,0.116,5.50,0.00,0.00,8.16,2.04,1,0.347,,0.193,4.50,8,0.431,,0.200,5.40,2,3.61,0.00,0.22,0.422,5.30,0.00,0.00,1,0.273,,0.096,5.20,8,0.363,,0.111,4.50,5,3.41,0.00,0.10,0.353,4.60,0.00,0.00,1,0.316,,0.139,4.40,8,0.286,,0.111,5.80,14,3.00,0.00,0.16,0.289,5.70,0.00,0.00,1,0.309,,0.125,4.90,8,0.369,,0.229,5.20,39,3.47,0.00,0.25,0.362,5.20,0.00,0.00
Masahiro Tanaka,$8.4K,R,NYY,SP,@ WAS, , ,10.00%,1.664,-300,2,9.5,-128,4.99,1.71,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,16.64,1.98,4,0.157,,0.000,8.80,5,0.234,,0.077,5.90,5,2.36,0.00,0.00,0.200,7.20,0.00,0.00,4,0.157,,0.000,5.30,5,0.224,,0.108,6.00,11,3.30,0.00,0.00,0.194,5.70,0.00,0.00,4,0.147,,0.000,6.40,5,0.296,,0.235,7.70,14,2.89,0.00,0.18,0.230,7.10,0.00,0.00,4,0.221,,0.017,7.10,5,0.415,,0.363,8.70,33,2.88,0.00,0.28,0.329,8.00,0.00,0.00
Caleb Smith,$9.1K,L,MIA,SP,@ SFG, , ,15.00%,1.163,1500,-3,7.0,140,3.13,-0.31,3,0.195,,0.000,4.40,6,0.416,,0.278,1.50,1,4.70,0.00,0.20,0.342,2.50,0.00,0.00,17.44,1.92,10,0.248,,0.300,10.80,8,0.000,,0.000,3.60,1,0.28,0.00,0.50,0.276,15.20,0.00,0.00,10,0.368,,0.300,4.30,8,0.313,,0.289,6.80,4,2.97,0.00,0.50,0.687,10.80,0.00,0.00,10,0.302,,0.178,3.10,8,0.324,,0.246,6.00,12,3.19,0.00,0.31,0.624,8.90,0.00,0.00,10,0.300,,0.182,4.60,8,0.325,,0.215,6.10,41,3.08,0.00,0.30,0.622,10.60,0.00,0.00
