Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Steven Wright,$6.3K,R,BOS,SP,CHC, , , , ,-1300,9,10.5,104,5.13,0.56,6,0.325,,0.173,6.79,3,0.337,,0.155,8.35,28,4.16,4.92,0.13,0.329,7.31,0.37,0.29,16.6,2.63
Ivan Nova,$8.1K,R,PIT,SP,@ MIA, , ,17.50%,1.086,500,-3,7.5,124,3.5,-0.1,3,0.375,,0.247,5.79,6,0.304,,0.156,8.07,35,3.50,4.67,0.18,0.328,7.31,0.46,0.23,19.01,2.35
Danny Salazar,$9.8K,R,CLE,SP,SEA, , , , ,-300,3,8.0,-165,4.52,-0.67,4,0.328,,0.198,12.20,5,0.322,,0.118,11.44,29,3.44,4.20,0.15,0.325,11.78,0.37,0.26,22.72,2.32
Stephen Strasburg,$11.6K,R,WAS,SP,NYM, , , , ,1000,1,8.0,-180,4.63,0.18,6,0.260,,0.124,11.11,3,0.296,,0.141,11.18,28,2.85,3.47,0.13,0.272,11.13,0.34,0.27,26.08,2.25
Zack Wheeler,$7.5K,R,NYM,SP,@ WAS, , , , ,300,-5,8.0,170,3.37,0.32,3,0.511,,0.423,11.12,6,0.148,,0.025,6.94,4,3.40,4.66,0.19,0.269,8.33,0.38,0.26,16.83,2.24
Brandon McCarthy,$8.9K,R,LAD,SP,PHI, , ,50.00%,0.396,900,-3,8.0,-220,4.87,0.31,7,0.303,,0.044,11.52,2,0.277,,0.124,10.00,15,4.03,4.38,0.12,0.297,11.18,0.36,0.25,19.8,2.22
Francisco Liriano,$8.4K,L,TOR,SP,TBR, , , , ,200,0,8.0,-111,4.06,-0.35,2,0.301,,0.139,10.33,7,0.358,,0.188,9.60,37,3.99,5.31,0.21,0.345,9.76,0.40,0.22,18.46,2.2
Joseph Musgrove,$7.4K,R,HOU,SP,OAK, , ,10.00%,1.578,0,-3,8.5,-160,4.76,0.1,4,0.350,,0.196,7.03,5,0.348,,0.226,7.38,15,3.98,5.22,0.15,0.349,7.22,0.38,0.33,15.78,2.13
Jimmy Nelson,$7.3K,R,MIL,SP,ATL, , ,5.00%,3.084,-400,3,9.0,-114,4.6,-0.14,4,0.349,,0.187,6.88,5,0.344,,0.139,8.20,37,4.41,5.71,0.18,0.346,7.61,0.43,0.24,15.42,2.11
Matt Cain,$7.7K,R,SFG,SP,SDP, , ,1.00%,16.090,-500,3,7.5,-115,3.84,-0.27,4,0.347,,0.169,8.15,5,0.361,,0.238,7.21,25,4.49,5.89,0.20,0.355,7.63,0.33,0.27,16.09,2.09
Matt Andriese,$6.8K,R,TBR,SP,@ TOR, , , , ,0,-3,8.0,101,3.94,-0.15,5,0.312,,0.160,7.17,4,0.332,,0.164,8.68,33,3.69,4.72,0.16,0.321,7.84,0.36,0.30,13.73,2.02
Ubaldo Jimenez,$6.0K,R,BAL,SP,@ NYY, , , , ,-1000,4,9.0,161,3.86,0.2,5,0.383,,0.240,10.69,4,0.327,,0.122,7.00,34,4.50,5.48,0.18,0.358,9.05,0.42,0.24,11.92,1.99
Tyler Anderson,$6.2K,L,COL,SP,@ ARI, , ,7.50%,1.643,-500,1,8.5,126,3.94,-0.21,1,0.307,,0.125,7.03,8,0.347,,0.196,8.74,24,3.59,4.64,0.19,0.343,8.55,0.41,0.22,12.32,1.99
Jaime Garcia,$6.6K,L,ATL,SP,@ MIL, , ,5.00%,2.542,-900,5,9.0,104,4.4,0.14,2,0.291,,0.135,8.15,7,0.348,,0.196,8.18,35,3.74,5.38,0.24,0.335,8.17,0.47,0.21,12.71,1.93
Michael Fulmer,$10.5K,R,DET,SP,CHW, , , , ,1300,-2,8.0,-156,4.45,-0.06,4,0.256,,0.088,7.12,5,0.313,,0.169,8.85,30,3.61,4.43,0.15,0.288,8.08,0.43,0.23,20.05,1.91
Zach Eflin,$5.7K,R,PHI,SP,@ LAD, , ,0.50%, ,-500,0,8.0,203,3.13,0.19,6,0.367,,0.291,3.14,3,0.317,,0.179,5.50,13,5.09,6.01,0.16,0.350,3.93,0.30,0.32,10.91,1.91
Dan Straily,$9.2K,R,MIA,SP,PIT, , ,20.00%,0.873,900,-1,7.5,-134,4,0.1,3,0.294,,0.138,7.31,6,0.327,,0.221,8.51,38,4.32,5.54,0.18,0.316,8.11,0.27,0.32,17.45,1.9
John Lackey,$8.1K,R,CHC,SP,@ BOS, , , , ,-700,4,10.5,-114,5.37,0.44,4,0.326,,0.152,8.45,5,0.276,,0.163,9.49,35,3.49,4.60,0.18,0.298,9.03,0.36,0.26,15.38,1.9
Andrew Triggs,$6.8K,R,OAK,SP,@ HOU, , ,5.00%,2.560,-800,5,8.5,150,3.74,-0.1,3,0.288,,0.136,10.13,6,0.297,,0.128,7.68,28,3.46,3.94,0.13,0.294,8.50,0.42,0.20,12.8,1.88
