Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Michael Wacha,$7.6K,R,STL,SP,@ ATL,3,5.67,15.00%,1.354,-800,7,9.0,-105,4.56,0.15,4,0.326,,0.159,6.67,5,0.355,,0.178,8.47,32,3.88,4.58,0.14,0.342,7.67,0.39,0.25,20.31,2.67
Michael Clevinger,$4.9K,R,CLE,SP,@ KCR, , ,10.00%,1.298,4900,-1,8.5,-114,4.34,0.14,3,0.284,,0.125,10.20,6,0.402,,0.271,8.68,19,4.48,5.48,0.20,0.363,9.19,0.34,0.25,12.98,2.65
Michael Fiers,$7.2K,R,HOU,SP,@ LAA, , , , ,300,-3,8.0,-116,3.89,-0.27,4,0.335,,0.163,6.93,5,0.381,,0.261,8.13,37,3.90,5.71,0.22,0.361,7.60,0.37,0.29,18.7,2.6
Jeremy Hellickson,$7.1K,R,PHI,SP,WAS, , ,5.00%,3.574,-1300,11,8.5,-101,4.2,0.2,3,0.301,,0.158,6.26,6,0.302,,0.187,7.62,38,3.93,4.84,0.17,0.302,7.17,0.38,0.25,17.87,2.52
Dillon Overton,$4.6K,L,SEA,SP,TEX, , , , ,-900,2,8.5,-143,4.62,0.28,2,0.486,,0.406,2.84,7,0.429,,0.314,8.20,11,4.80,8.30,0.23,0.442,7.01,0.30,0.41,11.38,2.47
Matt Shoemaker,$8.4K,R,LAA,SP,HOU,17,16.33, , ,1000,-6,8.0,106,4.11,-0.23,2,0.298,,0.154,7.91,7,0.325,,0.159,9.70,32,3.58,4.51,0.15,0.319,9.30,0.34,0.29,19.22,2.29
Chris Sale,$12.6K,L,BOS,SP,@ MIN,2,4.00,60.00%,0.482,700,0,7.0,-166,3.96,-0.27,1,0.248,,0.131,10.89,8,0.275,,0.142,10.08,38,2.88,3.78,0.14,0.272,10.17,0.33,0.29,28.9,2.29
Luis Severino,$8.3K,R,NYY,SP,@ CHC,5,7.67, , ,100,-1,7.0,118,3.31,3.31,5,0.317,,0.156,8.75,4,0.352,,0.213,10.37,27,3.56,4.99,0.22,0.333,9.47,0.35,0.26,18.8,2.27
Alex Cobb,$7.7K,R,TBR,SP,TOR,1,3.67,27.50%,0.631,500,-5,8.0,-126,4.2,-0.1,3,0.385,,0.153,5.71,6,0.309,,0.121,7.02,12,4.30,5.81,0.24,0.334,6.58,0.39,0.22,17.34,2.25
Johnny Cueto,$10.9K,R,SFG,SP,@ CIN,9,13.33, , ,1700,-2,8.5,-119,4.39,0.09,5,0.289,,0.122,8.44,4,0.282,,0.122,7.89,39,3.30,3.83,0.13,0.286,8.20,0.43,0.22,24.13,2.21
Danny Duffy,$8.4K,L,KCR,SP,CLE,10,13.83,17.50%,1.046,-100,1,8.5,104,4.16,-0.14,2,0.232,,0.069,10.95,7,0.317,,0.165,9.51,46,3.49,4.49,0.14,0.298,9.83,0.30,0.33,18.31,2.18
Tyler Glasnow,$7.4K,R,PIT,SP,MIL,11,14.33,25.00%,0.624,1200,-8,8.0,-107,4.05,-0.45,3,0.365,,0.148,11.05,6,0.380,,0.221,9.59,13,4.55,5.36,0.17,0.375,10.08,0.34,0.21,15.59,2.11
Tanner Roark,$8.7K,R,WAS,SP,@ PHI,6,11.50,10.00%,1.827,400,-3,8.5,-109,4.3,-0.2,6,0.311,,0.121,7.08,3,0.284,,0.095,8.22,41,3.93,4.59,0.14,0.302,7.46,0.41,0.22,18.27,2.1
Sonny Gray,$7.8K,R,OAK,SP,DET, , , , ,0,1,8.5,-132,4.52,0.22,3,0.355,,0.158,6.18,6,0.388,,0.261,7.20,22,4.02,5.62,0.26,0.377,6.86,0.45,0.19,16.1,2.06
Jose Quintana,$9.8K,L,CHW,SP,@ BAL,7,11.83,7.50%,2.676,800,-1,8.5,104,4.16,0.08,2,0.295,,0.128,8.17,7,0.309,,0.179,8.83,38,3.72,4.35,0.14,0.306,8.68,0.34,0.28,20.07,2.05
Jon Lester,$10.3K,L,CHC,SP,NYY,4,6.67, , ,0,1,7.0,-128,3.69,3.69,2,0.228,,0.091,9.34,7,0.290,,0.140,8.69,42,3.36,4.12,0.17,0.276,8.83,0.39,0.23,20.94,2.03
Jose Urena,$5.0K,R,MIA,SP,@ NYM,16,15.83,0.50%, ,-500,0,9.0,105,4.39,0.34,6,0.360,,0.198,4.54,3,0.342,,0.179,8.47,32,4.50,5.42,0.15,0.354,5.85,0.38,0.26,9.95,1.99
Scott Feldman,$6.8K,R,CIN,SP,SFG, , , , ,200,-2,8.5,109,4.11,-0.09,3,0.384,,0.189,7.36,6,0.318,,0.184,7.45,46,4.13,4.99,0.15,0.340,7.42,0.39,0.26,13.34,1.96
Ervin Santana,$9.7K,R,MIN,SP,BOS,13,15.17,7.50%,2.385,300,2,7.0,156,3.04,-0.23,3,0.283,,0.107,7.07,6,0.285,,0.132,8.31,36,3.99,4.36,0.12,0.284,7.90,0.35,0.27,17.89,1.84
R.A. Dickey,$6.9K,R,ATL,SP,STL, , ,4.00%,3.130,-500,6,9.0,-105,4.44,0.35,3,0.376,,0.224,6.05,6,0.341,,0.201,7.07,36,4.49,5.88,0.21,0.353,6.73,0.39,0.26,12.52,1.81
