Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Dylan Bundy,$6.4K,R,BAL,SP,HOU, , ,3.00%,5.610,-1000,9,10.5,123,4.91,0.12,4,0.368,,0.217,6.03,5,0.325,,0.184,9.66,55,4.27,5.65,0.18,0.344,8.05,0.30,0.32,16.83,2.63
Clayton Kershaw,$13.6K,L,LAD,SP,ATL,2,1.67, , ,1100,0,7.5,-386,5.24,0.06,5,0.248,,0.134,10.39,4,0.235,,0.101,10.81,46,2.32,3.00,0.15,0.242,10.58,0.39,0.24,35.55,2.61
Robbie Ray,$9.4K,L,ARI,SP,WAS,3,3.67, , ,-400,3,8.5,104,4.16,0.01,3,0.289,,0.120,12.90,6,0.336,,0.186,12.02,49,3.20,4.44,0.20,0.320,12.31,0.35,0.27,24.01,2.55
Corey Kluber,$12.4K,R,CLE,SP,TOR,1,1.33,52.50%,0.598,1100,0,8.0,-184,4.66,-0.39,4,0.290,,0.116,10.80,5,0.262,,0.143,11.26,51,2.83,3.61,0.15,0.274,11.06,0.38,0.25,31.37,2.53
Caleb Smith,$4.0K,L,NYY,SP,@ SEA, , , , ,-1500,2,9.5,-112,4.67,0.04,3,0.308,,0.143,16.20,6,0.296,,0.000,13.50,1,1.09,0.00,0.00,0.300,14.40,0.44,0.00,9.95,2.49
Matt Boyd,$5.5K,L,DET,SP,@ MIN, , ,4.00%,3.308,-600,1,10.5,101,5.17,-0.14,3,0.289,,0.127,5.60,6,0.360,,0.186,7.81,33,4.37,5.31,0.17,0.336,7.07,0.31,0.26,13.23,2.41
Rafael Montero,$7.2K,R,NYM,SP,OAK,7,8.33,27.50%,0.621,800,-7,9.5,-139,5.12,0.08,5,0.416,,0.122,8.83,4,0.350,,0.158,11.00,27,4.40,4.86,0.13,0.387,9.79,0.33,0.24,17.09,2.37
Sean Newcomb,$5.7K,L,ATL,SP,@ LAD, , , , ,-1500,8,7.5,341,2.26,-0.06,4,0.372,,0.137,9.00,5,0.338,,0.182,9.14,7,3.94,4.72,0.15,0.353,9.08,0.38,0.23,13.05,2.29
Lance McCullers,$10.4K,R,HOU,SP,@ BAL,4,4.00,30.00%,0.778,1500,0,10.5,-133,5.59,-0.12,2,0.327,,0.112,12.36,7,0.316,,0.137,10.62,32,3.00,3.54,0.13,0.318,11.01,0.46,0.20,23.35,2.25
Yovani Gallardo,$5.6K,R,SEA,SP,NYY, , , , ,-200,-1,9.5,102,4.83,-0.04,4,0.334,,0.140,7.79,5,0.367,,0.200,5.99,41,4.79,5.57,0.16,0.352,6.79,0.35,0.26,12.38,2.21
Tom Koehler,$5.2K,R,MIA,SP,@ CIN, , ,1.00%,11.500,-600,3,11.0,125,5.12,-0.31,5,0.381,,0.221,8.19,4,0.336,,0.166,7.41,43,4.61,5.81,0.18,0.361,7.84,0.32,0.27,11.5,2.21
Salvatore Romano,$5.4K,R,CIN,SP,MIA, , ,0.50%, ,-100,-1,11.0,-135,5.88,0.31,5,0.459,,0.334,12.46,4,0.443,,0.280,6.00,3,5.47,6.89,0.14,0.452,9.59,0.28,0.36,11.96,2.21
Jose Quintana,$9.7K,L,CHC,SP,STL,5,5.33, , ,1100,0,8.0,-163,4.51,4.51,2,0.282,,0.123,8.82,7,0.318,,0.178,9.36,51,3.58,4.29,0.14,0.310,9.24,0.34,0.27,21.43,2.21
Stephen Strasburg,$11.3K,R,WAS,SP,@ ARI,6,5.67, , ,700,0,8.5,-114,4.34,-0.01,6,0.278,,0.155,11.51,3,0.295,,0.139,10.96,43,2.86,3.62,0.14,0.284,11.33,0.34,0.28,24.83,2.2
Derek Holland,$5.8K,L,CHW,SP,@ KCR, , ,5.00%,2.520,-800,2,11.0,119,5.19,0.13,4,0.285,,0.076,7.98,5,0.384,,0.232,7.02,40,4.58,5.97,0.20,0.340,7.45,0.32,0.28,12.6,2.17
Adalberto Mejia,$7.7K,L,MIN,SP,DET, , ,5.00%,3.176,1000,-7,10.5,-111,5.33,0.14,1,0.398,,0.226,8.49,8,0.346,,0.195,7.66,15,4.42,5.66,0.19,0.352,7.75,0.36,0.25,15.88,2.06
Tyson Blach,$6.7K,L,SFG,SP,SDP, , , , ,-700,8,8.5,-113,4.33,-0.12,2,0.242,,0.056,4.36,7,0.344,,0.174,5.10,26,4.55,4.51,0.10,0.321,4.94,0.39,0.21,13.76,2.05
Jake Odorizzi,$8.7K,R,TBR,SP,TEX,8,8.67,17.50%,1.010,1000,-2,9.0,-126,4.72,-0.17,4,0.280,,0.169,9.07,5,0.345,,0.220,7.66,50,4.10,5.44,0.19,0.316,8.29,0.27,0.32,17.68,2.03
Tyson Ross,$7.1K,R,TEX,SP,@ TBR, , ,10.00%,1.419,300,-1,9.0,116,4.28,0.17,5,0.271,,0.137,7.43,4,0.405,,0.212,8.22,7,4.83,6.18,0.16,0.331,7.78,0.32,0.30,14.19,2
Daniel Gossett,$6.2K,R,OAK,SP,@ NYM, , ,3.00%,4.100,-300,0,9.5,129,4.38,-0.08,5,0.285,,0.057,5.19,4,0.389,,0.341,5.79,7,4.21,6.64,0.33,0.331,5.46,0.37,0.22,12.3,1.98
Michael Wacha,$9.0K,R,STL,SP,@ CHC,9,9.67, , ,500,1,8.0,153,3.49,3.49,5,0.330,,0.152,8.00,4,0.343,,0.151,8.90,44,3.76,4.33,0.13,0.336,8.40,0.40,0.24,17.51,1.95
Parker Bridwell,$6.9K,R,LAA,SP,BOS, , ,1.00%,13.210,-200,2,9.0,108,4.36,-0.17,5,0.404,,0.270,4.40,4,0.357,,0.205,9.15,9,4.31,6.72,0.26,0.383,6.51,0.34,0.29,13.21,1.91
Rick Porcello,$10.5K,R,BOS,SP,@ LAA, , ,3.00%,6.610,2300,-4,9.0,-118,4.64,-0.33,4,0.310,,0.158,8.55,5,0.321,,0.176,8.19,54,3.50,4.37,0.14,0.316,8.35,0.34,0.31,19.83,1.89
Travis Wood,$5.3K,L,KCR,SP,CHW, , ,0.25%, ,-200,0,11.0,-129,5.81,-0.13,1,0.226,,0.119,6.89,8,0.400,,0.224,6.87,77,4.71,5.16,0.13,0.381,6.87,0.29,0.28,9.77,1.84
Dinelson Lamet,$7.5K,R,SDP,SP,@ SFG, , , , ,-400,6,8.5,103,4.17,0.12,5,0.461,,0.411,13.50,4,0.234,,0.183,13.90,9,3.15,5.60,0.23,0.360,13.68,0.27,0.40,13.47,1.8
Junior Guerra,$7.4K,R,MIL,SP,@ PHI, , ,5.00%,2.656,900,-6,9.5,-102,4.69,0.3,5,0.283,,0.128,7.89,4,0.316,,0.179,7.77,31,4.45,5.53,0.17,0.298,7.84,0.35,0.28,13.28,1.79
