Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Lance Lynn,$5.1K,R,MIN,SP,@ DET, , ,0.00%, ,-2400,7,9.0,-107,4.58,0.18,4,0.313,,0.000,1.50,5,0.175,,0.000,9.00,1,2.79,0.00,0.00,0.236,5.70,0.00,0.00,15.07,2.95,4,0.272,,0.000,3.00,5,0.167,,0.000,6.00,2,4.12,0.00,0.00,0.214,4.70,0.00,0.00,4,0.267,,0.075,3.00,5,0.234,,0.020,4.80,4,4.38,0.00,0.00,0.249,4.00,0.00,0.00,4,0.373,,0.181,3.10,5,0.325,,0.118,7.70,10,4.30,0.00,0.16,0.346,5.70,0.00,0.00,4,0.356,,0.211,3.00,5,0.282,,0.125,5.40,42,4.20,0.00,0.20,0.315,4.30,0.00,0.00
German Marquez,$5.8K,R,COL,SP,@ PHI, , ,0.00%, ,-1900,5,8.5,109,4.08,-0.02,7,0.503,,0.500,6.80,2,0.549,,0.667,2.20,1,3.67,0.00,0.75,0.513,5.80,0.00,0.00,15.25,2.63,7,0.545,,0.542,5.40,2,0.339,,0.222,5.40,2,3.27,0.00,0.50,0.499,5.40,0.00,0.00,7,0.367,,0.327,3.80,2,0.270,,0.139,4.50,4,3.70,0.00,0.30,0.345,3.90,0.00,0.00,7,0.348,,0.205,3.80,2,0.342,,0.184,5.00,13,3.85,0.00,0.25,0.347,4.10,0.00,0.00,7,0.334,,0.160,3.80,2,0.353,,0.239,5.00,41,3.72,0.00,0.23,0.338,4.00,0.00,0.00
Anibal Sanchez,$5.5K,R,ATL,SP,SDP, , ,25.00%,0.556,-800,2,8.5,-167,4.79,0.25,3,0.519,,0.571,5.30,6,0.080,,0.000,3.50,1,3.53,0.00,0.20,0.226,4.10,0.00,0.00,13.91,2.53,3,0.259,,0.250,4.50,6,0.187,,0.160,3.00,2,3.59,0.00,0.22,0.211,3.50,0.00,0.00,3,0.381,,0.400,3.90,6,0.237,,0.188,2.80,3,4.17,0.00,0.33,0.285,3.20,0.00,0.00,3,0.327,,0.222,4.80,6,0.262,,0.159,3.00,6,3.99,0.00,0.28,0.284,3.60,0.00,0.00,3,0.351,,0.219,5.10,6,0.377,,0.231,4.80,32,3.48,0.00,0.29,0.368,4.90,0.00,0.00
Dereck Rodriguez,$5.0K,R,SFG,SP,@ MIA, , ,0.00%, ,-1000,2,8.0,-124,4.16,-0.02,4,0.441,,0.167,4.10,5,0.573,,0.000,0.00,1,6.74,0.00,0.00,0.514,1.80,0.00,0.00,12.56,2.51,4,0.383,,0.073,3.30,5,0.347,,0.166,4.40,2,4.74,0.00,0.17,0.363,3.90,0.00,0.00,4,0.341,,0.117,4.00,5,0.393,,0.200,4.80,3,4.31,0.00,0.14,0.370,4.40,0.00,0.00,4,0.341,,0.117,4.00,5,0.393,,0.200,4.80,3,4.31,0.00,0.14,0.370,4.40,0.00,0.00,4,0.341,,0.117,4.00,5,0.393,,0.200,4.80,3,4.31,0.00,0.14,0.370,4.40,0.00,0.00
Michael Fulmer,$5.7K,R,DET,SP,MIN, , ,0.00%, ,-1600,4,9.0,-107,4.42,0.32,7,0.194,,0.050,6.40,2,0.176,,0.000,2.60,1,2.61,0.00,0.00,0.190,5.60,0.00,0.00,13.59,2.38,7,0.207,,0.129,5.50,2,0.339,,0.000,1.40,2,4.27,0.00,0.25,0.236,4.60,0.00,0.00,7,0.259,,0.125,4.30,2,0.340,,0.130,3.30,5,4.27,0.00,0.14,0.277,4.00,0.00,0.00,7,0.322,,0.205,4.90,2,0.309,,0.085,4.30,11,4.15,0.00,0.19,0.319,4.80,0.00,0.00,7,0.303,,0.139,3.60,2,0.281,,0.103,3.50,36,4.24,0.00,0.16,0.298,3.60,0.00,0.00
Jason Vargas,$5.1K,L,NYM,SP,@ ARI, , ,7.50%,1.604,-700,-1,9.0,127,4.14,-0.22,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,12.03,2.36,3,0.344,,0.000,0.00,6,0.244,,0.000,7.20,1,3.81,0.00,0.00,0.277,4.80,0.00,0.00,3,0.292,,0.077,1.50,6,0.238,,0.095,7.50,4,3.14,0.00,0.07,0.256,5.50,0.00,0.00,3,0.416,,0.258,1.50,6,0.376,,0.199,6.70,7,4.10,0.00,0.20,0.389,5.00,0.00,0.00,3,0.371,,0.190,1.10,6,0.330,,0.184,6.20,37,4.13,0.00,0.21,0.344,4.50,0.00,0.00
David Price,$8.8K,L,BOS,SP,@ SEA, , ,45.00%,0.436,400, ,8.5,-131,4.48,-0.04,3,0.172,,0.000,1.50,6,0.307,,0.055,7.50,1,4.08,0.00,0.00,0.262,5.50,0.00,0.00,19.61,2.23,3,0.137,,0.000,1.50,6,0.305,,0.150,8.20,2,3.17,0.00,0.14,0.249,6.00,0.00,0.00,3,0.125,,0.000,2.00,6,0.267,,0.125,11.30,4,3.10,0.00,0.10,0.220,8.20,0.00,0.00,3,0.234,,0.108,1.10,6,0.309,,0.151,9.00,12,3.71,0.00,0.14,0.284,6.40,0.00,0.00,3,0.230,,0.047,1.50,6,0.302,,0.155,8.90,25,3.52,0.00,0.14,0.278,6.40,0.00,0.00
Domingo German,$8.5K,R,NYY,SP,TBR, , ,50.00%,0.357,1500,-5,8.5,-163,4.76,0.05,3,0.311,,0.384,6.00,6,0.417,,0.400,7.50,1,0.71,0.00,0.33,0.382,7.00,0.00,0.00,17.83,2.1,3,0.311,,0.384,6.00,6,0.417,,0.400,7.50,1,0.71,0.00,0.33,0.382,7.00,0.00,0.00,3,0.373,,0.414,5.60,6,0.348,,0.219,8.10,3,2.43,0.00,0.56,0.356,7.30,0.00,0.00,3,0.275,,0.233,4.90,6,0.350,,0.150,6.70,10,2.88,0.00,0.26,0.325,6.10,0.00,0.00,3,0.280,,0.196,5.10,6,0.339,,0.153,6.90,16,3.04,0.00,0.27,0.319,6.30,0.00,0.00
Vincent Velasquez,$8.3K,R,PHI,SP,COL, , ,0.00%, ,-300,3,8.5,-125,4.42,0.02,5,0.352,,0.143,5.60,4,0.760,,0.546,5.60,1,4.85,0.00,0.33,0.533,5.60,0.00,0.00,17.4,2.1,5,0.280,,0.167,4.80,4,0.479,,0.250,6.80,2,3.93,0.00,0.25,0.368,5.70,0.00,0.00,5,0.312,,0.183,5.10,4,0.348,,0.123,6.60,5,3.27,0.00,0.15,0.328,5.70,0.00,0.00,5,0.381,,0.284,5.50,4,0.282,,0.089,5.90,13,2.90,0.00,0.22,0.337,5.60,0.00,0.00,5,0.379,,0.247,4.70,4,0.322,,0.180,5.20,28,3.44,0.00,0.27,0.354,4.90,0.00,0.00
Matt Koch,$6.1K,R,ARI,SP,NYM, , ,5.00%,2.460,300,-5,9.0,-142,4.86,0.22,5,0.098,,0.000,3.60,4,0.765,,0.770,0.00,1,5.29,0.00,0.50,0.394,2.00,0.00,0.00,12.3,2.02,5,0.117,,0.000,2.20,4,0.428,,0.380,3.80,2,3.68,0.00,0.33,0.255,2.90,0.00,0.00,5,0.193,,0.027,2.90,4,0.466,,0.271,2.40,4,4.51,0.00,0.17,0.314,2.70,0.00,0.00,5,0.253,,0.159,3.30,4,0.432,,0.304,2.50,10,4.50,0.00,0.23,0.333,2.90,0.00,0.00,5,0.265,,0.167,3.30,4,0.436,,0.302,2.50,11,4.56,0.00,0.23,0.341,2.90,0.00,0.00
