Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Vance Worley,$4.5K,R,MIA,SP,CIN, , ,1.00%,13.620,-1000,3,9.5,-117,4.89,0.14,5,0.363,,0.208,6.51,4,0.328,,0.157,6.40,47,4.49,5.14,0.13,0.347,6.46,0.40,0.26,13.62,3.03
Masahiro Tanaka,$7.8K,R,NYY,SP,TBR,5,5.83,17.50%,1.254,-800,4,9.0,-185,5.25,-0.19,4,0.319,,0.217,8.89,5,0.317,,0.163,8.31,51,3.40,4.72,0.21,0.318,8.57,0.40,0.24,21.95,2.81
Ariel Miranda,$6.0K,L,SEA,SP,NYM, , ,2.00%,7.995,-2000,9,9.5,-155,5.28,0.4,3,0.303,,0.137,6.82,6,0.302,,0.216,7.19,32,4.54,5.92,0.20,0.302,7.07,0.26,0.33,15.99,2.67
J.A. Happ,$6.8K,L,TOR,SP,LAA,12,14.50,5.00%,3.308,-100,-2,9.5,-140,5.13,-0.2,1,0.287,,0.130,6.87,8,0.316,,0.175,8.29,48,3.84,4.83,0.17,0.313,8.13,0.37,0.27,16.54,2.43
Matt Moore,$5.7K,L,SFG,SP,@ LAD, , ,1.00%,13.730,-1800,8,8.5,263,2.94,0.07,4,0.358,,0.168,8.36,5,0.312,,0.164,8.44,54,4.14,4.97,0.14,0.332,8.40,0.31,0.30,13.73,2.41
Jaime Garcia,$6.9K,L,MIN,SP,@ OAK,9,12.33,15.00%,1.104,-500,-2,9.0,-108,4.56, ,1,0.296,,0.143,9.31,8,0.335,,0.184,7.74,49,3.73,5.08,0.21,0.331,7.91,0.47,0.21,16.56,2.4
Salvatore Romano,$6.6K,R,CIN,SP,@ MIA, , ,0.50%, ,800,-10,9.5,107,4.61,-0.14,3,0.372,,0.212,11.74,6,0.395,,0.294,7.27,4,4.46,5.92,0.18,0.387,8.76,0.34,0.32,15.43,2.34
Julio Teheran,$8.1K,R,ATL,SP,@ PHI,10,14.17,0.50%, ,300,-2,9.0,-120,4.66,0.08,4,0.363,,0.253,5.95,5,0.276,,0.127,9.47,50,3.96,5.07,0.16,0.315,7.91,0.34,0.30,18.78,2.32
Robbie Ray,$9.4K,L,ARI,SP,@ STL,3,4.17,22.50%,0.966,200,3,8.0,115,3.81,-0.11,1,0.296,,0.128,12.92,8,0.335,,0.185,11.96,50,3.23,4.46,0.20,0.331,12.07,0.35,0.26,21.74,2.31
Daniel Gossett,$6.2K,R,OAK,SP,MIN,13,14.67,1.00%,13.850,-700,2,9.0,-102,4.44, ,7,0.308,,0.109,4.91,2,0.376,,0.318,6.23,8,4.23,6.45,0.30,0.323,5.20,0.35,0.24,13.85,2.23
Alex Wood,$11.7K,L,LAD,SP,SFG,1,2.33,37.50%,0.686,1700,-1,8.5,-295,5.56,0.43,4,0.294,,0.102,8.86,5,0.269,,0.084,10.69,31,2.90,3.39,0.13,0.280,9.88,0.45,0.17,25.72,2.2
Brent Suter,$5.6K,L,MIL,SP,CHC, , ,3.00%,4.083,-1200,4,9.0,128,4.16,0.07,4,0.381,,0.188,5.28,5,0.303,,0.099,10.13,20,3.78,4.15,0.15,0.338,7.97,0.36,0.18,12.25,2.19
Michael Wacha,$8.6K,R,STL,SP,ARI,8,12.17,7.50%,2.457,300,1,8.0,-125,4.19,0.11,4,0.330,,0.159,7.92,5,0.347,,0.157,8.98,45,3.73,4.38,0.14,0.339,8.51,0.40,0.24,18.43,2.14
Danny Salazar,$9.5K,R,CLE,SP,@ CHW,2,2.67,27.50%,0.736,1300,-3,9.5,-255,6.01,0.33,5,0.353,,0.228,11.60,4,0.316,,0.131,11.91,38,3.41,4.57,0.19,0.337,11.74,0.36,0.27,20.24,2.13
Austin Pruitt,$4.6K,R,TBR,SP,@ NYY, , ,1.00%,9.740,-900,2,9.0,174,3.75,-0.31,3,0.337,,0.108,5.19,6,0.390,,0.157,9.17,19,3.98,4.07,0.08,0.372,7.84,0.34,0.20,9.74,2.12
Jason Vargas,$7.1K,L,KCR,SP,@ BOS, , ,1.00%,14.990,-500,-1,9.5,141,4.26,0.45,2,0.346,,0.182,4.94,7,0.305,,0.146,8.53,22,4.15,4.69,0.14,0.314,7.73,0.30,0.28,14.99,2.11
Jose Quintana,$9.8K,L,CHC,SP,@ MIL,4,4.83,20.00%,1.033,1100,0,9.0,-138,4.84,-0.07,2,0.282,,0.121,8.78,7,0.321,,0.183,9.49,52,3.57,4.34,0.15,0.312,9.33,0.34,0.27,20.66,2.11
Dallas Keuchel,$11.6K,L,HOU,SP,@ DET,7,9.83,5.00%,4.864,1100,1,10.0,-150,5.51,0.1,0,0.230,,0.085,9.24,9,0.328,,0.175,8.36,37,3.30,4.33,0.18,0.328,8.36,0.49,0.20,24.32,2.1
Andrew Cashner,$6.5K,R,TEX,SP,BAL, , ,1.00%,13.610,-200,-3,11.5,-136,6.16,0.34,2,0.339,,0.181,7.38,7,0.335,,0.145,6.28,41,4.79,5.41,0.14,0.336,6.52,0.35,0.25,13.61,2.09
Chad Kuhl,$6.3K,R,PIT,SP,@ SDP,6,6.83,17.50%,0.720,200,-7,9.0,-153,4.98,0.93,4,0.375,,0.197,7.08,5,0.308,,0.125,7.29,35,4.20,4.65,0.12,0.338,7.20,0.37,0.25,12.6,2
Jordan Zimmermann,$5.0K,R,DET,SP,HOU, , ,1.00%,9.940,-1600,6,10.0,140,4.49,0.4,6,0.351,,0.195,6.59,3,0.375,,0.210,6.15,38,4.56,5.73,0.17,0.359,6.44,0.32,0.29,9.94,1.99
Travis Wood,$5.3K,L,SDP,SP,PIT, , ,0.25%, ,-200,-1,9.0,143,4.02,0.07,0,0.228,,0.117,7.04,9,0.401,,0.218,6.75,78,4.64,5.06,0.13,0.401,6.75,0.29,0.27,10.12,1.91
Derek Holland,$4.8K,L,CHW,SP,CLE, , ,0.50%, ,-1500,6,9.5,233,3.49,-0.33,1,0.288,,0.091,7.59,8,0.388,,0.241,6.98,41,4.63,6.16,0.21,0.377,7.05,0.32,0.28,9.11,1.9
Rafael Montero,$5.8K,R,NYM,SP,@ SEA,13,14.67,5.00%,2.136,-400,-3,9.5,145,4.22,0.1,4,0.377,,0.106,8.57,5,0.377,,0.212,10.66,28,4.37,5.27,0.17,0.377,9.73,0.33,0.24,10.68,1.84
Chris Tillman,$5.4K,R,BAL,SP,@ TEX, , ,0.50%, ,-900,3,11.5,126,5.34,0.16,4,0.353,,0.176,8.57,5,0.351,,0.202,7.15,44,4.51,5.58,0.17,0.352,7.78,0.34,0.27,9.87,1.83
Parker Bridwell,$7.0K,R,LAA,SP,@ TOR, , ,1.00%,12.120,-500,-1,9.5,130,4.37,0.2,3,0.373,,0.230,4.67,6,0.344,,0.211,8.22,10,4.34,6.49,0.26,0.354,7.04,0.35,0.27,12.12,1.73
Rick Porcello,$10.5K,R,BOS,SP,KCR,13,14.67,3.00%,5.877,2200,-3,9.5,-151,5.24,0.05,4,0.308,,0.161,8.56,5,0.324,,0.181,8.10,55,3.50,4.45,0.14,0.317,8.30,0.34,0.31,17.63,1.68
Jake Thompson,$5.6K,R,PHI,SP,ATL, , , , ,100,-4,9.0,110,4.34,-0.08,5,0.431,,0.256,5.30,4,0.350,,0.232,5.83,13,5.48,7.13,0.23,0.395,5.54,0.37,0.24,8.66,1.55
