Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Tyson Blach,$5.1K,L,SFG,SP,CHC,14,14.67,0.50%, ,-2300,16,8.0,185,3.25,-0.16,4,0.257,,0.062,4.54,5,0.331,,0.175,5.42,29,4.52,4.48,0.10,0.298,5.03,0.38,0.22,13.86,2.72
Parker Bridwell,$6.7K,R,LAA,SP,BAL, , ,1.00%,17.430,-600,3,9.0,-117,4.63,-0.01,2,0.387,,0.244,4.74,7,0.301,,0.174,7.63,12,4.44,6.09,0.21,0.320,6.99,0.33,0.29,17.43,2.6
Corey Kluber,$12.4K,R,CLE,SP,COL,1,1.00,45.00%,0.715,700,1,8.0,-260,5.08,0.45,4,0.277,,0.111,10.65,5,0.265,,0.150,11.60,54,2.73,3.55,0.16,0.270,11.18,0.38,0.25,32.17,2.59
Chris Sale,$12.6K,L,BOS,SP,@ TBR,2,2.00,40.00%,0.805,1200,-1,7.0,-210,4.21,-0.22,2,0.257,,0.136,10.83,7,0.270,,0.149,11.09,54,2.65,3.54,0.14,0.267,11.03,0.32,0.30,32.19,2.55
A.J. Cole,$5.7K,R,WAS,SP,MIA, , ,2.00%,7.060,-800,3,9.5,-140,5.13,-0.22,5,0.370,,0.290,7.64,4,0.308,,0.169,9.12,10,4.70,5.84,0.19,0.342,8.30,0.20,0.33,14.12,2.48
Zachary Godley,$7.6K,R,ARI,SP,LAD,4,4.50,12.50%,1.492,-1300,5,9.5,111,4.57,0.18,4,0.337,,0.201,9.16,5,0.290,,0.130,8.22,42,3.39,4.56,0.19,0.311,8.64,0.48,0.21,18.65,2.45
Julio Teheran,$6.9K,R,ATL,SP,PHI,8,11.50,5.00%,3.386,0,-2,9.5,-164,5.36,0.61,5,0.361,,0.251,6.11,4,0.285,,0.140,9.37,52,3.95,5.18,0.17,0.327,7.56,0.34,0.30,16.93,2.45
Vance Worley,$4.7K,R,MIA,SP,@ WAS, , ,0.25%, ,-1100,1,9.5,130,4.37,-0.28,5,0.349,,0.189,5.88,4,0.328,,0.161,6.75,49,4.39,5.11,0.14,0.340,6.27,0.42,0.25,11.43,2.43
Adalberto Mejia,$5.4K,L,MIN,SP,MIL,12,14.50,1.00%,13.100,-400,-2,10.0,-130,5.29,0.45,1,0.396,,0.227,9.82,8,0.359,,0.187,7.45,18,4.43,5.46,0.17,0.363,7.71,0.36,0.25,13.1,2.43
Ariel Miranda,$6.5K,L,SEA,SP,@ OAK,10,12.67,10.00%,1.533,-1300,9,9.0,-118,4.64,0.05,1,0.331,,0.188,7.08,8,0.300,,0.221,7.47,34,4.42,6.01,0.22,0.303,7.43,0.25,0.33,15.33,2.36
Salvatore Romano,$6.3K,R,CIN,SP,SDP,14,14.67,1.00%,14.800,600,-10,9.0,-137,4.83,-0.36,3,0.323,,0.162,11.46,6,0.375,,0.207,6.75,6,4.68,5.21,0.13,0.358,8.32,0.32,0.28,14.8,2.35
Chad Kuhl,$6.8K,R,PIT,SP,DET,3,4.17,25.00%,0.624,500,-8,8.5,-163,4.79,-0.25,3,0.374,,0.191,7.18,6,0.302,,0.118,7.01,37,4.22,4.58,0.11,0.326,7.07,0.36,0.25,15.6,2.29
