Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Parker Bridwell,$4.0K,R,LAA,RP,ATL, , ,0.25%, ,4000,-28,8.5,-120,4.4,-0.11,6,0.996,,1.000,0.00,3,0.368,,0.334,11.57,2,4.68,11.47,0.33,0.787,3.86,0.18,0.55,14.4,3.6
Jose Berrios,$7.3K,R,MIN,SP,HOU,6,9.43,17.50%,1.314,-1300,7,9.0,-109,4.56,-0.14,4,0.317,,0.106,9.55,5,0.410,,0.275,8.18,16,4.96,6.79,0.21,0.369,8.79,0.30,0.31,23,3.15
Tyler Pill,$4.2K,R,NYM,SP,MIL, , ,0.25%, ,-1300,1,9.0,-125,4.71,0.11,3,0.000,,0.000,0.00,6,0.575,,0.000,0.00,1,10.89,12.80,0.00,0.383,0.00,0.00,0.67,12.54,2.99
Dinelson Lamet,$6.1K,R,SDP,SP,CHC,2,3.86,27.50%,0.607,100,-6,8.5,129,3.92,0.2,5,0.451,,0.500,22.50,4,0.115,,0.000,16.20,1,2.45,4.40,0.25,0.302,19.70,0.20,0.40,16.7,2.74
Randall Wojciechowski,$4.5K,R,CIN,SP,@ TOR, , ,0.50%, ,-1000,0,10.0,181,4.11,-0.07,3,0.159,,0.125,7.71,6,0.308,,0.143,5.40,2,5.00,3.05,0.00,0.258,6.17,0.25,0.50,12.02,2.67
Michael Wacha,$6.9K,R,STL,SP,LAD,9,11.29,10.00%,1.824,-1200,4,8.0,110,3.86,-0.34,4,0.330,,0.159,7.48,5,0.349,,0.167,8.39,35,3.85,4.51,0.14,0.341,7.99,0.39,0.25,18.24,2.64
Eric Skoglund,$4.2K,L,KCR,SP,DET, , ,4.00%,2.743,0,0,9.0,123,4.21,-0.05,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,10.97,2.61
Ivan Nova,$6.4K,R,PIT,SP,ARI,7,9.71,7.50%,2.211,-2000,10,8.0,-116,4.11,0.41,5,0.351,,0.212,5.18,4,0.304,,0.158,7.88,41,3.61,4.56,0.16,0.330,6.38,0.45,0.23,16.58,2.59
Chris Sale,$13.4K,L,BOS,SP,@ CHW,3,5.00,37.50%,0.874,1700,0,7.5,-170,4.27,-0.02,0,0.262,,0.154,10.84,9,0.273,,0.143,10.37,42,2.82,3.73,0.14,0.273,10.37,0.33,0.29,32.77,2.45
Eddie Butler,$5.4K,R,CHC,SP,@ SDP,14,14.71,0.50%, ,-1800,5,8.5,-139,4.58,0.3,3,0.366,,0.189,6.83,6,0.394,,0.219,6.86,20,4.61,5.95,0.20,0.385,6.85,0.35,0.24,13.23,2.45
