Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Jordan Lyles,$4.0K,R,SDP,SP,@ PIT, , ,2.00%,6.810,-2200,7,8.0,128,3.68,-0.13,5,0.000,,0.000,5.10,4,0.121,,0.000,7.60,1,1.41,0.00,0.00,0.054,6.20,0.00,0.00,13.62,3.41,5,0.038,,0.000,6.00,4,0.271,,0.125,6.00,2,1.76,0.00,0.20,0.142,6.00,0.00,0.00,5,0.187,,0.107,4.60,4,0.226,,0.081,5.10,6,2.75,0.00,0.15,0.204,4.90,0.00,0.00,5,0.253,,0.128,4.00,4,0.217,,0.091,5.80,14,3.11,0.00,0.13,0.237,4.80,0.00,0.00,5,0.373,,0.213,3.40,4,0.332,,0.200,5.20,51,3.93,0.00,0.28,0.355,4.20,0.00,0.00
Clay Buchholz,$4.2K,R,ARI,SP,@ NYM, , ,2.50%,4.604,-1300,1,7.5,156,3.23,0.29,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,11.51,2.74,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00
David Hess,$4.0K,R,BAL,SP,@ BOS, , ,0.25%, ,-1500,2,10.5,203,4.05,-0.03,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,10.85,2.71,5,0.319,,0.000,3.00,4,0.220,,0.231,1.50,1,4.14,0.00,0.14,0.275,2.30,0.00,0.00,5,0.319,,0.000,3.00,4,0.220,,0.231,1.50,1,4.14,0.00,0.14,0.275,2.30,0.00,0.00,5,0.319,,0.000,3.00,4,0.220,,0.231,1.50,1,4.14,0.00,0.14,0.275,2.30,0.00,0.00,5,0.319,,0.000,3.00,4,0.220,,0.231,1.50,1,4.14,0.00,0.14,0.275,2.30,0.00,0.00
Joseph Biagini,$4.0K,R,TOR,SP,OAK, , ,7.50%,1.411,-1500,2,9.5,-105,4.67,-0.01,3,0.206,,0.000,4.30,6,0.492,,0.375,2.10,1,5.59,0.00,0.33,0.397,2.90,0.00,0.00,10.58,2.65,3,0.206,,0.000,4.30,6,0.492,,0.375,2.10,1,5.59,0.00,0.33,0.397,2.90,0.00,0.00,3,0.369,,0.143,10.70,6,0.475,,0.250,4.30,1,4.84,0.00,0.40,0.440,6.40,0.00,0.00,3,0.394,,0.195,17.10,6,0.373,,0.137,6.40,1,5.00,0.00,0.33,0.380,10.00,0.00,0.00,3,0.345,,0.181,4.40,6,0.314,,0.143,4.20,44,4.45,0.00,0.23,0.324,4.20,0.00,0.00
Sonny Gray,$6.7K,R,NYY,SP,@ KCR, , ,7.50%,2.188,300,-1,9.0,-168,5.08,-0.37,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,16.41,2.45,0,0.246,,0.200,0.00,9,0.467,,0.375,8.00,2,3.79,0.00,0.40,0.467,8.00,0.00,0.00,3,0.284,,0.096,6.70,6,0.419,,0.316,2.80,3,4.61,0.00,0.21,0.374,4.10,0.00,0.00,3,0.320,,0.096,5.00,6,0.393,,0.225,3.90,7,4.73,0.00,0.16,0.369,4.30,0.00,0.00,3,0.293,,0.132,4.40,6,0.307,,0.165,4.70,33,4.01,0.00,0.21,0.302,4.60,0.00,0.00
Mike Minor,$6.0K,L,TEX,SP,@ CHW, , ,5.00%,2.896,-300,3,8.5,-103,4.18,-0.48,0,0.246,,0.200,0.00,9,0.627,,0.385,14.50,1,3.64,0.00,0.20,0.627,14.50,0.00,0.00,14.48,2.41,3,0.495,,0.750,2.50,6,0.467,,0.385,2.50,2,5.95,0.00,0.25,0.476,2.50,0.00,0.00,0,0.192,,0.091,0.80,9,0.439,,0.314,6.10,4,4.10,0.00,0.25,0.439,6.10,0.00,0.00,0,0.231,,0.160,1.50,9,0.385,,0.276,6.40,8,3.72,0.00,0.18,0.385,6.40,0.00,0.00,0,0.196,,0.058,3.70,9,0.331,,0.214,6.70,69,3.04,0.00,0.14,0.331,6.70,0.00,0.00
Wei-Yin Chen,$4.3K,L,MIA,SP,@ ATL, , ,1.00%,10.140,-1200, ,9.0,163,3.81,0.06,3,0.000,,0.000,2.20,6,0.277,,0.000,4.40,1,5.80,0.00,0.00,0.185,3.70,0.00,0.00,10.14,2.36,5,0.494,,0.235,3.30,4,0.166,,0.000,1.10,2,5.92,0.00,0.17,0.348,2.30,0.00,0.00,3,0.346,,0.467,2.80,6,0.464,,0.380,2.20,4,6.18,0.00,0.25,0.425,2.40,0.00,0.00,3,0.346,,0.467,2.80,6,0.464,,0.380,2.20,4,6.18,0.00,0.25,0.425,2.40,0.00,0.00,3,0.253,,0.180,1.80,6,0.350,,0.244,4.40,13,4.53,0.00,0.19,0.318,3.50,0.00,0.00
Tyler Mahle,$6.6K,R,CIN,SP,CHC, , ,3.00%,5.167,-800,7,9.0,124,4.18,0.11,5,0.808,,0.666,2.90,4,0.239,,0.000,2.90,1,5.00,0.00,0.50,0.555,2.90,0.00,0.00,15.5,2.35,5,0.443,,0.292,2.20,4,0.099,,0.000,9.00,1,3.35,0.00,1.00,0.290,5.20,0.00,0.00,5,0.372,,0.236,5.50,4,0.188,,0.125,3.40,5,3.55,0.00,0.28,0.290,4.60,0.00,0.00,5,0.399,,0.295,4.80,4,0.268,,0.133,4.10,9,3.56,0.00,0.29,0.341,4.50,0.00,0.00,5,0.399,,0.266,3.80,4,0.270,,0.093,4.30,13,4.01,0.00,0.20,0.342,4.00,0.00,0.00
Yu Darvish,$8.6K,R,CHC,SP,@ CIN, , ,12.50%,1.606,1200,-1,9.0,-138,4.82,-0.11,5,0.443,,0.292,2.20,4,0.099,,0.000,9.00,1,3.35,0.00,1.00,0.290,5.20,0.00,0.00,20.07,2.33,4,0.357,,0.087,7.40,5,0.353,,0.222,2.50,2,3.97,0.00,0.17,0.355,4.60,0.00,0.00,5,0.329,,0.162,5.70,4,0.339,,0.357,7.70,3,2.75,0.00,0.44,0.333,6.60,0.00,0.00,5,0.379,,0.223,4.70,4,0.312,,0.197,6.90,7,3.34,0.00,0.27,0.349,5.70,0.00,0.00,5,0.334,,0.197,5.40,4,0.264,,0.148,5.70,38,2.89,0.00,0.23,0.303,5.50,0.00,0.00
Noah Syndergaard,$10.8K,R,NYM,SP,ARI, , ,30.00%,0.824,800,4,7.5,-174,4.27,0.21,4,0.277,,0.000,10.80,5,0.353,,0.125,1.80,1,3.09,0.00,0.00,0.319,5.80,0.00,0.00,24.71,2.29,4,0.187,,0.084,5.40,5,0.272,,0.185,12.60,1,3.35,0.00,0.14,0.234,9.40,0.00,0.00,4,0.328,,0.061,5.20,5,0.319,,0.149,3.00,4,3.80,0.00,0.06,0.323,4.00,0.00,0.00,4,0.304,,0.100,6.20,5,0.287,,0.146,6.00,8,2.78,0.00,0.13,0.295,6.10,0.00,0.00,4,0.267,,0.094,6.60,5,0.283,,0.104,5.00,14,2.81,0.00,0.09,0.276,5.70,0.00,0.00
Junior Guerra,$6.3K,R,MIL,SP,@ MIN, , ,10.00%,1.398,-1700,12,9.0,113,4.29,-0.12,5,0.269,,0.000,0.00,4,0.200,,0.083,4.50,1,5.96,0.00,0.00,0.238,2.00,0.00,0.00,13.98,2.22,5,0.394,,0.208,4.90,4,0.156,,0.063,4.90,2,3.78,0.00,0.13,0.288,4.90,0.00,0.00,4,0.267,,0.195,4.40,5,0.342,,0.251,7.10,4,3.51,0.00,0.23,0.309,5.90,0.00,0.00,4,0.331,,0.293,4.10,5,0.307,,0.164,7.40,7,3.82,0.00,0.23,0.318,5.90,0.00,0.00,4,0.307,,0.227,3.60,5,0.319,,0.215,5.50,34,3.99,0.00,0.23,0.314,4.60,0.00,0.00
Francisco Liriano,$6.3K,L,DET,SP,@ SEA, , ,0.00%, ,-600,6,8.5,147,3.73,0.35,2,0.314,,0.000,0.00,7,0.492,,0.375,6.60,1,5.49,0.00,0.67,0.452,5.10,0.00,0.00,13.46,2.14,2,0.251,,0.000,2.20,7,0.487,,0.307,4.40,2,5.71,0.00,0.40,0.435,3.90,0.00,0.00,5,0.328,,0.173,4.70,4,0.290,,0.111,4.00,5,3.95,0.00,0.20,0.311,4.40,0.00,0.00,5,0.292,,0.141,5.10,4,0.276,,0.082,3.90,7,3.85,0.00,0.14,0.285,4.50,0.00,0.00,5,0.322,,0.189,4.40,4,0.324,,0.198,4.80,26,4.08,0.00,0.28,0.323,4.60,0.00,0.00
Aaron Nola,$10.1K,R,PHI,SP,@ STL, , ,17.50%,1.221,700,2,8.0,-121,4.14,0.31,4,0.444,,0.000,1.50,5,0.384,,0.250,4.50,1,4.99,0.00,0.33,0.411,3.20,0.00,0.00,21.37,2.12,3,0.220,,0.050,6.00,6,0.302,,0.305,6.00,1,4.17,0.00,0.29,0.275,6.00,0.00,0.00,2,0.155,,0.000,2.40,7,0.369,,0.208,3.80,5,5.04,0.00,0.19,0.321,3.50,0.00,0.00,2,0.164,,0.073,3.10,7,0.348,,0.181,4.60,7,4.77,0.00,0.16,0.307,4.20,0.00,0.00,2,0.259,,0.116,2.50,7,0.363,,0.186,6.10,43,4.54,0.00,0.17,0.340,5.30,0.00,0.00
Tyler Anderson,$7.5K,L,COL,SP,@ SFG, , ,0.00%, ,700,-5,8.0,-114,3.93,-0.02,3,0.275,,0.166,1.70,6,0.350,,0.193,3.50,1,5.79,0.00,0.00,0.325,2.90,0.00,0.00,15.65,2.09,4,0.311,,0.000,4.80,5,0.280,,0.156,6.20,2,2.61,0.00,0.20,0.294,5.60,0.00,0.00,3,0.244,,0.125,5.10,6,0.230,,0.194,3.90,3,4.12,0.00,0.25,0.235,4.30,0.00,0.00,3,0.294,,0.161,4.70,6,0.298,,0.220,5.70,7,3.98,0.00,0.23,0.297,5.40,0.00,0.00,3,0.328,,0.195,4.00,6,0.313,,0.174,4.00,38,4.12,0.00,0.21,0.318,4.00,0.00,0.00
