Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Jason Vargas,$7.4K,L,KCR,SP,CHW, , ,15.00%,1.383,-1300,6,8.5,-181,4.93,0.12,1,0.287,,0.191,5.06,8,0.208,,0.067,11.63,7,2.76,2.77,0.08,0.217,10.90,0.34,0.26,20.74,2.8
Amir Garrett,$5.5K,L,CIN,SP,PIT, , ,5.00%,3.054,-2000,5,8.5,-102,4.2,0.3,1,0.445,,0.500,15.00,8,0.324,,0.145,9.18,4,3.56,5.25,0.25,0.337,9.83,0.36,0.24,15.27,2.78
Luis Severino,$8.0K,R,NYY,SP,TOR, , ,40.00%,0.540,-500,2,7.5,-182,4.36,0.1,5,0.299,,0.120,9.00,4,0.347,,0.219,10.43,26,3.45,4.79,0.21,0.320,9.64,0.36,0.26,21.62,2.7
Brett Anderson,$6.4K,L,CHC,SP,PHI, , ,1.00%,16.270,-1300,5,10.5,-164,5.92,5.92,2,0.542,,0.216,4.50,7,0.401,,0.270,5.32,9,5.07,6.69,0.22,0.432,5.14,0.41,0.22,16.27,2.54
Michael Wacha,$7.2K,R,STL,SP,MIL, , ,17.50%,1.035,-800,2,8.0,-153,4.43,-0.23,3,0.325,,0.159,6.84,6,0.357,,0.182,8.42,31,3.91,4.57,0.14,0.346,7.89,0.39,0.25,18.11,2.52
Wei-Yin Chen,$6.6K,L,MIA,SP,TBR, , ,4.00%,4.152,-1500,7,8.0,-144,4.36,-0.14,2,0.320,,0.087,7.88,7,0.360,,0.248,6.89,26,3.87,5.22,0.19,0.351,7.11,0.35,0.28,16.61,2.52
Robert Gsellman,$6.5K,R,NYM,SP,@ ATL, , ,7.50%,2.087,-800,0,8.5,-102,4.2,0.1,3,0.298,,0.067,11.12,6,0.346,,0.126,7.32,14,3.40,3.70,0.10,0.330,8.59,0.42,0.18,15.65,2.41
Julio Teheran,$8.5K,R,ATL,SP,NYM, , ,4.00%,4.920,100,-2,8.5,-108,4.3,-0.1,6,0.362,,0.238,6.22,3,0.245,,0.096,9.69,35,3.74,4.44,0.13,0.323,7.38,0.35,0.30,19.68,2.32
Clayton Kershaw,$13.9K,L,LAD,SP,SFG, , ,37.50%,0.854,1300,0,6.0,-230,3.7,0.02,1,0.208,,0.099,10.61,8,0.221,,0.089,10.52,31,2.30,2.67,0.11,0.220,10.53,0.39,0.24,32.01,2.3
Marco Estrada,$8.3K,R,TOR,SP,@ NYY, , ,10.00%,1.856,0,-2,7.5,172,3.14,-0.1,4,0.256,,0.138,8.35,5,0.297,,0.176,9.23,37,3.90,4.64,0.15,0.279,8.84,0.30,0.32,18.56,2.24
