Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Mike Leake,$5.6K,R,PIT,SP,@ STL, , , , ,-200,3,8.5,105,4.15,-0.18,5,0.329,,0.155,5.45,4,0.313,,0.152,7.59,34,0.00,0.00,0.00,0.322,6.40,0.00,0.00,17.67,3.16
Shelby Miller,$5.8K,R,ARI,SP,@ SDP, , , , ,-1600,13,8.0,-114,4.09,-0.03,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,16.27,2.81
Joseph Musgrove,$5.1K,R,LAA,SP,@ HOU, , , , ,-900,10,8.0,125,3.72,0.01,3,0.324,,0.183,9.86,6,0.354,,0.199,6.75,41,0.00,0.00,0.00,0.344,7.79,0.00,0.00,14.24,2.79
Yovani Gallardo,$4.0K,R,MIA,SP,@ SEA, , , , ,-1500,5,9.0,135,4.09,0.16,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,11.14,2.79
Matt Andriese,$5.4K,R,TBR,SP,DET, , , , ,-100,-1,7.5,-115,3.84,0.02,3,0.236,,0.097,7.26,6,0.400,,0.269,9.00,22,0.00,0.00,0.00,0.345,8.42,0.00,0.00,14.41,2.67
Zach Eflin,$4.9K,R,PHI,SP,@ NYM, , , , ,-600,2,7.5,178,3.1,-0.23,6,0.434,,0.317,5.27,3,0.357,,0.195,5.21,11,0.00,0.00,0.00,0.408,5.25,0.00,0.00,12.75,2.6
Michael Fulmer,$7.7K,R,DET,SP,@ TBR, , , , ,100,3,7.5,105,3.66,-0.02,5,0.298,,0.103,6.75,4,0.272,,0.104,5.97,28,0.00,0.00,0.00,0.286,6.40,0.00,0.00,19.83,2.58
Brett Anderson,$5.6K,L,MIL,SP,@ CHC, , , , ,-200,3,8.5,-152,4.7,0.05,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,14.21,2.54
Zack Wheeler,$7.5K,R,NYM,SP,PHI, , , , ,200, ,7.5,-189,4.4,0.23,5,0.366,,0.242,10.74,4,0.341,,0.155,7.30,18,0.00,0.00,0.00,0.355,9.21,0.00,0.00,18.12,2.42
Jason Hammel,$6.0K,R,KCR,SP,SFG, , , , ,-200,5,9.0,-118,4.64,-0.06,4,0.340,,0.163,7.60,5,0.327,,0.142,7.01,36,0.00,0.00,0.00,0.333,7.27,0.00,0.00,14.21,2.37
Phil Hughes,$5.3K,R,MIN,SP,CLE, , , , ,-200, ,9.0,109,4.35,-0.04,6,0.451,,0.242,8.31,3,0.332,,0.194,5.73,14,0.00,0.00,0.00,0.411,7.45,0.00,0.00,12.47,2.35
Max Scherzer,$12.4K,R,WAS,SP,@ ATL, , , , ,700, ,8.0,-174,4.59,0.33,4,0.304,,0.185,11.05,5,0.186,,0.093,14.35,37,0.00,0.00,0.00,0.238,12.88,0.00,0.00,28.42,2.29
Wei-Yin Chen,$6.2K,L,MIA,SP,@ SEA, , , , ,700,-7,8.5,-115,4.35,0.18,3,0.246,,0.064,4.32,6,0.314,,0.220,8.00,9,0.00,0.00,0.00,0.291,6.77,0.00,0.00,14.03,2.26
Ricky Nolasco,$5.7K,R,LAA,SP,@ HOU, , , , ,-500,7,8.5,136,3.85,0.02,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,12.9,2.26
Yu Darvish,$11.1K,R,TEX,SP,@ OAK, , , , ,1900,-1,9.5,-170,5.41,5.41,3,0.356,,0.235,10.85,6,0.267,,0.134,10.29,37,0.00,0.00,0.00,0.297,10.48,0.00,0.00,24.78,2.23
Marcus Stroman,$8.3K,R,TOR,SP,BOS, , , , ,1300,-5,8.5,-152,4.7,0.05,4,0.297,,0.085,7.94,5,0.337,,0.170,8.71,36,0.00,0.00,0.00,0.319,8.37,0.00,0.00,18.23,2.2
Josh Tomlin,$6.5K,R,CLE,SP,@ MIN, , , , ,800,-7,9.0,-119,4.65,0.04,6,0.357,,0.226,7.11,3,0.345,,0.209,7.45,30,0.00,0.00,0.00,0.353,7.22,0.00,0.00,14.2,2.18
Kevin Gausman,$6.4K,R,BAL,SP,@ CIN, , , , ,-900,7,9.0,-145,4.91,-0.16,5,0.348,,0.144,9.05,4,0.350,,0.184,9.35,37,0.00,0.00,0.00,0.349,9.18,0.00,0.00,13.8,2.16
Andrew Triggs,$8.5K,R,OAK,SP,TEX, , , , ,500,2,7.0,121,3.29,-0.07,5,0.272,,0.141,7.80,4,0.331,,0.135,7.95,15,0.00,0.00,0.00,0.298,7.87,0.00,0.00,16.95,1.99
Jarred Cosart,$4.2K,R,SDP,SP,ARI, , , , ,-1400,4,8.0,104,3.91,0.03,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,8.25,1.96
Luis Severino,$10.7K,R,NYY,SP,CHW, , , , ,600,1,7.5,-181,4.35,0.06,4,0.280,,0.140,10.97,5,0.256,,0.110,10.62,39,0.00,0.00,0.00,0.267,10.78,0.00,0.00,20.84,1.95
Miguel Gonzalez,$6.8K,R,CHW,SP,@ NYY, , , , ,1000,-7,7.5,171,3.15,-0.06,3,0.398,,0.280,6.40,6,0.334,,0.167,5.88,29,0.00,0.00,0.00,0.355,6.05,0.00,0.00,13.04,1.92
Chad Kuhl,$7.3K,R,PIT,SP,@ STL, , , , ,200,-1,8.0,125,3.72,0.01,3,0.377,,0.184,9.00,6,0.311,,0.117,7.73,34,0.00,0.00,0.00,0.333,8.15,0.00,0.00,13.67,1.87
Michael Foltynewicz,$6.4K,R,ATL,SP,WAS, , , , ,-1000,9,8.0,164,3.41,0.17,5,0.399,,0.194,8.52,4,0.316,,0.157,9.07,32,0.00,0.00,0.00,0.362,8.76,0.00,0.00,11.48,1.79
Bronson Arroyo,$4.2K,R,CIN,SP,BAL, , , , ,-1300,3,9.0,135,4.09,0.16,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,7.47,1.78
Matt Cain,$6.8K,R,SFG,SP,@ KCR, , , , ,900,-6,9.0,108,4.36,0.06,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,10.92,1.61
Kyle Freeland,$6.7K,L,COL,SP,@ LAD, , , , ,700,-2,7.5,170,3.16,-0.36,4,0.333,,0.157,10.89,5,0.359,,0.168,5.51,35,0.00,0.00,0.00,0.347,7.90,0.00,0.00,10.67,1.59
Jimmy Nelson,$8.6K,R,MIL,SP,@ CHC, , , , ,1600,-7,9.5,160,4.09,4.09,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,12.6,1.47
Hyun-Jin Ryu,$9.7K,L,LAD,SP,COL, , , , ,2200,-2,7.5,-180,4.34,-0.14,3,0.375,,0.219,7.82,6,0.325,,0.192,9.55,28,0.00,0.00,0.00,0.342,8.97,0.00,0.00,14.26,1.47
Brian Johnson,$6.9K,L,BOS,SP,@ TOR, , , , ,1200,-11,8.5,142,3.8,-0.05,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,8.23,1.19
