Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Adalberto Mejia,$4.6K,L,MIN,SP,TBR,9,10.00, , ,-1500,2,9.0,105,4.39,-0.01,2,0.609,,0.200,0.00,7,0.406,,0.311,6.00,5,5.31,7.31,0.20,0.451,4.67,0.43,0.33,16.55,3.6
Chase Anderson,$4.7K,R,MIL,SP,ARI, , , , ,-2900,11,8.5,114,4.06,0.13,3,0.332,,0.207,7.24,6,0.387,,0.241,7.84,40,4.36,5.59,0.17,0.369,7.64,0.32,0.32,15.45,3.29
Jason Vargas,$6.6K,L,KCR,SP,@ CLE,11,12.00, , ,-1500,6,8.0,156,3.47,-0.31,2,0.409,,0.271,3.48,7,0.222,,0.071,10.15,12,3.65,3.74,0.09,0.264,8.67,0.29,0.31,17.94,2.72
Tyson Blach,$6.2K,L,SFG,SP,ATL,10,11.75,30.00%,0.549,-1400,3,7.5,-116,3.85,-0.39,3,0.178,,0.044,3.05,6,0.313,,0.163,4.78,17,4.79,4.80,0.11,0.268,4.20,0.39,0.22,16.46,2.65
Brandon McCarthy,$7.3K,R,LAD,SP,CHC, , ,22.50%,0.858,-1100,4,7.5,-115,3.84,-0.32,6,0.305,,0.089,10.27,3,0.279,,0.110,9.91,18,3.90,4.21,0.12,0.296,10.15,0.38,0.22,19.31,2.65
Clayton Richard,$5.5K,L,SDP,SP,@ WAS, , , , ,-1500,1,8.0,236,2.93,-1.07,1,0.279,,0.023,8.46,8,0.367,,0.142,5.54,36,4.06,4.86,0.16,0.357,5.86,0.49,0.16,14.52,2.64
Jake Odorizzi,$7.6K,R,TBR,SP,@ MIN,8,9.75, , ,-800,2,9.0,-115,4.61,0.01,7,0.253,,0.147,9.65,2,0.341,,0.215,7.26,41,3.91,5.09,0.17,0.273,9.12,0.29,0.32,19.94,2.62
Vance Worley,$4.8K,R,MIA,SP,LAA, , , , ,-700,-2,9.0,102,4.42,-0.08,3,0.358,,0.195,6.59,6,0.308,,0.146,5.44,36,4.70,5.58,0.15,0.325,5.82,0.42,0.27,12.18,2.54
Brian Johnson,$5.3K,L,BOS,SP,SEA, , , , ,-700,-3,10.5,-126,5.51,-0.34,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,13.3,2.51
John Lackey,$7.9K,R,CHC,SP,@ LAD, , ,12.50%,1.574,-900,2,7.5,105,3.66,-0.18,5,0.335,,0.173,8.14,4,0.289,,0.170,9.82,40,3.50,4.78,0.19,0.315,8.89,0.35,0.27,19.67,2.49
