Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Luis Perdomo,$6.3K,R,SDP,SP,CIN,5,5.43,7.50%,2.547,-500,1,8.5,-121,4.41,0.06,4,0.372,,0.189,6.28,5,0.354,,0.151,8.00,45,3.77,5.44,0.24,0.362,7.24,0.47,0.18,19.1,3.03
Rick Porcello,$8.6K,R,BOS,SP,PHI,6,6.43,17.50%,1.279,-200,0,11.0,-222,6.72,0.44,5,0.307,,0.152,8.81,4,0.316,,0.170,8.29,47,3.46,4.33,0.14,0.311,8.58,0.34,0.31,22.38,2.6
Masahiro Tanaka,$7.8K,R,NYY,SP,@ LAA,3,4.43,22.50%,0.883,-100,-1,8.5,-134,4.54,-0.12,4,0.318,,0.211,7.88,5,0.319,,0.166,8.11,43,3.58,4.74,0.19,0.319,8.01,0.39,0.25,19.87,2.55
Alex Meyer,$6.4K,R,LAA,SP,NYY, , ,10.00%,1.625,-1100,1,8.5,124,3.96,-0.38,4,0.405,,0.265,9.00,5,0.304,,0.132,11.91,14,4.43,5.00,0.12,0.349,10.62,0.33,0.31,16.25,2.54
Jameson Taillon,$6.8K,R,PIT,SP,COL,6,6.43,17.50%,0.972,-1500,4,9.0,-119,4.65,0.26,4,0.308,,0.098,6.75,5,0.319,,0.184,9.00,24,3.43,4.53,0.19,0.314,8.00,0.45,0.22,17.01,2.5
Stephen Strasburg,$12.7K,R,WAS,SP,ATL,1,1.57,42.50%,0.722,1300,0,8.5,-240,5.29,0.37,4,0.266,,0.141,11.71,5,0.288,,0.137,10.69,36,2.87,3.49,0.13,0.278,11.14,0.34,0.27,30.67,2.41
John Lackey,$7.7K,R,CHC,SP,@ NYM, , ,7.50%,2.393,-700,2,8.5,120,4,-0.1,6,0.335,,0.165,8.00,3,0.292,,0.179,9.89,43,3.53,4.87,0.20,0.321,8.63,0.34,0.26,17.95,2.33
Yu Darvish,$8.8K,R,TEX,SP,@ HOU,4,4.86,15.00%,1.349,-1200,1,8.5,109,4.11,-0.15,4,0.276,,0.143,12.03,5,0.300,,0.178,10.49,31,3.14,4.52,0.19,0.289,11.17,0.31,0.31,20.23,2.3
Joseph Musgrove,$7.6K,R,HOU,SP,TEX,8,9.43,7.50%,2.307,0,-3,8.5,-119,4.39,-0.35,4,0.356,,0.186,7.57,5,0.344,,0.218,7.80,21,3.96,5.19,0.16,0.349,7.70,0.35,0.33,17.3,2.28
Adalberto Mejia,$6.5K,L,MIN,SP,SEA,8,9.43,3.00%,4.840,300,-4,10.5,-121,5.45,0.55,3,0.400,,0.263,8.31,6,0.377,,0.262,7.82,8,4.62,6.65,0.23,0.385,7.98,0.41,0.29,14.52,2.23
Bronson Arroyo,$4.9K,R,CIN,SP,@ SDP, , ,4.00%,2.683,-1100,1,8.5,111,4.09,-0.06,3,0.378,,0.400,5.23,6,0.395,,0.258,5.65,12,5.03,7.62,0.23,0.389,5.51,0.26,0.39,10.73,2.19
Yovani Gallardo,$5.8K,R,SEA,SP,@ MIN, , ,3.00%,4.043,-700,1,10.5,111,5.05,0.45,6,0.342,,0.141,7.71,3,0.376,,0.201,6.16,35,4.86,5.81,0.17,0.353,7.19,0.35,0.26,12.13,2.09
Jacob deGrom,$10.2K,R,NYM,SP,CHC,2,3.00,27.50%,0.729,500,-1,8.5,-130,4.5,0.1,4,0.321,,0.134,10.18,5,0.323,,0.159,10.78,35,3.22,4.27,0.19,0.322,10.51,0.38,0.24,20.04,1.96
Michael Foltynewicz,$6.6K,R,ATL,SP,@ WAS, , ,4.00%,3.152,-1300,4,8.5,220,3.21,0.13,5,0.378,,0.228,8.23,4,0.321,,0.158,8.20,34,3.88,4.97,0.17,0.353,8.22,0.31,0.27,12.61,1.91
Jerad Eickhoff,$5.0K,R,PHI,SP,@ BOS, , ,3.00%,3.153,-1500,3,11.0,205,4.28,0.06,4,0.375,,0.236,7.70,5,0.287,,0.153,8.64,44,3.87,4.94,0.17,0.326,8.22,0.32,0.28,9.46,1.89
Kyle Freeland,$8.1K,L,COL,SP,@ PIT, , ,2.00%,7.060,400,-5,9.0,109,4.35,0.24,1,0.328,,0.159,10.69,8,0.331,,0.130,4.66,12,4.43,5.35,0.16,0.331,5.33,0.46,0.20,14.12,1.74
Wade Miley,$7.3K,L,BAL,SP,@ CHW, , ,3.00%,3.820,-500,0,10.0,-106,5.06,-0.06,0,0.288,,0.124,7.95,9,0.348,,0.170,7.96,42,3.97,5.17,0.20,0.348,7.96,0.39,0.23,11.46,1.57
Mike Pelfrey,$5.5K,R,CHW,SP,BAL, , ,2.00%,4.185,-300,-2,10.0,-104,4.94,0.06,2,0.413,,0.196,5.88,7,0.347,,0.130,4.66,33,4.72,5.77,0.19,0.362,4.93,0.43,0.19,8.37,1.52
