Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%
Mike Leake,$5.3K,R,SEA,SP,LAA, , ,0.00%, ,-3200,16,8.5,-101,4.18, ,3,0.328,,0.300,1.30,6,0.254,,0.200,6.40,1,3.09,3.91,0.29,0.279,4.70,0.00,0.00,14.29,2.7,3,0.189,,0.095,3.00,6,0.224,,0.130,3.60,2,3.87,3.69,0.20,0.212,3.40,0.00,0.00,3,0.258,,0.096,1.50,6,0.276,,0.171,3.30,5,4.72,4.35,0.20,0.270,2.70,0.00,0.00,3,0.310,,0.143,2.10,6,0.327,,0.210,3.80,15,4.26,4.19,0.23,0.321,3.20,0.00,0.00,3,0.323,,0.150,2.40,6,0.312,,0.167,3.70,48,4.37,4.11,0.20,0.316,3.30,0.00,0.00
Sal Romano,$5.1K,R,CIN,SP,CHW, , ,22.50%,0.606,-800,3,10.0,-167,5.64,-0.15,3,0.348,,0.000,3.60,6,0.419,,0.214,5.40,1,4.03,4.85,0.33,0.395,4.80,0.00,0.00,13.64,2.67,3,0.381,,0.222,5.40,6,0.425,,0.160,4.50,2,3.57,3.60,0.40,0.410,4.80,0.00,0.00,3,0.294,,0.124,4.90,6,0.331,,0.185,5.30,4,3.98,3.86,0.27,0.319,5.20,0.00,0.00,3,0.376,,0.186,3.80,6,0.319,,0.220,4.50,14,4.28,4.60,0.24,0.338,4.30,0.00,0.00,3,0.354,,0.181,3.80,6,0.332,,0.198,4.10,31,4.39,4.65,0.21,0.339,4.00,0.00,0.00
Marcus Stroman,$6.5K,R,TOR,SP,NYM, , ,40.00%,0.419, ,-2,9.5,-171,5.38,0.13,5,0.423,,0.334,1.30,4,0.117,,0.000,3.90,1,4.85,2.78,0.50,0.287,2.40,0.00,0.00,16.75,2.58,5,0.312,,0.200,1.50,4,0.228,,0.000,5.20,2,4.78,2.65,0.25,0.275,3.20,0.00,0.00,5,0.312,,0.200,1.50,4,0.228,,0.000,5.20,2,4.78,2.65,0.25,0.275,3.20,0.00,0.00,5,0.364,,0.159,3.20,4,0.297,,0.098,3.70,7,4.83,3.33,0.25,0.334,3.40,0.00,0.00,5,0.306,,0.098,3.40,4,0.327,,0.166,4.30,41,4.58,3.58,0.27,0.315,3.80,0.00,0.00
Luis Perdomo,$4.0K,R,SDP,SP,@ OAK, , ,0.00%, ,-2200,7,8.5,142,3.77,0.11,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,10.2,2.55,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,4,0.604,,0.277,3.60,5,0.393,,0.000,7.20,2,4.51,3.93,0.33,0.487,5.60,0.00,0.00,4,0.364,,0.136,2.70,5,0.333,,0.148,4.50,32,4.82,4.24,0.21,0.347,3.70,0.00,0.00
Rich Hill,$8.7K,L,LAD,SP,PIT, , ,40.00%,0.537,1100,-4,8.5,-220,5.14,0.41,3,0.413,,0.000,2.90,6,0.275,,0.200,11.60,1,1.48,1.86,0.33,0.321,8.70,0.00,0.00,21.49,2.47,3,0.331,,0.000,2.40,6,0.346,,0.293,9.60,2,1.79,4.11,0.18,0.341,7.20,0.00,0.00,3,0.262,,0.000,2.60,6,0.300,,0.209,8.40,3,2.34,3.45,0.15,0.287,6.50,0.00,0.00,3,0.235,,0.000,2.60,6,0.402,,0.306,7.70,7,3.14,4.45,0.25,0.346,6.00,0.00,0.00,3,0.337,,0.127,2.20,6,0.287,,0.181,9.70,33,2.80,3.90,0.21,0.304,7.20,0.00,0.00
Trevor Oaks,$4.0K,R,KCR,SP,CLE, , ,5.00%,1.978,-1500,3,9.0,217,3.38,-0.12,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,9.89,2.47,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,7,0.606,,0.200,6.40,2,0.308,,0.120,10.70,2,4.09,3.97,0.14,0.540,7.40,0.00,0.00,7,0.606,,0.200,6.40,2,0.308,,0.120,10.70,2,4.09,3.97,0.14,0.540,7.40,0.00,0.00
Garrett Richards,$8.0K,R,LAA,SP,@ SEA, , ,0.00%, ,100, ,8.5,-113,4.32, ,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,19.58,2.45,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,4,0.436,,0.264,5.10,5,0.340,,0.167,6.30,2,3.19,4.12,0.17,0.383,5.80,0.00,0.00,4,0.262,,0.125,5.20,5,0.306,,0.151,5.00,11,3.25,3.56,0.22,0.286,5.10,0.00,0.00,4,0.271,,0.140,5.90,5,0.279,,0.115,5.20,18,3.46,3.62,0.24,0.275,5.50,0.00,0.00
Clay Holmes,$4.0K,R,PIT,SP,@ LAD, , ,7.50%,1.183,-1500,3,8.5,193,3.36,0.09,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,8.87,2.22,5,0.000,,0.000,0.00,4,0.229,,0.000,0.00,1,10.31,4.66,0.00,0.102,0.00,0.00,0.00,5,0.000,,0.000,0.00,4,0.229,,0.000,0.00,1,10.31,4.66,0.00,0.102,0.00,0.00,0.00,5,0.000,,0.000,0.00,4,0.229,,0.000,0.00,1,10.31,4.66,0.00,0.102,0.00,0.00,0.00,5,0.115,,0.000,2.20,4,0.348,,0.000,2.20,2,7.69,4.41,0.00,0.219,2.20,0.00,0.00
Erick Fedde,$5.3K,R,WAS,SP,BOS, , ,0.00%, ,-300,-1,9.0,117,4.24,-0.09,4,0.480,,0.166,3.60,5,0.594,,0.778,1.80,1,5.53,4.83,0.50,0.543,2.60,0.00,0.00,11.55,2.18,4,0.345,,0.125,2.50,5,0.556,,0.421,2.50,2,5.29,4.56,0.25,0.462,2.50,0.00,0.00,4,0.396,,0.250,1.70,5,0.427,,0.252,5.60,3,5.05,4.04,0.33,0.413,3.90,0.00,0.00,4,0.364,,0.203,3.40,5,0.391,,0.226,4.70,4,4.60,3.90,0.28,0.379,4.10,0.00,0.00,4,0.363,,0.197,4.70,5,0.462,,0.279,3.70,7,4.55,3.99,0.36,0.418,4.20,0.00,0.00
Chase Anderson,$7.2K,R,MIL,SP,MIN, , ,0.00%, ,800,-6,8.5,-108,4.32,-0.01,6,0.104,,0.000,6.00,3,0.409,,0.600,1.50,1,2.98,3.77,0.33,0.206,4.50,0.00,0.00,15.14,2.1,6,0.125,,0.001,4.10,3,0.306,,0.300,7.40,2,2.63,3.60,0.33,0.185,5.20,0.00,0.00,6,0.228,,0.028,3.60,3,0.277,,0.271,6.00,5,3.16,4.14,0.29,0.244,4.40,0.00,0.00,6,0.289,,0.125,3.50,3,0.310,,0.237,3.60,13,4.26,5.13,0.26,0.296,3.50,0.00,0.00,6,0.276,,0.126,4.00,3,0.306,,0.193,4.30,40,3.69,4.64,0.19,0.286,4.10,0.00,0.00
