Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Dylan Bundy,$7.8K,R,BAL,SP,TBR, , ,35.00%,0.713,-300,1,8.0,-139,4.31,-0.01,5,0.348,,0.179,5.96,4,0.324,,0.157,9.86,40,3.96,5.12,0.18,0.337,7.69,0.33,0.28,24.95,3.2
Trevor Cahill,$4.2K,R,SDP,SP,@ ARI, , ,7.50%,1.683,-2700,5,10.0,114,4.77,0.37,2,0.270,,0.091,8.33,7,0.276,,0.112,10.45,50,3.64,4.85,0.23,0.275,9.98,0.48,0.18,12.62,3
Matt Shoemaker,$7.5K,R,LAA,SP,OAK, , ,20.00%,0.937,-200,-1,8.0,-133,4.26,-0.03,5,0.297,,0.159,7.79,4,0.324,,0.159,9.59,30,3.53,4.48,0.15,0.309,8.59,0.34,0.28,18.74,2.5
Hector Santiago,$5.5K,L,MIN,SP,@ TEX, , ,2.50%,5.372,-2000,6,9.0,126,4.18,0.11,3,0.334,,0.152,7.75,6,0.347,,0.226,7.53,37,4.74,5.83,0.16,0.343,7.60,0.30,0.34,13.43,2.44
Luis Severino,$7.6K,R,NYY,SP,@ BOS, , ,7.50%,2.457,-1100,6,7.5,100,3.7,-0.05,5,0.307,,0.128,9.19,4,0.359,,0.233,10.40,25,3.45,4.93,0.22,0.330,9.73,0.36,0.26,18.43,2.43
Wei-Yin Chen,$7.1K,L,MIA,SP,@ PHI, , ,2.00%,8.580,-1300,8,8.0,-104,4.05,0.1,2,0.320,,0.091,8.22,7,0.356,,0.247,6.97,25,3.83,5.17,0.19,0.348,7.25,0.35,0.28,17.16,2.42
James Paxton,$8.2K,L,SEA,SP,@ DET, , ,25.00%,0.786,-700,3,8.5,-121,4.41,0.17,0,0.287,,0.098,7.54,9,0.309,,0.132,9.66,24,3.24,3.22,0.08,0.309,9.66,0.33,0.24,19.64,2.4
Tyler Glasnow,$6.3K,R,PIT,SP,CHC, , ,10.00%,1.429,300,-5,8.0,135,3.64,0.15,5,0.351,,0.123,11.57,4,0.394,,0.257,9.90,11,4.29,5.22,0.17,0.370,10.83,0.35,0.20,14.29,2.27
William Davis,$4.4K,R,CIN,SP,@ MIL, , , , ,-1800,2,9.5,111,4.57,0.31,4,0.442,,0.167,6.75,5,0.186,,0.000,8.31,2,5.49,8.09,0.33,0.300,7.62,0.33,0.29,9.9,2.25
Daniel Norris,$6.9K,L,DET,SP,SEA, , ,2.00%,7.625,-300,-3,8.5,111,4.09,0.33,3,0.309,,0.145,11.39,6,0.354,,0.188,8.87,17,3.90,4.50,0.14,0.339,9.71,0.34,0.27,15.25,2.21
