Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Zachary Godley,$8.4K,R,ARI,SP,@ STL,1,2.00,50.00%,0.437,-100,0,9.0,-112,4.58,0.14,3,0.354,,0.221,8.94,6,0.298,,0.139,8.31,40,3.40,4.70,0.20,0.317,8.52,0.49,0.21,21.83,2.6
Luis Perdomo,$6.3K,R,SDP,SP,NYM,7,7.80,5.00%,3.264,-1500,4,9.0,108,4.36,0.16,4,0.373,,0.178,5.94,5,0.352,,0.150,8.26,52,3.83,5.35,0.23,0.361,7.23,0.48,0.18,16.32,2.59
J.C. Ramirez,$5.9K,R,LAA,SP,@ CLE, , , , ,-1300,2,9.5,155,4.13,0.17,5,0.327,,0.202,8.07,4,0.305,,0.117,7.55,92,3.86,5.33,0.23,0.317,7.84,0.42,0.21,14.74,2.5
Sean Manaea,$6.7K,L,OAK,SP,@ TOR, , , , ,-1600,2,8.5,174,3.55,-0.49,0,0.233,,0.112,7.53,9,0.337,,0.165,8.65,42,3.68,4.51,0.15,0.337,8.65,0.36,0.26,16.38,2.44
Michael Blazek,$4.0K,R,MIL,SP,@ WAS, , , , ,-1500,1,8.0,255,2.82,-0.27,6,0.386,,0.170,4.15,3,0.371,,0.206,9.64,45,4.85,5.90,0.18,0.381,5.98,0.31,0.25,9.03,2.26
Max Scherzer,$13.8K,R,WAS,SP,MIL, , , , ,2100,0,8.0,-280,5.18,0.27,4,0.331,,0.210,10.10,5,0.203,,0.123,13.53,56,2.54,3.78,0.19,0.260,12.01,0.29,0.30,30.86,2.24
Robert Stephenson,$4.6K,R,CIN,SP,@ MIA, , ,3.00%,3.260,-900,0,9.5,124,4.43,-0.01,4,0.386,,0.261,8.74,5,0.392,,0.248,8.66,22,4.58,7.10,0.24,0.389,8.70,0.34,0.33,9.78,2.13
Trevor Bauer,$7.7K,R,CLE,SP,LAA, , , , ,0,-2,9.5,-165,5.37,0.33,4,0.332,,0.158,9.16,5,0.332,,0.153,8.84,57,3.77,4.74,0.17,0.332,8.98,0.39,0.24,16.41,2.13
Chris O'Grady,$5.7K,L,MIA,SP,CIN,8,8.00,5.00%,2.402,0,0,9.5,-134,5.07,0.01,3,0.237,,0.091,12.71,6,0.438,,0.355,9.39,3,4.52,5.30,0.13,0.371,10.50,0.29,0.37,12.01,2.11
CC Sabathia,$7.7K,L,NYY,SP,TBR,5,5.00,20.00%,0.799,100,-3,9.0,-118,4.64,0.34,2,0.303,,0.115,9.38,7,0.310,,0.129,7.48,45,4.07,4.90,0.17,0.308,7.90,0.40,0.22,15.98,2.08
Chris Flexen,$6.5K,R,NYM,SP,@ SDP,6,6.40,17.50%,0.707,500,-2,9.0,-118,4.64,0.34,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,12.38,1.9
Marcus Stroman,$11.5K,R,TOR,SP,OAK, , , , ,2900,-1,8.5,-185,4.95,-0.01,4,0.300,,0.116,8.11,5,0.321,,0.158,7.84,53,3.39,4.49,0.20,0.312,7.96,0.50,0.18,20.81,1.81
Chris Archer,$11.1K,R,TBR,SP,@ NYY,2,2.40,40.00%,0.489,600,2,9.0,108,4.36,0.16,5,0.305,,0.163,11.47,4,0.306,,0.150,10.92,53,3.16,4.23,0.17,0.305,11.23,0.35,0.28,19.56,1.76
Jon Lester,$11.9K,L,CHC,SP,@ CHW,3,3.60,30.00%,0.687,1900,-1,10.0,-251,6.3,0.14,0,0.223,,0.089,10.10,9,0.300,,0.157,8.74,57,3.27,4.21,0.19,0.300,8.74,0.39,0.22,20.6,1.73
Luke Weaver,$6.4K,R,STL,SP,ARI,4,3.80,27.50%,0.396,500,-2,9.0,102,4.42,-0.14,3,0.382,,0.140,9.26,6,0.336,,0.179,10.72,11,3.20,4.90,0.28,0.351,10.23,0.31,0.21,10.89,1.7
Mike Pelfrey,$4.9K,R,CHW,SP,CHC, , ,2.00%,3.730,-700,0,10.0,230,3.7,-0.14,5,0.428,,0.233,5.76,4,0.337,,0.113,5.22,42,4.80,6.00,0.20,0.388,5.52,0.43,0.20,7.46,1.52
