Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Trevor Cahill,$6.2K,R,KCR,SP,SEA,2,3.33,27.50%,0.699,-1200,6,9.5,-132,5.05,0.07,4,0.291,,0.102,8.56,5,0.319,,0.146,10.90,59,3.47,4.75,0.21,0.307,9.86,0.49,0.20,19.22,3.1
Miguel Gonzalez,$4.5K,R,CHW,SP,@ BOS, , ,0.25%, ,-1800,5,9.5,250,3.3,-0.53,4,0.359,,0.197,6.72,5,0.322,,0.138,6.05,40,4.56,4.89,0.11,0.338,6.35,0.35,0.29,12.45,2.77
Chad Kuhl,$5.7K,R,PIT,SP,CIN,7,7.83,15.00%,0.984,-200,-3,9.0,-160,5.04,0.02,5,0.378,,0.197,7.11,4,0.306,,0.122,7.17,36,4.23,4.65,0.12,0.346,7.14,0.37,0.25,14.76,2.59
Collin McHugh,$7.5K,R,HOU,SP,TBR,4,5.17,20.00%,0.933,-700,3,9.5,-127,5,-0.26,5,0.348,,0.168,9.69,4,0.343,,0.191,8.42,36,3.70,4.73,0.15,0.346,9.13,0.36,0.31,18.67,2.49
Tyson Blach,$6.3K,L,SFG,SP,OAK, , ,3.00%,5.190,-1000,4,8.5,-133,4.53,0.06,1,0.259,,0.064,4.66,8,0.335,,0.174,5.35,28,4.51,4.45,0.10,0.327,5.27,0.38,0.22,15.57,2.47
Sean Newcomb,$5.2K,L,ATL,SP,LAD,12,12.17,7.50%,1.644,-1900,9,8.5,207,3.29,-0.16,3,0.342,,0.111,9.69,6,0.330,,0.182,9.32,9,4.04,4.81,0.14,0.334,9.44,0.37,0.26,12.33,2.37
Alex Wood,$11.4K,L,LAD,SP,@ ATL,2,3.33,25.00%,1.002,1800,-1,8.5,-225,5.21,-0.34,4,0.290,,0.110,8.81,5,0.274,,0.086,10.54,32,2.92,3.42,0.13,0.281,9.77,0.44,0.17,25.04,2.2
Chris Tillman,$4.8K,R,BAL,SP,DET, , ,1.00%,10.500,-1300,3,10.0,-130,5.29,-0.2,2,0.360,,0.181,8.92,7,0.353,,0.205,7.14,45,4.50,5.58,0.17,0.355,7.54,0.34,0.28,10.5,2.19
Jose Quintana,$10.1K,L,CHC,SP,ARI, , , , ,1300,-1,8.5,-141,4.6,4.6,2,0.277,,0.120,8.96,7,0.319,,0.180,9.42,53,3.57,4.31,0.15,0.310,9.32,0.34,0.27,22.01,2.18
Corey Kluber,$11.0K,R,CLE,SP,NYY,1,1.00,40.00%,0.582,-100,2,8.0,-185,4.66,0.15,5,0.284,,0.114,10.84,4,0.264,,0.147,11.52,53,2.75,3.56,0.16,0.275,11.14,0.37,0.25,23.27,2.12
Parker Bridwell,$8.3K,R,LAA,SP,PHI,6,6.17,17.50%,0.987,600,0,9.0,-165,5.09,0.48,6,0.364,,0.224,4.50,3,0.317,,0.188,7.71,11,4.35,6.02,0.22,0.348,5.57,0.34,0.28,17.28,2.08
A.J. Griffin,$6.0K,R,TEX,SP,@ MIN, , ,1.00%,12.140,-700,1,9.5,116,4.51,-0.48,0,0.000,,0.000,0.00,0,0.000,,0.000,0.00,0,0.00,0.00,0.00,0.000,0.00,0.00,0.00,12.14,2.02
