Name,Salary,Hand,Team,Position,Opp,Rank,Average,pOWN%,ContR,SalDiff,RankDiff,O/U,Line,Total,Movement,xL,LwOBA,,LISO,LK/9,xR,RwOBA,,RISO,RK/9,GP,SIERA,xFIP,HR/FB,xWOBA,xK/9,GB%,FB%,Points,Pt/$/K
Luis Perdomo,$7.0K,R,SDP,SP,ARI,6,9.40,32.50%,0.595,-400,2,7.5,104,3.67,-0.08,5,0.369,,0.182,6.42,4,0.343,,0.137,7.98,41,3.69,5.20,0.23,0.357,7.11,0.48,0.18,19.34,2.76
Drew Pomeranz,$8.3K,L,BOS,SP,@ OAK,14,14.20, , ,300,0,8.5,-123,4.43,0.08,0,0.321,,0.121,10.06,9,0.315,,0.197,10.96,40,3.45,4.66,0.19,0.315,10.96,0.36,0.28,21.86,2.63
Julio Urias,$8.2K,L,LAD,SP,MIA,10,12.00,35.00%,0.613,700,-2,8.5,-167,4.82,0.46,5,0.342,,0.148,12.66,4,0.323,,0.101,8.47,24,3.93,4.22,0.11,0.334,10.80,0.37,0.22,21.46,2.62
Michael Fiers,$7.0K,R,HOU,SP,CLE, , , , ,0,-1,9.0,-120,4.66,0.04,7,0.329,,0.163,6.59,2,0.387,,0.275,8.28,39,3.95,5.88,0.22,0.342,6.97,0.37,0.30,18.28,2.61
Alex Meyer,$6.4K,R,LAA,SP,@ NYM, , ,4.00%,4.155,-500,1,8.0,118,3.78,0.06,6,0.447,,0.340,9.00,3,0.327,,0.138,10.94,11,4.62,5.22,0.13,0.407,9.65,0.32,0.33,16.62,2.6
Kevin Gausman,$5.9K,R,BAL,SP,TOR,15,14.40,10.00%,1.535,-500,-1,9.0,-149,4.95,-0.23,4,0.313,,0.165,8.09,5,0.375,,0.190,9.11,39,3.74,5.07,0.21,0.347,8.66,0.36,0.24,15.35,2.6
Tim Adleman,$6.1K,R,CIN,SP,COL, , , , ,-600,0,9.5,-113,4.84,0.34,4,0.365,,0.279,7.67,5,0.346,,0.216,6.89,19,4.37,6.17,0.19,0.354,7.24,0.29,0.35,15.86,2.6
Max Scherzer,$12.6K,R,WAS,SP,@ ATL,1,3.20, , ,1000,0,9.0,-204,5.37,0.14,4,0.345,,0.209,10.04,5,0.211,,0.136,12.99,44,2.70,3.95,0.19,0.271,11.68,0.28,0.30,32.28,2.56
Ivan Nova,$8.7K,R,PIT,SP,PHI,7,9.60, , ,200,1,8.5,-124,4.44, ,4,0.364,,0.226,5.27,5,0.302,,0.162,8.23,39,3.54,4.64,0.17,0.330,6.91,0.45,0.24,21.45,2.47
Yovani Gallardo,$7.1K,R,SEA,SP,CHW,12,12.40,5.00%,3.474,200,-3,8.5,-159,4.76,0.51,3,0.341,,0.148,7.57,6,0.356,,0.177,5.87,31,4.85,5.58,0.15,0.351,6.44,0.36,0.26,17.37,2.45
Michael Bolsinger,$5.3K,R,TOR,SP,@ BAL, , ,1.00%,12.830,-500,0,9.0,139,4.05,-0.27,3,0.464,,0.222,9.31,6,0.407,,0.230,7.53,9,4.50,6.24,0.24,0.426,8.12,0.25,0.23,12.83,2.42
Zack Wheeler,$8.0K,R,NYM,SP,LAA,5,8.20,17.50%,1.103,500,-1,8.0,-128,4.22,-0.06,3,0.383,,0.312,12.27,6,0.260,,0.073,5.91,7,3.76,4.89,0.19,0.301,8.03,0.40,0.25,19.31,2.41
Antonio Senzatela,$6.9K,R,COL,SP,@ CIN, , , , ,-300,2,9.5,103,4.66,0.16,3,0.331,,0.238,7.02,6,0.289,,0.169,5.12,7,4.45,5.51,0.16,0.303,5.75,0.42,0.28,16.65,2.41
Michael Clevinger,$5.6K,R,CLE,SP,@ HOU, , , , ,-700,0,9.0,110,4.34,-0.04,3,0.284,,0.108,10.70,6,0.377,,0.242,8.64,22,4.59,5.31,0.18,0.346,9.33,0.34,0.25,13.49,2.41
Matt Andriese,$7.7K,R,TBR,SP,NYY, , , , ,200,2,8.0,101,3.94,0.07,5,0.286,,0.133,7.81,4,0.331,,0.159,8.55,37,3.76,4.69,0.15,0.306,8.14,0.36,0.30,18.06,2.35
Masahiro Tanaka,$9.7K,R,NYY,SP,@ TBR,3,6.40, , ,900,-1,8.0,-111,4.06,-0.07,4,0.301,,0.192,7.95,5,0.314,,0.153,7.78,39,3.58,4.56,0.18,0.308,7.86,0.39,0.24,22.12,2.28
Justin Verlander,$10.5K,R,DET,SP,TEX,9,11.40,25.00%,0.942,1200,0,8.5,-145,4.64,-0.04,5,0.259,,0.162,11.11,4,0.292,,0.148,8.98,43,3.38,4.29,0.15,0.274,10.16,0.27,0.33,23.56,2.24
Robbie Ray,$8.9K,L,ARI,SP,@ SDP,4,6.60,45.00%,0.434,-200,3,7.5,-114,3.83,0.08,1,0.296,,0.113,12.42,8,0.356,,0.197,11.99,39,3.25,4.55,0.21,0.349,12.04,0.37,0.26,19.54,2.2
Carlos Martinez,$11.1K,R,STL,SP,SFG,2,4.00,12.50%,1.905,1700,0,7.5,-134,4,-0.4,4,0.334,,0.145,8.22,5,0.255,,0.081,9.54,37,3.52,4.29,0.15,0.290,8.95,0.46,0.20,23.81,2.15
Sean Manaea,$8.0K,L,OAK,SP,BOS, , , , ,700,-5,8.5,113,4.07,-0.08,1,0.228,,0.120,8.74,8,0.345,,0.179,8.43,31,3.73,4.75,0.17,0.332,8.46,0.36,0.26,16.53,2.07
Vincent Velasquez,$9.2K,R,PHI,SP,@ PIT,11,12.20, , ,1300,-4,8.5,114,4.06, ,3,0.344,,0.201,10.77,6,0.326,,0.190,10.91,30,3.42,4.98,0.22,0.332,10.86,0.32,0.29,18.86,2.05
Dan Straily,$7.9K,R,MIA,SP,@ LAD, , ,5.00%,3.186,-500,5,8.5,157,3.68,0.54,7,0.287,,0.133,7.09,2,0.321,,0.220,8.30,42,4.38,5.49,0.17,0.295,7.36,0.27,0.32,15.93,2.02
Jeff Samardzija,$9.5K,R,SFG,SP,@ STL,8,11.00,5.00%,3.444,800,-1,7.5,124,3.5,-0.1,3,0.344,,0.209,8.25,6,0.281,,0.128,8.55,41,3.55,4.40,0.16,0.302,8.45,0.38,0.25,17.22,1.81
Bartolo Colon,$5.9K,R,ATL,SP,WAS, , , , ,-700,0,9.0,189,3.63,-0.14,3,0.373,,0.244,6.50,6,0.315,,0.130,6.17,42,4.20,4.98,0.15,0.334,6.28,0.36,0.27,9.71,1.65
A.J. Griffin,$7.6K,R,TEX,SP,@ DET, , ,2.00%,5.960,-100,4,8.5,135,3.86,0.04,2,0.393,,0.330,8.67,7,0.304,,0.171,8.88,28,4.26,6.43,0.25,0.324,8.83,0.26,0.33,11.92,1.57
Mike Pelfrey,$4.8K,R,CHW,SP,@ SEA, , ,0.50%, ,-700,0,8.5,149,3.74,-0.51,4,0.430,,0.201,5.57,5,0.375,,0.148,4.13,29,4.97,6.17,0.20,0.399,4.77,0.44,0.20,7.41,1.54
